simulations, -2LL
1000,605.608
2000,604.706
3000,604.264
4000,604.348
5000,604.277
6000,604.2
7000,604.198
8000,604.109
9000,603.882
10000,603.886
11000,603.955
12000,603.937
13000,604.058
14000,604.161
15000,604.226
16000,604.315
17000,604.393
18000,604.455
19000,604.52
20000,604.491
21000,604.445
22000,604.475
23000,604.483
24000,604.484
25000,604.464
26000,604.472
27000,604.488
28000,604.448
29000,604.459
30000,604.457
