standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_bias_abscissa,standEta_bias_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,All
-2.7363,0.00142857,-2.77038,0.00142857,-2.74994,0.00142857,-2.71291,0.00142857,-1.89299,0.00142857,All
-2.73267,0.00285714,-2.70554,0.00285714,-2.7335,0.00285714,-2.56988,0.00285714,-1.65197,0.00285714,All
-2.65658,0.00428571,-2.69132,0.00428571,-2.53784,0.00428571,-2.51964,0.00428571,-1.5072,0.00428571,All
-2.608,0.00571429,-2.65009,0.00571429,-2.4145,0.00571429,-2.51927,0.00571429,-1.49613,0.00571429,All
-2.59637,0.00714286,-2.57698,0.00714286,-2.41171,0.00714286,-2.47578,0.00714286,-1.46607,0.00714286,All
-2.55808,0.00857143,-2.57451,0.00857143,-2.40874,0.00857143,-2.44737,0.00857143,-1.46491,0.00857143,All
-2.50914,0.01,-2.56184,0.01,-2.38801,0.01,-2.43239,0.01,-1.45695,0.01,All
-2.50583,0.0114286,-2.55777,0.0114286,-2.37349,0.0114286,-2.41263,0.0114286,-1.45061,0.0114286,All
-2.49,0.0128571,-2.55525,0.0128571,-2.34076,0.0128571,-2.38878,0.0128571,-1.44866,0.0128571,All
-2.45847,0.0142857,-2.50729,0.0142857,-2.33666,0.0142857,-2.37086,0.0142857,-1.43017,0.0142857,All
-2.4364,0.0157143,-2.49222,0.0157143,-2.31831,0.0157143,-2.31189,0.0157143,-1.42212,0.0157143,All
-2.41967,0.0171429,-2.48671,0.0171429,-2.30841,0.0171429,-2.23951,0.0171429,-1.42198,0.0171429,All
-2.41032,0.0185714,-2.44624,0.0185714,-2.2765,0.0185714,-2.22804,0.0185714,-1.42095,0.0185714,All
-2.36998,0.02,-2.44118,0.02,-2.23873,0.02,-2.22152,0.02,-1.40049,0.02,All
-2.36437,0.0214286,-2.40553,0.0214286,-2.17876,0.0214286,-2.17857,0.0214286,-1.39339,0.0214286,All
-2.36407,0.0228571,-2.40375,0.0228571,-2.16724,0.0228571,-2.14068,0.0228571,-1.37369,0.0228571,All
-2.33517,0.0242857,-2.34592,0.0242857,-2.16407,0.0242857,-2.12156,0.0242857,-1.36392,0.0242857,All
-2.33259,0.0257143,-2.33688,0.0257143,-2.14595,0.0257143,-2.11876,0.0257143,-1.36033,0.0257143,All
-2.33064,0.0271429,-2.33667,0.0271429,-2.13872,0.0271429,-2.11755,0.0271429,-1.32315,0.0271429,All
-2.31484,0.0285714,-2.31492,0.0285714,-2.13408,0.0285714,-2.10102,0.0285714,-1.31328,0.0285714,All
-2.28692,0.03,-2.31247,0.03,-2.11606,0.03,-2.06377,0.03,-1.29931,0.03,All
-2.27612,0.0314286,-2.29163,0.0314286,-2.10813,0.0314286,-2.06354,0.0314286,-1.28965,0.0314286,All
-2.26576,0.0328571,-2.28603,0.0328571,-2.10766,0.0328571,-2.05062,0.0328571,-1.28708,0.0328571,All
-2.26012,0.0342857,-2.28078,0.0342857,-2.09995,0.0342857,-2.04465,0.0342857,-1.28224,0.0342857,All
-2.2484,0.0357143,-2.26436,0.0357143,-2.07391,0.0357143,-2.03468,0.0357143,-1.27597,0.0357143,All
-2.24749,0.0371429,-2.23446,0.0371429,-2.05648,0.0371429,-2.00632,0.0371429,-1.25046,0.0371429,All
-2.23346,0.0385714,-2.21918,0.0385714,-2.05506,0.0385714,-1.9923,0.0385714,-1.23421,0.0385714,All
-2.23145,0.04,-2.20437,0.04,-2.04321,0.04,-1.96839,0.04,-1.22536,0.04,All
-2.21293,0.0414286,-2.20437,0.0414286,-2.03946,0.0414286,-1.96748,0.0414286,-1.22293,0.0414286,All
-2.21078,0.0428571,-2.2035,0.0428571,-2.03024,0.0428571,-1.96694,0.0428571,-1.20383,0.0428571,All
-2.20361,0.0442857,-2.18655,0.0442857,-2.0298,0.0442857,-1.94586,0.0442857,-1.20118,0.0442857,All
-2.19355,0.0457143,-2.17754,0.0457143,-1.99897,0.0457143,-1.94435,0.0457143,-1.18926,0.0457143,All
-2.17742,0.0471429,-2.16967,0.0471429,-1.99749,0.0471429,-1.9392,0.0471429,-1.17983,0.0471429,All
-2.15377,0.0485714,-2.1591,0.0485714,-1.98668,0.0485714,-1.92764,0.0485714,-1.15942,0.0485714,All
-2.14482,0.05,-2.15811,0.05,-1.97838,0.05,-1.9177,0.05,-1.15145,0.05,All
-2.14218,0.0514286,-2.06024,0.0514286,-1.94216,0.0514286,-1.90625,0.0514286,-1.15111,0.0514286,All
-2.14217,0.0528571,-2.05318,0.0528571,-1.93973,0.0528571,-1.90327,0.0528571,-1.14611,0.0528571,All
-2.13029,0.0542857,-2.05318,0.0542857,-1.91772,0.0542857,-1.88401,0.0542857,-1.11537,0.0542857,All
-2.12142,0.0557143,-2.05318,0.0557143,-1.91132,0.0557143,-1.82841,0.0557143,-1.07764,0.0557143,All
-2.12091,0.0571429,-2.04879,0.0571429,-1.9052,0.0571429,-1.82085,0.0571429,-1.06526,0.0571429,All
-2.10559,0.0585714,-2.03859,0.0585714,-1.85918,0.0585714,-1.81657,0.0585714,-1.04917,0.0585714,All
-2.06348,0.06,-1.99244,0.06,-1.82971,0.06,-1.80117,0.06,-1.02858,0.06,All
-2.03903,0.0614286,-1.97097,0.0614286,-1.82755,0.0614286,-1.79349,0.0614286,-1.01799,0.0614286,All
-2.01758,0.0628571,-1.95009,0.0628571,-1.81454,0.0628571,-1.79287,0.0628571,-0.977206,0.0628571,All
-2.01467,0.0642857,-1.88649,0.0642857,-1.8129,0.0642857,-1.7829,0.0642857,-0.941781,0.0642857,All
-1.99673,0.0657143,-1.82332,0.0657143,-1.80001,0.0657143,-1.77926,0.0657143,-0.940028,0.0657143,All
-1.98516,0.0671429,-1.7624,0.0671429,-1.72708,0.0671429,-1.76604,0.0671429,-0.901597,0.0671429,All
-1.98479,0.0685714,-1.74528,0.0685714,-1.70333,0.0685714,-1.75688,0.0685714,-0.883629,0.0685714,All
-1.92917,0.07,-1.74342,0.07,-1.69269,0.07,-1.74069,0.07,-0.870447,0.07,All
-1.89722,0.0714286,-1.73884,0.0714286,-1.64608,0.0714286,-1.73345,0.0714286,-0.854583,0.0714286,All
-1.83558,0.0728571,-1.73334,0.0728571,-1.64491,0.0728571,-1.70414,0.0728571,-0.845149,0.0728571,All
-1.79709,0.0742857,-1.73102,0.0742857,-1.62369,0.0742857,-1.70241,0.0742857,-0.844059,0.0742857,All
-1.74368,0.0757143,-1.70923,0.0757143,-1.62057,0.0757143,-1.69516,0.0757143,-0.808508,0.0757143,All
-1.67187,0.0771429,-1.6776,0.0771429,-1.5729,0.0771429,-1.68537,0.0771429,-0.796051,0.0771429,All
-1.66469,0.0785714,-1.65009,0.0785714,-1.56264,0.0785714,-1.68164,0.0785714,-0.77242,0.0785714,All
-1.65228,0.08,-1.64047,0.08,-1.55878,0.08,-1.67919,0.08,-0.75469,0.08,All
-1.62507,0.0814286,-1.6369,0.0814286,-1.55463,0.0814286,-1.65681,0.0814286,-0.739065,0.0814286,All
-1.61966,0.0828571,-1.61793,0.0828571,-1.54527,0.0828571,-1.62058,0.0828571,-0.739059,0.0828571,All
-1.60697,0.0842857,-1.59255,0.0842857,-1.53202,0.0842857,-1.60505,0.0842857,-0.702589,0.0842857,All
-1.59867,0.0857143,-1.55071,0.0857143,-1.52667,0.0857143,-1.58906,0.0857143,-0.699089,0.0857143,All
-1.5921,0.0871429,-1.54851,0.0871429,-1.50117,0.0871429,-1.55696,0.0871429,-0.695863,0.0871429,All
-1.57888,0.0885714,-1.54796,0.0885714,-1.48162,0.0885714,-1.55015,0.0885714,-0.674511,0.0885714,All
-1.5726,0.09,-1.54565,0.09,-1.48094,0.09,-1.54954,0.09,-0.670621,0.09,All
-1.56076,0.0914286,-1.53451,0.0914286,-1.46942,0.0914286,-1.52969,0.0914286,-0.668132,0.0914286,All
-1.56045,0.0928571,-1.52819,0.0928571,-1.41711,0.0928571,-1.50624,0.0928571,-0.652012,0.0928571,All
-1.55071,0.0942857,-1.52795,0.0942857,-1.41698,0.0942857,-1.49124,0.0942857,-0.649446,0.0942857,All
-1.54937,0.0957143,-1.52204,0.0957143,-1.40856,0.0957143,-1.48898,0.0957143,-0.648995,0.0957143,All
-1.54446,0.0971429,-1.51252,0.0971429,-1.39279,0.0971429,-1.47938,0.0971429,-0.637768,0.0971429,All
-1.52006,0.0985714,-1.49268,0.0985714,-1.355,0.0985714,-1.47113,0.0985714,-0.610213,0.0985714,All
-1.51701,0.1,-1.44803,0.1,-1.33767,0.1,-1.47065,0.1,-0.568076,0.1,All
-1.51245,0.101429,-1.42393,0.101429,-1.32845,0.101429,-1.46385,0.101429,-0.558834,0.101429,All
-1.51059,0.102857,-1.40642,0.102857,-1.30533,0.102857,-1.44503,0.102857,-0.48819,0.102857,All
-1.50961,0.104286,-1.40513,0.104286,-1.3012,0.104286,-1.43895,0.104286,-0.478351,0.104286,All
-1.50288,0.105714,-1.4015,0.105714,-1.29767,0.105714,-1.43744,0.105714,-0.431477,0.105714,All
-1.50216,0.107143,-1.38287,0.107143,-1.29619,0.107143,-1.43548,0.107143,-0.427455,0.107143,All
-1.49599,0.108571,-1.3343,0.108571,-1.2852,0.108571,-1.43384,0.108571,-0.400927,0.108571,All
-1.49525,0.11,-1.32584,0.11,-1.27136,0.11,-1.43269,0.11,-0.37132,0.11,All
-1.49438,0.111429,-1.32387,0.111429,-1.2586,0.111429,-1.39099,0.111429,-0.358221,0.111429,All
-1.48516,0.112857,-1.31656,0.112857,-1.24912,0.112857,-1.39,0.112857,-0.342839,0.112857,All
-1.45982,0.114286,-1.2909,0.114286,-1.24851,0.114286,-1.37949,0.114286,-0.315267,0.114286,All
-1.45071,0.115714,-1.27585,0.115714,-1.24743,0.115714,-1.37895,0.115714,-0.290017,0.115714,All
-1.44173,0.117143,-1.25243,0.117143,-1.23718,0.117143,-1.369,0.117143,-0.288826,0.117143,All
-1.44133,0.118571,-1.2515,0.118571,-1.21341,0.118571,-1.36008,0.118571,-0.281896,0.118571,All
-1.43159,0.12,-1.23367,0.12,-1.18565,0.12,-1.35793,0.12,-0.262673,0.12,All
-1.42937,0.121429,-1.2247,0.121429,-1.18347,0.121429,-1.33121,0.121429,-0.260567,0.121429,All
-1.42341,0.122857,-1.19455,0.122857,-1.18195,0.122857,-1.32077,0.122857,-0.243974,0.122857,All
-1.41163,0.124286,-1.18822,0.124286,-1.1753,0.124286,-1.2966,0.124286,-0.235523,0.124286,All
-1.39777,0.125714,-1.16042,0.125714,-1.17271,0.125714,-1.28594,0.125714,-0.225815,0.125714,All
-1.3857,0.127143,-1.1587,0.127143,-1.16832,0.127143,-1.28469,0.127143,-0.19673,0.127143,All
-1.38357,0.128571,-1.14794,0.128571,-1.16512,0.128571,-1.28129,0.128571,-0.193262,0.128571,All
-1.37176,0.13,-1.13535,0.13,-1.15055,0.13,-1.28105,0.13,-0.193123,0.13,All
-1.36867,0.131429,-1.1338,0.131429,-1.14523,0.131429,-1.28045,0.131429,-0.185144,0.131429,All
-1.35981,0.132857,-1.13078,0.132857,-1.12904,0.132857,-1.24242,0.132857,-0.176322,0.132857,All
-1.33909,0.134286,-1.08368,0.134286,-1.12103,0.134286,-1.22453,0.134286,-0.170891,0.134286,All
-1.30878,0.135714,-1.08254,0.135714,-1.11729,0.135714,-1.21468,0.135714,-0.169791,0.135714,All
-1.27445,0.137143,-1.06633,0.137143,-1.11449,0.137143,-1.2137,0.137143,-0.167329,0.137143,All
-1.25799,0.138571,-1.06631,0.138571,-1.1086,0.138571,-1.20175,0.138571,-0.152001,0.138571,All
-1.24618,0.14,-1.02606,0.14,-1.10775,0.14,-1.19747,0.14,-0.145351,0.14,All
-1.24032,0.141429,-1.01633,0.141429,-1.07832,0.141429,-1.19618,0.141429,-0.127919,0.141429,All
-1.20179,0.142857,-1.01563,0.142857,-1.06055,0.142857,-1.17654,0.142857,-0.120021,0.142857,All
-0.984336,0.144286,-1.00348,0.144286,-1.06002,0.144286,-1.17352,0.144286,-0.111541,0.144286,All
-0.962553,0.145714,-0.989072,0.145714,-1.05917,0.145714,-1.16834,0.145714,-0.110348,0.145714,All
-0.960668,0.147143,-0.985539,0.147143,-1.05365,0.147143,-1.1674,0.147143,-0.0802592,0.147143,All
-0.945853,0.148571,-0.980036,0.148571,-1.04666,0.148571,-1.16215,0.148571,-0.0797622,0.148571,All
-0.9409,0.15,-0.972624,0.15,-1.04022,0.15,-1.16102,0.15,-0.0717244,0.15,All
-0.934297,0.151429,-0.967549,0.151429,-1.03922,0.151429,-1.14864,0.151429,-0.0501851,0.151429,All
