standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,standEta_bias_abscissa,standEta_bias_pdf,split
-2.65438,0.0452103,-2.67114,0.0447855,-2.64491,0.0141049,-2.60705,0.0279907,-1.65622,0.0406713,All
-2.49054,0.0723364,-2.47266,0.0746425,-2.43484,0.0564195,-2.39534,0.0489838,-1.18269,0.0969853,All
-2.32669,0.117547,-2.27419,0.119428,-2.22477,0.0705244,-2.18363,0.0629792,-0.709155,0.0907282,All
-2.16285,0.135631,-2.07571,0.0746425,-2.01471,0.133996,-1.97192,0.125958,-0.23562,0.125142,All
-1.99901,0.0723364,-1.87723,0.029857,-1.80464,0.0634719,-1.76021,0.132956,0.237915,0.206485,All
-1.83516,0.0271262,-1.67875,0.0970353,-1.59457,0.0916817,-1.5485,0.104965,0.71145,0.247156,All
-1.67132,0.0813785,-1.48028,0.119428,-1.38451,0.105787,-1.33679,0.146951,1.18498,0.175199,All
-1.50748,0.217009,-1.2818,0.089571,-1.17444,0.162206,-1.12508,0.18194,1.65852,0.0813425,All
-1.34363,0.0994626,-1.08332,0.119428,-0.964375,0.239783,-0.913372,0.18194,2.13205,0.0344141,All
-1.17979,0.0361682,-0.884847,0.179142,-0.754309,0.239783,-0.701661,0.132956,2.60559,0.00312856,All
-1.01595,0.0542523,-0.686371,0.149285,-0.544242,0.380832,-0.489951,0.223926,3.07912,0,All
-0.852102,0.198925,-0.487894,0.283642,-0.334175,0.359674,-0.278241,0.370877,3.55266,0,All
-0.688258,0.406892,-0.289417,0.425462,-0.124109,0.543038,-0.0665305,0.447852,4.02619,0,All
-0.524415,0.361682,-0.0909399,0.40307,0.0859578,0.430199,0.14518,0.426859,4.49973,0,All
-0.360571,0.207967,0.107537,0.358284,0.296024,0.366727,0.35689,0.510831,4.97326,0,All
-0.196728,0.207967,0.306014,0.507569,0.506091,0.444304,0.5686,0.475842,5.4468,0,All
-0.0328844,0.343598,0.504491,0.537426,0.716158,0.366727,0.780311,0.412863,5.92033,0.00312856,All
0.130959,0.714322,0.702968,0.634461,0.926224,0.31736,0.992021,0.27291,6.39387,0.0156428,All
0.294802,0.515397,0.901445,0.358284,1.13629,0.183363,1.20373,0.237921,6.8674,0.181456,All
0.458646,0.415935,1.09992,0.223928,1.34636,0.176311,1.41544,0.139954,7.34094,0.222128,All
0.622489,0.533481,1.2984,0.0970353,1.55642,0.0705244,1.62715,0.0839722,7.81447,0.253413,All
0.786333,0.244135,1.49688,0.0746425,1.76649,0.0493671,1.83886,0.0699768,8.28801,0.115757,All
0.950176,0.325514,1.69535,0.0223928,1.97656,0.0211573,2.05057,0.0349884,8.76154,0.115757,All
1.11402,0.171799,1.89383,0.0821068,2.18662,0.0423146,2.26228,0.0209931,9.23508,0.0688283,All
1.27786,0.244135,2.09231,0.0671783,2.39669,0,2.47399,0,9.70861,0.056314,All
1.44171,0.316472,2.29078,0.0223928,2.60676,0,2.6857,0.00699768,10.1821,0.0406713,All
1.60555,0.162757,2.48926,0.029857,2.81682,0.00705244,2.89741,0.0139954,10.6557,0.0156428,All
