parameter,value
Cl_pop,10.5615664883975
beta_Cl_logtCLCRMLMIN,0.658377562201569
beta_Cl_logtHCM,-0.0688169233618039
beta_Cl_logtWTKG,0.8017045410634
V1_pop,43.3481296822755
Q_pop,21.4952587357937
beta_Q_ANTU_2,-0.795155157864803
beta_Q_logtAGEA,1.480799085495
beta_Q_logtCLCRMLMIN,0.893509076288544
V2_pop,53.9214930274837
omega_Cl,0.177807977269996
omega_V1,0.261376572290798
omega_Q,0.0117202800816859
omega_V2,0.170748829902255
corr_V2_V1,0.998992711845442
a1,0.307153233953253
a2,0.0592542662839239
