Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,split
1.8996,0,8.28953,0,0.980515,0.00714286,10.9406,0,All
2.56679,0.00714286,11.1549,0.00714286,1.07048,0.0142857,14.6833,0.00714286,All
2.5691,0.0142857,12.2519,0.0142857,1.16121,0.0214286,17.0865,0.0142857,All
2.59935,0.0214286,12.3642,0.0214286,1.41647,0.0285714,17.2744,0.0214286,All
2.61908,0.0285714,12.4528,0.0285714,1.61885,0.0357143,18.5147,0.0285714,All
2.62995,0.0357143,12.6014,0.0357143,1.62367,0.0428571,18.6839,0.0357143,All
2.64713,0.0428571,13.3101,0.0428571,1.63217,0.05,18.719,0.0428571,All
2.64936,0.05,13.4589,0.05,1.77649,0.0571429,19.3448,0.05,All
2.70511,0.0571429,13.5171,0.0571429,1.82516,0.0642857,19.7499,0.0571429,All
2.7098,0.0642857,14.0491,0.0642857,1.96373,0.0714286,20.1511,0.0642857,All
2.7692,0.0714286,14.0996,0.0714286,1.96866,0.0785714,20.2594,0.0714286,All
3.12728,0.0785714,14.3132,0.0785714,1.99305,0.0857143,20.2852,0.0785714,All
3.15871,0.0857143,14.4883,0.0857143,1.99432,0.0928571,20.3673,0.0857143,All
3.20353,0.0928571,14.5287,0.0928571,1.99758,0.1,20.4453,0.0928571,All
3.27134,0.1,14.723,0.1,1.99903,0.107143,20.4597,0.1,All
3.28052,0.107143,14.887,0.107143,2.06399,0.114286,20.4876,0.107143,All
3.28256,0.114286,15.1379,0.114286,2.07603,0.121429,20.6412,0.114286,All
3.31625,0.121429,15.1505,0.121429,2.1422,0.128571,20.798,0.121429,All
3.32946,0.128571,15.8641,0.128571,2.17534,0.135714,20.7982,0.128571,All
3.34761,0.135714,15.9326,0.135714,2.19242,0.142857,20.98,0.135714,All
3.38212,0.142857,16.2685,0.142857,2.19664,0.15,21.0495,0.142857,All
4.45708,0.15,16.2821,0.15,2.24489,0.157143,21.1151,0.15,All
4.46771,0.157143,16.5153,0.157143,2.31689,0.164286,21.8902,0.157143,All
4.51883,0.164286,16.5264,0.164286,2.32716,0.171429,22.0469,0.164286,All
4.55311,0.171429,16.5298,0.171429,2.3532,0.178571,22.0897,0.171429,All
4.61277,0.178571,16.605,0.178571,2.35679,0.185714,22.1159,0.178571,All
4.61627,0.185714,16.8592,0.185714,2.44275,0.192857,22.1942,0.185714,All
4.64046,0.192857,17.0244,0.192857,2.48428,0.2,22.8447,0.192857,All
4.64566,0.2,17.4576,0.2,2.49344,0.207143,23.1259,0.2,All
4.66959,0.207143,17.5076,0.207143,2.5933,0.214286,23.293,0.207143,All
4.71675,0.214286,17.5319,0.214286,2.71173,0.221429,23.295,0.214286,All
4.76415,0.221429,17.8598,0.221429,2.72819,0.228571,23.3334,0.221429,All
4.77649,0.228571,18.53,0.228571,2.72854,0.235714,23.4534,0.228571,All
4.78342,0.235714,18.6489,0.235714,2.74144,0.242857,23.5136,0.235714,All
4.80669,0.242857,18.7247,0.242857,2.77906,0.25,23.8022,0.242857,All
4.82045,0.25,18.9014,0.25,2.88265,0.257143,23.972,0.25,All
4.82968,0.257143,18.9418,0.257143,2.91227,0.264286,24.0955,0.257143,All
4.8469,0.264286,19.0257,0.264286,3.21592,0.271429,24.1686,0.264286,All
4.85017,0.271429,19.12,0.271429,3.32028,0.278571,24.3264,0.271429,All
4.86431,0.278571,19.2061,0.278571,3.4012,0.285714,24.5133,0.278571,All
4.87932,0.285714,19.2239,0.285714,3.72287,0.292857,24.6012,0.285714,All
4.87946,0.292857,19.2816,0.292857,3.78722,0.3,24.6135,0.292857,All
4.9064,0.3,19.3018,0.3,3.79104,0.307143,24.6172,0.3,All
4.91778,0.307143,19.4041,0.307143,3.91912,0.314286,24.7187,0.307143,All
4.92039,0.314286,19.5464,0.314286,4.13989,0.321429,24.7265,0.314286,All
4.92356,0.321429,19.6397,0.321429,4.19785,0.328571,24.7416,0.321429,All
