iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2,E_bias,sd_bias
1,5.33523,0.0303641,21.3627,0.122456,7.29123,0.429763,24.9795,0.236887,-0.777104,0.82338
2,5.33598,0.0265555,21.364,0.110177,7.2321,0.37226,24.8179,0.202843,-0.756158,0.726875
3,5.33642,0.0265756,21.3821,0.106403,7.20378,0.358706,24.6529,0.19372,-0.780075,0.684913
4,5.33405,0.0252446,21.3384,0.107358,7.31543,0.344409,24.5072,0.195039,-0.790451,0.66671
5,5.33603,0.0252254,21.3137,0.108645,7.34178,0.337837,24.4816,0.200627,-0.763056,0.650983
6,5.33428,0.0253721,21.3428,0.107445,7.28282,0.333415,24.4209,0.199887,-0.76097,0.644399
7,5.33288,0.0250073,21.352,0.108136,7.28308,0.338429,24.3913,0.199589,-0.760893,0.652267
8,5.33456,0.0255613,21.3689,0.10704,7.27659,0.336767,24.3471,0.199144,-0.755533,0.653678
9,5.33659,0.0253897,21.4041,0.106371,7.26054,0.340125,24.3103,0.199666,-0.738168,0.652452
10,5.33824,0.025558,21.4463,0.10642,7.22162,0.339304,24.3001,0.199809,-0.729723,0.646256
11,5.34083,0.0257421,21.5092,0.107188,7.20904,0.337139,24.3369,0.200217,-0.720439,0.650083
12,5.3413,0.0260074,21.5476,0.106451,7.18217,0.335027,24.3633,0.200381,-0.709231,0.650888
13,5.33905,0.0260723,21.5643,0.106828,7.14889,0.335071,24.3705,0.20023,-0.713774,0.654838
14,5.33898,0.0262284,21.5727,0.107582,7.14001,0.333795,24.4391,0.200224,-0.722737,0.659456
15,5.33999,0.0264376,21.5742,0.107565,7.15155,0.331889,24.5142,0.200498,-0.726389,0.666088
16,5.33868,0.0264747,21.5881,0.10766,7.14068,0.332461,24.5967,0.200081,-0.733383,0.661124
17,5.33692,0.0266731,21.6238,0.108642,7.11195,0.333927,24.6956,0.202116,-0.744051,0.669828
18,5.33576,0.0267042,21.6528,0.108696,7.07607,0.3345,24.7495,0.201025,-0.749524,0.669602
19,5.33466,0.0265826,21.6741,0.10886,7.06178,0.333083,24.7382,0.200742,-0.754573,0.670434
20,5.33422,0.0266057,21.6835,0.109019,7.03779,0.333115,24.7531,0.200523,-0.759852,0.66505
21,5.33254,0.0265472,21.7102,0.108876,7.01374,0.330774,24.787,0.201098,-0.759652,0.666812
22,5.33266,0.0264247,21.725,0.108587,6.99383,0.328812,24.8282,0.201407,-0.758309,0.665887
23,5.33253,0.0263601,21.7359,0.108115,6.97954,0.326132,24.8678,0.201307,-0.751794,0.666685
24,5.33218,0.0262682,21.7519,0.10748,6.95645,0.325307,24.9188,0.200806,-0.747891,0.664737
25,5.33264,0.0262453,21.7893,0.10733,6.93077,0.32436,24.9613,0.20136,-0.741844,0.663877
26,5.33264,0.0261979,21.8149,0.107245,6.91296,0.323052,25.0021,0.202043,-0.742116,0.662492
27,5.33351,0.0261779,21.8328,0.106895,6.89618,0.320819,25.0152,0.201702,-0.739723,0.66172
28,5.33397,0.026323,21.8425,0.107189,6.88984,0.321452,25.0349,0.20196,-0.742953,0.664523
29,5.33511,0.0264807,21.8577,0.107132,6.89238,0.32189,25.0595,0.201616,-0.742955,0.666067
30,5.33554,0.0265345,21.8742,0.107564,6.89263,0.321073,25.0489,0.201409,-0.746657,0.666086
31,5.33646,0.0265452,21.8824,0.107661,6.89446,0.321532,25.0271,0.200443,-0.747508,0.664761
32,5.33721,0.0265658,21.8872,0.107854,6.891,0.3226,25.0123,0.199814,-0.74483,0.663716
33,5.33793,0.0264803,21.8803,0.107912,6.88947,0.323198,25.0166,0.198942,-0.743934,0.662014
34,5.33805,0.0263784,21.8802,0.107785,6.88888,0.322858,25.0341,0.19874,-0.745603,0.659582
35,5.33794,0.0263907,21.8932,0.107165,6.8748,0.321845,25.0653,0.198978,-0.749669,0.66274
