simulations,OFV
500,1183.82
1000,1183.95
1500,1183.3
2000,1181.59
2500,1182.13
3000,1182.65
3500,1182.14
4000,1182.23
4500,1182.65
5000,1182.86
5500,1182.88
6000,1183.15
6500,1182.56
7000,1182.39
7500,1182.19
8000,1182.37
8500,1182.62
9000,1182.39
9500,1182.07
10000,1181.86
10500,1181.79
11000,1181.8
11500,1181.55
12000,1181.31
12500,1181.48
13000,1181.29
13500,1181.22
14000,1181.13
14500,1181.18
15000,1181.32
15500,1181.09
16000,1181.17
16500,1181.15
17000,1181.23
17500,1181.2
18000,1180.93
18500,1181.11
19000,1181
19500,1180.9
20000,1180.73
20500,1180.76
21000,1180.47
21500,1180.54
22000,1180.66
22500,1180.5
23000,1180.34
23500,1180.32
24000,1180.25
24500,1180.07
25000,1180.13
25500,1180.16
26000,1180.14
26500,1180.01
27000,1179.93
27500,1179.94
28000,1180.07
28500,1180.09
29000,1180.19
29500,1180.27
30000,1180.35
