fi_abscissa,fi_cdf,V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
0.384318,0,24.6122,0,3.80003,0,All
0.486736,0.00714286,34.7553,0.00714286,5.0893,0.00714286,All
0.521893,0.0142857,34.9692,0.0142857,5.29064,0.0142857,All
0.532218,0.0214286,35.6281,0.0214286,5.35509,0.0214286,All
0.533439,0.0285714,38.1012,0.0285714,5.43235,0.0285714,All
0.569667,0.0357143,38.1437,0.0357143,5.65816,0.0357143,All
0.570147,0.0428571,38.6268,0.0428571,5.86752,0.0428571,All
0.576964,0.05,39.0686,0.05,5.89722,0.05,All
0.582286,0.0571429,40.489,0.0571429,5.92079,0.0571429,All
0.594407,0.0642857,42.4677,0.0642857,5.92723,0.0642857,All
0.620292,0.0714286,42.5286,0.0714286,5.96066,0.0714286,All
0.638489,0.0785714,42.71,0.0785714,5.97249,0.0785714,All
0.657122,0.0857143,43.0045,0.0857143,6.02625,0.0857143,All
0.678622,0.0928571,44.7147,0.0928571,6.20224,0.0928571,All
0.728354,0.1,44.9586,0.1,6.23628,0.1,All
0.746993,0.107143,45.5891,0.107143,6.43006,0.107143,All
0.766175,0.114286,45.8946,0.114286,6.52038,0.114286,All
0.767912,0.121429,46.1172,0.121429,6.64186,0.121429,All
0.779655,0.128571,46.1314,0.128571,6.69515,0.128571,All
0.781852,0.135714,46.8609,0.135714,6.84427,0.135714,All
0.784773,0.142857,46.866,0.142857,6.95875,0.142857,All
0.785681,0.15,47.1088,0.15,8.29998,0.15,All
0.785708,0.157143,47.1492,0.157143,8.64759,0.157143,All
0.790869,0.164286,47.3154,0.164286,8.74094,0.164286,All
0.794897,0.171429,47.3546,0.171429,8.75248,0.171429,All
0.804264,0.178571,48.3186,0.178571,8.86951,0.178571,All
0.811536,0.185714,48.3219,0.185714,8.98535,0.185714,All
0.813418,0.192857,48.6524,0.192857,8.98743,0.192857,All
0.813796,0.2,48.6611,0.2,9.10634,0.2,All
0.815388,0.207143,49.4182,0.207143,9.12683,0.207143,All
0.817706,0.214286,49.4881,0.214286,9.13663,0.214286,All
0.822011,0.221429,49.5665,0.221429,9.2574,0.221429,All
0.823535,0.228571,49.8393,0.228571,9.29206,0.228571,All
0.826543,0.235714,49.9924,0.235714,9.30157,0.235714,All
0.828989,0.242857,51.0914,0.242857,9.30213,0.242857,All
0.83685,0.25,51.4624,0.25,9.3436,0.25,All
0.838383,0.257143,51.701,0.257143,9.3972,0.257143,All
0.843387,0.264286,51.8049,0.264286,9.4756,0.264286,All
0.843546,0.271429,51.836,0.271429,9.57969,0.271429,All
0.843935,0.278571,52.0615,0.278571,9.6147,0.278571,All
0.848838,0.285714,52.1055,0.285714,9.61521,0.285714,All
0.857364,0.292857,52.1595,0.292857,9.66138,0.292857,All
0.858789,0.3,52.216,0.3,9.66955,0.3,All
0.8617,0.307143,52.3884,0.307143,9.676,0.307143,All
0.863956,0.314286,52.479,0.314286,9.68739,0.314286,All
0.868419,0.321429,52.4975,0.321429,9.70532,0.321429,All
0.868675,0.328571,52.5398,0.328571,9.7245,0.328571,All
0.869771,0.335714,52.5749,0.335714,9.73772,0.335714,All
0.871627,0.342857,52.6248,0.342857,9.75348,0.342857,All
0.873747,0.35,52.7908,0.35,9.80482,0.35,All
0.874338,0.357143,52.8742,0.357143,9.85186,0.357143,All
0.875287,0.364286,53.167,0.364286,9.87444,0.364286,All
0.879254,0.371429,53.1808,0.371429,9.87989,0.371429,All
0.883143,0.378571,53.3402,0.378571,9.88486,0.378571,All
0.886374,0.385714,53.44,0.385714,9.9349,0.385714,All
0.887003,0.392857,53.5503,0.392857,9.96311,0.392857,All
0.888321,0.4,53.6501,0.4,9.96957,0.4,All
0.889622,0.407143,53.6747,0.407143,9.98642,0.407143,All
0.890222,0.414286,53.7181,0.414286,10.0199,0.414286,All
0.894442,0.421429,53.9135,0.421429,10.0695,0.421429,All
0.895325,0.428571,54.0141,0.428571,10.1199,0.428571,All
0.896464,0.435714,54.227,0.435714,10.1311,0.435714,All
0.905943,0.442857,54.3385,0.442857,10.1321,0.442857,All
0.9081,0.45,54.3469,0.45,10.2033,0.45,All
0.911714,0.457143,54.489,0.457143,10.2076,0.457143,All
0.912308,0.464286,54.5481,0.464286,10.2521,0.464286,All
0.912783,0.471429,54.6449,0.471429,10.3091,0.471429,All
0.9156,0.478571,54.7653,0.478571,10.3302,0.478571,All
0.916261,0.485714,54.9432,0.485714,10.3501,0.485714,All
0.918713,0.492857,55.3568,0.492857,10.3902,0.492857,All
0.919849,0.5,55.3895,0.5,10.4093,0.5,All
0.919865,0.507143,55.4009,0.507143,10.5758,0.507143,All
0.920678,0.514286,55.4437,0.514286,10.5921,0.514286,All
0.921357,0.521429,55.4696,0.521429,10.6577,0.521429,All
0.927129,0.528571,55.7559,0.528571,10.8596,0.528571,All
0.931183,0.535714,55.8205,0.535714,10.9577,0.535714,All
0.933431,0.542857,55.9143,0.542857,11.0083,0.542857,All
0.934504,0.55,56.0828,0.55,11.0879,0.55,All
0.937404,0.557143,56.2747,0.557143,11.2085,0.557143,All
0.9416,0.564286,56.3507,0.564286,11.2585,0.564286,All
0.943944,0.571429,56.4166,0.571429,11.2879,0.571429,All
0.950277,0.578571,56.5635,0.578571,11.32,0.578571,All
0.95265,0.585714,56.7497,0.585714,11.3711,0.585714,All
0.955718,0.592857,56.9588,0.592857,11.3712,0.592857,All
0.960833,0.6,57.8691,0.6,11.5265,0.6,All
0.970737,0.607143,58.0966,0.607143,11.5451,0.607143,All
0.971559,0.614286,58.3081,0.614286,11.5952,0.614286,All
0.972977,0.621429,58.3734,0.621429,11.6522,0.621429,All
0.973258,0.628571,58.5374,0.628571,11.6577,0.628571,All
0.974284,0.635714,58.8471,0.635714,11.6699,0.635714,All
0.975349,0.642857,59.3598,0.642857,11.6995,0.642857,All
0.977415,0.65,59.5147,0.65,11.7053,0.65,All
0.980297,0.657143,59.5169,0.657143,11.7525,0.657143,All
0.980889,0.664286,59.7964,0.664286,11.7609,0.664286,All
0.982054,0.671429,60.0015,0.671429,11.7845,0.671429,All
0.991674,0.678571,60.3108,0.678571,11.8049,0.678571,All
0.991791,0.685714,60.4562,0.685714,11.8267,0.685714,All
0.993116,0.692857,60.7074,0.692857,11.8281,0.692857,All
0.993131,0.7,60.792,0.7,11.8376,0.7,All
1.00388,0.707143,61.155,0.707143,11.8834,0.707143,All
1.00571,0.714286,61.2695,0.714286,11.8884,0.714286,All
1.00668,0.721429,61.3235,0.721429,11.9175,0.721429,All
1.01564,0.728571,61.4427,0.728571,12.0027,0.728571,All
1.0223,0.735714,61.625,0.735714,12.0101,0.735714,All
1.0321,0.742857,61.8117,0.742857,12.054,0.742857,All
1.03311,0.75,61.836,0.75,12.124,0.75,All
1.03635,0.757143,61.8641,0.757143,12.1859,0.757143,All
1.04391,0.764286,61.9116,0.764286,12.2652,0.764286,All
1.04439,0.771429,62.1081,0.771429,12.2798,0.771429,All
1.05764,0.778571,62.1181,0.778571,12.288,0.778571,All
1.05831,0.785714,62.171,0.785714,12.3941,0.785714,All
1.05957,0.792857,62.8489,0.792857,12.4772,0.792857,All
1.06506,0.8,62.8898,0.8,12.522,0.8,All
1.07496,0.807143,63.0896,0.807143,12.5221,0.807143,All
1.075,0.814286,63.3022,0.814286,12.5412,0.814286,All
1.07707,0.821429,63.4012,0.821429,12.5505,0.821429,All
1.0866,0.828571,63.8901,0.828571,12.6104,0.828571,All
1.09054,0.835714,64.4001,0.835714,12.6628,0.835714,All
1.0953,0.842857,64.5831,0.842857,12.7263,0.842857,All
1.09968,0.85,64.8992,0.85,12.7893,0.85,All
1.10123,0.857143,64.9678,0.857143,12.8012,0.857143,All
1.11716,0.864286,65.0979,0.864286,12.8295,0.864286,All
1.1291,0.871429,65.2218,0.871429,12.8432,0.871429,All
1.13172,0.878571,65.4571,0.878571,12.8467,0.878571,All
1.13231,0.885714,65.6126,0.885714,12.8962,0.885714,All
1.13664,0.892857,65.7713,0.892857,12.9416,0.892857,All
1.13771,0.9,66.0893,0.9,13.0238,0.9,All
1.14057,0.907143,66.8478,0.907143,13.0382,0.907143,All
1.14381,0.914286,66.9608,0.914286,13.1476,0.914286,All
1.14915,0.921429,68.4049,0.921429,13.1508,0.921429,All
1.1536,0.928571,68.9549,0.928571,13.3413,0.928571,All
1.16154,0.935714,69.0331,0.935714,13.6459,0.935714,All
1.16382,0.942857,69.115,0.942857,13.8313,0.942857,All
1.18975,0.95,69.326,0.95,13.8765,0.95,All
1.19225,0.957143,70.4561,0.957143,13.8914,0.957143,All
1.19472,0.964286,71.2423,0.964286,13.898,0.964286,All
1.19795,0.971429,72.2915,0.971429,14.1533,0.971429,All
1.20103,0.978571,74.3576,0.978571,14.2522,0.978571,All
1.20942,0.985714,75.1539,0.985714,14.259,0.985714,All
1.22554,0.992857,78.2779,0.992857,14.2866,0.992857,All
1.26901,1,80.6206,1,14.4919,1,All
2.14342,1,121.225,1,26.951,1,All
