fi_abscissa,fi_pdf,V_abscissa,V_pdf,Cl_abscissa,Cl_pdf,split
0.519331,0.474806,36.6664,0.0101228,5.48108,0.059254,All
0.58452,0.593507,40.4885,0.0060737,6.26463,0.108632,All
0.64971,0.474806,44.3106,0.0202457,7.04818,0.029627,All
0.714899,0.237403,48.1327,0.0303685,7.83174,0,All
0.780089,1.30572,51.9548,0.0506141,8.61529,0.0691296,All
0.845279,2.96754,55.7769,0.0506141,9.39884,0.207389,All
0.910468,3.32364,59.599,0.0384667,10.1824,0.217265,All
0.975658,2.61143,63.4211,0.0404913,10.9659,0.108632,All
1.04085,1.30572,67.2432,0.0202457,11.7495,0.237016,All
1.10604,1.66182,71.0653,0.00809826,12.533,0.187638,All
1.17123,1.30572,74.8874,0.00404913,13.3166,0.0691296,All
1.23642,0.356104,78.7095,0.00404913,14.1002,0.088881,All
