fi_abscissa,fi_pdf,fi_cdf,V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
0.384318,0.000247255,3.90683e-06,24.6122,8.8925e-07,7.22544e-07,3.80003,0.000192181,4.39386e-05,All
0.402087,0.000657595,1.14218e-05,25.5881,2.58232e-06,2.28469e-06,4.03388,0.000449384,0.000115377,All
0.419855,0.00159194,3.03375e-05,26.564,6.83916e-06,6.58061e-06,4.26773,0.000950518,0.000273017,All
0.437624,0.00354284,7.39553e-05,27.5399,1.66607e-05,1.74159e-05,4.50158,0.0018432,0.000590349,All
0.455393,0.00731044,0.000166922,28.5158,3.76122e-05,4.26764e-05,4.73542,0.00331346,0.00118002,All
0.473161,0.0140907,0.000351502,29.4917,7.92108e-05,9.74823e-05,4.96927,0.00557345,0.00220158,All
0.49093,0.0255351,0.000695201,30.4675,0.000156534,0.000208821,5.20312,0.00884103,0.0038653,All
0.508699,0.0437555,0.00129901,31.4434,0.000291795,0.000421757,5.43697,0.0133139,0.00643057,All
0.526467,0.0712518,0.00230505,32.4193,0.000515493,0.000807011,5.67082,0.0191425,0.010198,All
0.544236,0.110754,0.00390222,33.3952,0.000866698,0.00146927,5.90466,0.0264066,0.0154956,All
0.562005,0.164982,0.00632823,34.3711,0.00139204,0.00255519,6.13851,0.0350982,0.0226598,All
0.579773,0.23635,0.00986687,35.347,0.00214319,0.00425966,6.37236,0.0451143,0.0320144,All
0.597542,0.326652,0.0148398,36.3228,0.0031727,0.00682879,6.60621,0.0562603,0.0438479,All
0.615311,0.436772,0.0215928,37.2987,0.00452872,0.0105583,6.84006,0.0682617,0.0583939,All
0.633079,0.566458,0.0304777,38.2746,0.00624892,0.0157864,7.07391,0.0807838,0.0758143,All
0.650848,0.714204,0.0418305,39.2505,0.00835461,0.0228804,7.30775,0.0934553,0.0961879,All
0.668617,0.877247,0.0559494,40.2264,0.0108457,0.0322183,7.5416,0.105894,0.119505,All
0.686385,1.05169,0.0730732,41.2023,0.0136977,0.0441664,7.77545,0.117729,0.145667,All
0.704154,1.23271,0.0933626,42.1781,0.0168601,0.0590543,8.0093,0.128626,0.174493,All
0.721923,1.41489,0.116887,43.154,0.0202587,0.0771505,8.24315,0.138298,0.205729,All
0.739691,1.59256,0.143617,44.1299,0.0237988,0.0986407,8.47699,0.146519,0.239061,All
0.75746,1.76013,0.173423,45.1058,0.0273711,0.123611,8.71084,0.153131,0.27413,All
0.775229,1.91247,0.206077,46.0817,0.0308588,0.152035,8.94469,0.158042,0.310547,All
0.792998,2.04514,0.24127,47.0576,0.0341454,0.183774,9.17854,0.161223,0.347911,All
0.810766,2.15461,0.278618,48.0334,0.0371216,0.218578,9.41239,0.162705,0.385818,All
0.828535,2.2384,0.317687,49.0093,0.0396924,0.256095,9.64623,0.162567,0.423881,All
0.846304,2.29513,0.358005,49.9852,0.0417815,0.295891,9.88008,0.160927,0.461733,All
0.864072,2.32447,0.399087,50.9611,0.0433351,0.337468,10.1139,0.157932,0.49904,All
0.881841,2.32706,0.440452,51.937,0.0443231,0.380287,10.3478,0.153752,0.535505,All
0.89961,2.3044,0.481635,52.9129,0.0447391,0.42379,10.5816,0.148564,0.570871,All
0.917378,2.25866,0.522207,53.8887,0.0445986,0.467426,10.8155,0.142551,0.604923,All
0.935147,2.19252,0.561781,54.8646,0.0439362,0.510667,11.0493,0.13589,0.637491,All
0.952916,2.10899,0.600021,55.8405,0.0428018,0.553026,11.2832,0.128752,0.668442,All
0.970684,2.01127,0.636645,56.8164,0.0412566,0.594072,11.517,0.121295,0.697683,All
0.988453,1.90255,0.671431,57.7923,0.039369,0.633438,11.7509,0.113661,0.725157,All
1.00622,1.78594,0.70421,58.7682,0.0372109,0.670823,11.9847,0.105975,0.750838,All
1.02399,1.66435,0.734869,59.744,0.0348536,0.706,12.2186,0.098346,0.774726,All
1.04176,1.54043,0.763343,60.7199,0.0323659,0.738807,12.4524,0.0908657,0.796845,All
1.05953,1.4165,0.789612,61.6958,0.0298107,0.769149,12.6863,0.0836083,0.817241,All
1.0773,1.29456,0.813693,62.6717,0.0272445,0.796987,12.9201,0.0766329,0.835971,All
1.09507,1.17623,0.835638,63.6476,0.0247156,0.822336,13.154,0.069984,0.853107,All
1.11283,1.06283,0.855523,64.6235,0.0222642,0.845252,13.3878,0.0636936,0.86873,All
1.1306,0.955345,0.873443,65.5993,0.0199218,0.865826,13.6217,0.0577823,0.882926,All
1.14837,0.854473,0.889512,66.5752,0.0177124,0.884178,13.8555,0.0522612,0.895785,All
1.16614,0.760657,0.903851,67.5511,0.0156526,0.900445,14.0893,0.0471332,0.907399,All
1.18391,0.674116,0.916587,68.527,0.0137523,0.91478,14.3232,0.0423946,0.917859,All
1.20168,0.594886,0.927851,69.5029,0.0120161,0.92734,14.557,0.0380363,0.927256,All
1.21945,0.522853,0.937771,70.4788,0.0104439,0.938286,14.7909,0.0340451,0.935677,All
1.23721,0.457782,0.946473,71.4547,0.0090319,0.947776,15.0247,0.0304046,0.943206,All
1.25498,0.399351,0.954078,72.4305,0.0077734,0.955964,15.2586,0.0270962,0.949923,All
1.27275,0.347172,0.960702,73.4064,0.00665968,0.962995,15.4924,0.0240999,0.955903,All
1.29052,0.300817,0.96645,74.3823,0.00568063,0.969006,15.7263,0.0213949,0.961217,All
1.30829,0.259836,0.971424,75.3582,0.00482532,0.974123,15.9601,0.0189601,0.965931,All
1.32606,0.223769,0.975713,76.3341,0.00408247,0.97846,16.194,0.0167745,0.970104,All
1.34383,0.192163,0.979402,77.31,0.00344085,0.982124,16.4278,0.0148177,0.973794,All
1.3616,0.164576,0.982566,78.2858,0.00288953,0.985205,16.6617,0.0130699,0.977051,All
1.37936,0.140587,0.985272,79.2617,0.00241812,0.987789,16.8955,0.0115123,0.979922,All
1.39713,0.119802,0.987581,80.2376,0.0020169,0.989948,17.1294,0.010127,0.982449,All
1.4149,0.101852,0.989546,81.2135,0.00167691,0.991746,17.3632,0.00889755,0.98467,All
1.43267,0.0864006,0.991215,82.1894,0.00139001,0.993238,17.5971,0.00780828,0.986621,All
1.45044,0.0731386,0.99263,83.1653,0.00114884,0.994473,17.8309,0.00684492,0.988332,All
1.46821,0.061788,0.993826,84.1411,0.000946886,0.995493,18.0648,0.00599427,0.989831,All
1.48598,0.0520993,0.994835,85.117,0.00077836,0.996332,18.2986,0.00524428,0.991143,All
1.50374,0.04385,0.995686,86.0929,0.000638205,0.997022,18.5325,0.00458398,0.992291,All
1.52151,0.036843,0.996401,87.0688,0.000522016,0.997586,18.7663,0.00400342,0.993293,All
1.53928,0.0309047,0.997002,88.0447,0.000425989,0.998047,19.0002,0.0034936,0.994169,All
1.55705,0.025883,0.997505,89.0206,0.000346854,0.998423,19.234,0.00304643,0.994932,All
1.57482,0.0216449,0.997926,89.9964,0.00028182,0.998728,19.4679,0.00265463,0.995598,All
