simulations, -2LL
1000,602.206
2000,602.508
3000,602.455
4000,602.198
5000,602.188
6000,602.006
7000,602.039
8000,601.951
9000,601.426
10000,601.515
11000,601.491
12000,601.464
13000,601.59
14000,601.714
15000,601.761
16000,601.859
17000,601.922
18000,601.978
19000,602.033
20000,602.026
21000,602
22000,602.049
23000,602.072
24000,602.033
25000,601.945
26000,601.931
27000,601.957
28000,601.921
29000,601.94
30000,601.945
