Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
4.58131,0.0126157,19.017,0.00223588,4.02318,0.0438624,21.7108,0.0100476,All
4.93361,0.0672837,21.6674,0.00894351,7.23187,0.0434007,37.3401,0.0145027,All
5.2859,0.117746,24.3178,0.0245947,10.4406,0.0664862,52.9694,0.0153558,All
5.6382,0.0126157,26.9682,0.0128563,13.6492,0.0535583,68.5987,0.00909972,All
5.99049,0,29.6186,0.0173281,16.8579,0.0401687,84.228,0.00530817,All
6.34279,0.0210262,32.2689,0.0251536,20.0666,0.0337048,99.8573,0.0034124,All
6.69508,0.100926,34.9193,0.0234767,23.2753,0.0180067,115.487,0.00246451,All
7.04738,0.0883099,37.5697,0.0268305,26.484,0.00831077,131.116,0.00142183,All
7.39967,0,40.2201,0.0318613,29.6927,0.00646393,146.745,0.00104268,All
7.75197,0,42.8705,0.0340971,32.9014,0.0046171,162.374,0.00075831,All
8.10426,0,45.5208,0.0279485,36.11,0.00230855,178.004,0.000379155,All
8.45656,0.00420523,48.1712,0.055338,39.3187,0.00138513,193.633,0.000189578,All
8.80885,0.0504628,50.8216,0.036892,42.5274,0,209.262,0.000189578,All
9.16115,0.130362,53.472,0.0206819,45.7361,0,224.892,0.000284366,All
9.51344,0.117746,56.1223,0.00894351,48.9448,0,240.521,0.000568733,All
9.86574,0.332213,58.7727,0.0072666,52.1535,0,256.15,0,All
10.218,0.285956,61.4231,0.00223588,55.3622,0,271.78,0,All
10.5703,0.164004,64.0735,0.00391279,58.5709,0,287.409,0.000284366,All
10.9226,0.0841046,66.7239,0.00279485,61.7795,0.00046171,303.038,0.000379155,All
11.2749,0.155594,69.3742,0.00167691,64.9882,0,318.667,0.000189578,All
11.6272,0.222877,72.0246,0.00167691,68.1969,0,334.297,0,All
11.9795,0.193441,74.675,0.00447176,71.4056,0,349.926,0.000189578,All
12.3318,0.197646,77.3254,0.00223588,74.6143,0,365.555,0,All
12.6841,0.214467,79.9758,0.00279485,77.823,0,381.185,0,All
13.0364,0.206056,82.6261,0.00167691,81.0317,0,396.814,0,All
13.3887,0.121952,85.2765,0.00167691,84.2403,0,412.443,0.000189578,All
13.741,0.0420523,87.9269,0.00167691,87.449,0.00046171,428.072,9.47888e-05,All
