Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,split
1.90242,0,7.52575,0,1.08423,0.00142857,8.79142,0,All
2.52599,0.00142857,11.4723,0.00142857,1.13388,0.00285714,11.0039,0.00142857,All
2.52636,0.00285714,11.4773,0.00285714,1.19002,0.00428571,11.0089,0.00285714,All
2.5266,0.00428571,11.4819,0.00428571,1.20944,0.00571429,11.012,0.00428571,All
2.52723,0.00571429,11.5189,0.00571429,1.39559,0.00714286,11.0156,0.00571429,All
2.52771,0.00714286,11.5259,0.00714286,1.44048,0.00857143,11.0196,0.00714286,All
2.52845,0.00857143,11.5265,0.00857143,1.49825,0.01,11.0207,0.00857143,All
2.53184,0.01,11.5292,0.01,1.49864,0.0114286,11.0211,0.01,All
2.53184,0.0114286,11.5315,0.0114286,1.54449,0.0128571,11.023,0.0114286,All
2.53192,0.0128571,11.5375,0.0128571,1.57312,0.0142857,11.0236,0.0128571,All
2.53206,0.0142857,11.5434,0.0142857,1.5789,0.0157143,11.0243,0.0142857,All
2.53254,0.0157143,11.546,0.0157143,1.63834,0.0171429,11.0273,0.0157143,All
2.535,0.0171429,11.5584,0.0171429,1.63839,0.0185714,11.0391,0.0171429,All
2.53997,0.0185714,11.5617,0.0185714,1.64896,0.02,11.2848,0.0185714,All
2.60005,0.02,11.5632,0.02,1.65419,0.0214286,11.2864,0.02,All
2.60581,0.0214286,11.567,0.0214286,1.68493,0.0228571,11.2874,0.0214286,All
2.61075,0.0228571,11.5671,0.0228571,1.70672,0.0242857,11.3359,0.0228571,All
2.61195,0.0242857,11.5678,0.0242857,1.71702,0.0257143,11.3401,0.0242857,All
2.61195,0.0257143,11.571,0.0257143,1.73031,0.0271429,11.3407,0.0257143,All
2.61309,0.0271429,11.571,0.0271429,1.73239,0.0285714,11.3411,0.0271429,All
2.61315,0.0285714,11.5737,0.0285714,1.73896,0.03,11.3432,0.0285714,All
2.61364,0.03,11.5819,0.03,1.73909,0.0314286,11.3436,0.03,All
2.61428,0.0314286,11.5833,0.0314286,1.7467,0.0328571,11.3447,0.0314286,All
2.61469,0.0328571,11.6074,0.0328571,1.75711,0.0342857,11.3474,0.0328571,All
2.61519,0.0342857,11.6104,0.0342857,1.76027,0.0357143,11.3476,0.0342857,All
2.61593,0.0357143,11.6127,0.0357143,1.76844,0.0371429,11.3487,0.0357143,All
2.66392,0.0371429,11.6205,0.0371429,1.79922,0.0385714,12.4014,0.0371429,All
2.66587,0.0385714,11.6225,0.0385714,1.81135,0.04,12.4063,0.0385714,All
2.67007,0.04,11.6283,0.04,1.81821,0.0414286,12.4089,0.04,All
2.67007,0.0414286,11.6296,0.0414286,1.81958,0.0428571,12.4119,0.0414286,All
2.6709,0.0428571,11.6379,0.0428571,1.82821,0.0442857,12.4151,0.0428571,All
2.67267,0.0442857,11.6388,0.0442857,1.82883,0.0457143,12.4159,0.0442857,All
2.67378,0.0457143,11.64,0.0457143,1.84191,0.0471429,12.4173,0.0457143,All
2.67463,0.0471429,11.64,0.0471429,1.84391,0.0485714,12.4176,0.0471429,All
2.67543,0.0485714,11.6481,0.0485714,1.84661,0.05,12.4199,0.0485714,All
2.67692,0.05,11.6554,0.05,1.87701,0.0514286,12.4264,0.05,All
2.67694,0.0514286,12.7833,0.0514286,1.89706,0.0528571,12.6913,0.0514286,All
2.67947,0.0528571,12.7926,0.0528571,1.89927,0.0542857,12.6953,0.0528571,All
2.68011,0.0542857,12.7945,0.0542857,1.91272,0.0557143,12.6956,0.0542857,All
2.68262,0.0557143,12.7957,0.0557143,1.9421,0.0571429,12.6968,0.0557143,All
2.69273,0.0571429,12.7962,0.0571429,1.9426,0.0585714,12.7912,0.0571429,All
2.82255,0.0585714,12.7971,0.0585714,1.94753,0.06,12.7919,0.0585714,All
2.8243,0.06,12.7988,0.06,1.9491,0.0614286,12.7938,0.06,All
2.82446,0.0614286,12.7988,0.0614286,1.95555,0.0628571,12.7951,0.0614286,All
2.82446,0.0628571,12.7988,0.0628571,1.96556,0.0642857,12.7979,0.0628571,All
2.82618,0.0642857,12.7989,0.0642857,1.9732,0.0657143,12.803,0.0642857,All
2.82734,0.0657143,12.8303,0.0657143,1.97948,0.0671429,12.8067,0.0657143,All
2.83211,0.0671429,12.8335,0.0671429,2.02608,0.0685714,12.8079,0.0671429,All
2.83453,0.0685714,12.8363,0.0685714,2.02608,0.07,15.0337,0.0685714,All
2.83475,0.07,12.8406,0.07,2.06841,0.0714286,15.036,0.07,All
2.83479,0.0714286,12.909,0.0714286,2.1176,0.0728571,15.0421,0.0714286,All
3.22545,0.0728571,12.909,0.0728571,2.12067,0.0742857,15.0457,0.0728571,All
3.22639,0.0742857,12.9095,0.0742857,2.12134,0.0757143,15.0463,0.0742857,All
3.22858,0.0757143,12.9102,0.0757143,2.13558,0.0771429,15.0463,0.0757143,All
3.22894,0.0771429,12.9217,0.0771429,2.13558,0.0785714,15.0502,0.0771429,All
3.23112,0.0785714,12.9282,0.0785714,2.14383,0.08,15.0658,0.0785714,All
3.23209,0.08,12.934,0.08,2.14859,0.0814286,15.0928,0.08,All
3.23228,0.0814286,12.937,0.0814286,2.16551,0.0828571,15.0947,0.0814286,All
3.23482,0.0828571,13.2986,0.0828571,2.21236,0.0842857,15.1122,0.0828571,All
3.23503,0.0842857,13.302,0.0842857,2.21236,0.0857143,15.1143,0.0842857,All
