iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_centeredCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,b
1,845.999,1,5.13,0,20.91,5.39,26.12,1.5,1.5,1,1,0.3
2,837.991,1,1.12082,1.33362,25.9833,7.08251,29.8064,1.46202,1.46202,1.10893,0.974679,0.285
3,811.508,1,2.03299,0.85144,27.8334,7.09493,33.5734,1.425,1.425,1.09237,0.95,0.27075
4,807.135,1,2.29039,0.613883,26.6442,8.67004,50.1334,1.38892,1.38892,1.06471,0.925945,0.257212
5,797.368,1,2.85117,0.501415,29.7759,7.29117,61.3342,1.35375,1.35375,1.03775,0.9025,0.244352
6,782.507,1,2.15485,0.733068,23.2765,6.41038,58.8457,1.31947,1.31947,1.02207,0.879648,0.232134
7,776.668,1,1.21326,1.23435,31.1195,6.15641,66.5784,1.28606,1.28606,1.03477,0.857375,0.220528
8,754.302,1,1.7704,0.887413,30.8383,6.30802,68.3113,1.2535,1.2535,1.00857,0.835666,0.209501
9,757.998,1,2.26655,0.632587,28.4444,5.05575,59.8347,1.22176,1.22176,0.983035,0.89135,0.199026
10,734.999,1,1.76157,0.897842,28.8648,5.35555,66.2444,1.19082,1.19082,0.958144,0.868781,0.189075
11,722.209,1,2.62909,0.610697,30.2349,5.26228,63.8642,1.16067,1.16067,0.933883,0.886747,0.179621
12,708.063,1,1.88972,0.896125,32.003,5.92013,58.9787,1.13128,1.13128,0.910237,0.940956,0.17064
13,721.514,1,1.26078,1.20392,23.4371,7.42757,71.435,1.10264,1.10264,0.999951,1.04579,0.162108
14,715.173,1,1.41388,1.09301,22.531,6.82178,72.5894,1.07472,1.07472,1.02743,1.09955,0.154003
15,686.222,1,1.32326,1.1449,21.3261,8.82592,67.2631,1.04751,1.04751,1.00184,1.0717,0.146302
16,675.057,1,1.7907,0.889359,23.3863,8.47169,60.2099,1.02098,1.02098,0.987993,1.04457,0.138987
17,656.082,1,2.18687,0.704516,22.2654,6.65116,69.1809,0.995131,0.995131,0.962977,1.01812,0.132038
18,652.01,1,2.83499,0.469652,21.8046,6.54145,59.064,0.969933,0.969933,0.938594,1.09789,0.125436
19,650.511,1,1.90893,0.799015,22.1552,8.19256,65.3663,0.945374,0.945374,0.914828,1.07009,0.119164
20,636.451,1,1.55924,1.01346,20.4631,7.33869,60.4061,0.921437,0.921437,0.891664,1.04299,0.113206
21,624.587,1,1.90516,0.856365,19.9641,9.37892,53.8376,0.898105,0.898105,0.914732,1.01658,0.107546
22,610.391,1,2.44,0.629196,19.5413,7.38973,54.5703,0.875365,0.875365,0.959614,0.990842,0.102168
23,599.636,1,2.29922,0.688341,19.5651,6.83764,54.3928,0.8532,0.8532,0.935317,0.965753,0.0970601
24,595.241,1,3.25572,0.346261,19.3727,7.15593,60.2075,0.831597,0.831597,0.940476,0.966899,0.0922071
25,577.034,1,3.02103,0.376728,19.3147,6.26021,62.3324,0.81054,0.81054,0.916663,0.942416,0.0875967
26,563.279,1,2.70632,0.458286,21.0238,6.14989,63.9537,0.790017,0.790017,0.893453,0.957648,0.0832169
27,564.376,1,2.62846,0.477157,20.4006,5.91042,69.7766,0.770013,0.770013,0.87083,0.934753,0.079056
28,554.961,1,2.68471,0.455842,20.6293,5.48394,73.626,0.750516,0.750516,0.84878,0.981947,0.0751032
29,541.6,1,2.90706,0.394404,20.1131,5.43974,80.0544,0.731512,0.731512,0.831124,0.957084,0.0713481
30,522.113,1,2.68314,0.46828,20.9324,5.89716,69.8675,0.71299,0.71299,0.810079,1.00492,0.0677807
31,516.091,1,2.74605,0.461431,22.0676,4.87923,68.3658,0.694937,0.694937,0.789568,0.979479,0.0643916
32,507.754,1,2.40114,0.581553,22.5491,5.06519,67.4059,0.677341,0.677341,0.769575,1.02375,0.061172
33,497.381,1,2.18473,0.655264,23.3677,4.66073,74.4192,0.66019,0.66019,0.750089,0.997828,0.0581134
34,485.469,1,2.13412,0.672065,22.5531,5.04071,71.296,0.643474,0.643474,0.732008,0.972562,0.0552078
35,474.8,1,2.1652,0.661949,21.0534,4.84266,70.0863,0.627181,0.627181,0.713474,0.960883,0.0524474
36,467.243,1,2.31807,0.598954,22.0833,5.39015,70.5361,0.6113,0.6113,0.749564,0.955616,0.049825
37,461.24,1,2.22111,0.63191,20.8343,5.3884,73.4528,0.595821,0.595821,0.730585,0.931419,0.0473338
38,457.845,1,2.48012,0.525966,21.2108,5.29894,69.2116,0.580735,0.580735,0.739442,0.950026,0.0449671
39,449.902,1,2.50276,0.536302,20.7682,5.26722,67.3585,0.56603,0.56603,0.732058,0.92597,0.0427187
40,436.146,1,2.89191,0.403012,21.2187,5.19652,67.9605,0.551698,0.551698,0.738012,0.918803,0.0405828
41,431.782,1,3.01687,0.364771,21.0437,5.35369,69.2603,0.537729,0.537729,0.747048,0.909247,0.0385536
42,416.234,1,2.75733,0.480438,21.1723,5.48316,59.885,0.524113,0.524113,0.778459,0.899659,0.036626
43,401.639,1,2.66979,0.514811,20.9889,5.79238,60.0623,0.510842,0.510842,0.758748,0.890199,0.0347947
44,399.314,1,2.48854,0.575846,20.7618,5.79979,63.5557,0.497908,0.497908,0.739536,0.873442,0.0330549
45,392.168,1,2.39376,0.605837,20.9619,5.41148,60.1606,0.4853,0.4853,0.720811,0.919843,0.0314022
46,378.857,1,2.5455,0.557498,21.3666,5.0881,52.9506,0.473012,0.473012,0.702559,0.993511,0.0298321
47,379.317,1,2.39522,0.608544,21.4155,4.90368,53.0401,0.461035,0.461035,0.68477,0.982757,0.0286735
48,370.421,1,2.38939,0.607759,21.5739,5.07511,52.2017,0.449362,0.449362,0.667431,1.00601,0.0273946
49,357.74,1,2.49628,0.573045,21.7993,5.49337,55.7595,0.437984,0.437984,0.650532,0.980533,0.026267
50,355.309,1,2.55326,0.54447,21.7489,5.32118,54.6275,0.426894,0.426894,0.63406,1.01736,0.0259681
51,344.991,1,2.57831,0.540472,22.029,5.07085,55.9751,0.416084,0.416084,0.618005,0.991601,0.0250746
52,337.819,1,2.56228,0.545925,21.6157,4.95073,56.702,0.405549,0.405549,0.602357,0.967536,0.0240934
53,338.912,1,2.57486,0.540454,21.9206,4.92427,56.1853,0.39528,0.39528,0.587105,0.984523,0.0246399
54,343.238,1,2.61048,0.527306,21.8237,4.9499,55.4304,0.385271,0.385271,0.572239,0.993817,0.0253862
55,334.988,1,2.59305,0.53025,21.9755,5.0448,59.8662,0.375516,0.375516,0.557749,0.968653,0.0242898
56,341.189,1,2.53637,0.550269,21.65,5.12935,61.7153,0.366008,0.366008,0.570376,0.944126,0.0249494
57,337.158,1,2.61363,0.525533,21.7438,5.14297,59.7889,0.35674,0.35674,0.577058,0.993839,0.0242842
58,334.921,1,2.6635,0.508783,21.5548,5.20076,60.1803,0.347707,0.347707,0.569085,0.983767,0.0241832
59,336.42,1,2.58425,0.536163,21.6373,5.29377,63.0891,0.338903,0.338903,0.579013,0.958858,0.024687
60,334.185,1,2.51585,0.57126,21.4776,5.25226,57.4281,0.330322,0.330322,0.590116,0.934579,0.0244687
61,337.838,1,2.45907,0.589606,21.7298,5.30246,56.9121,0.321958,0.321958,0.619355,0.947028,0.0246917
62,332.42,1,2.64207,0.534348,21.7787,5.44473,52.5027,0.313806,0.313806,0.611732,0.996898,0.0243869
63,336.502,1,2.6745,0.520777,21.5159,5.19945,54.8995,0.30586,0.30586,0.601415,0.971656,0.0251151
64,329.854,1,2.79306,0.488111,21.7729,4.79735,52.7753,0.298116,0.298116,0.594186,0.947053,0.0244922
65,335.759,1,2.81426,0.48281,21.6494,4.89413,52.1692,0.290567,0.290567,0.599895,0.967097,0.0250344
66,323.408,1,2.74661,0.503245,22.0865,5.1446,53.0491,0.28321,0.28321,0.584706,0.950294,0.0238294
67,320.187,1,2.72725,0.509541,22.2393,5.14919,54.9133,0.276039,0.276039,0.570869,0.926232,0.0235223
68,319.183,1,2.80369,0.491003,22.0861,5.11498,51.3151,0.269049,0.269049,0.556414,0.955655,0.0238797
69,322.555,1,2.70449,0.510737,21.8661,5.13962,57.5484,0.272882,0.262237,0.542325,0.931457,0.0242391
70,318.836,1,2.80154,0.486169,22.1497,5.13156,53.7653,0.265972,0.255597,0.528593,0.932879,0.0237541
71,319.913,1,2.75933,0.498193,22.2847,5.05281,54.3472,0.259238,0.252773,0.524752,0.909258,0.0239838
72,316.978,1,2.81657,0.486645,22.436,4.90807,51.7083,0.25306,0.258403,0.536577,0.912336,0.0235111
73,323.581,1,2.82726,0.482359,22.2533,4.97333,47.665,0.251487,0.25186,0.548513,0.965254,0.0241622
74,325.168,1,2.82672,0.488046,22.1062,4.98229,46.4229,0.252331,0.250122,0.572935,0.940813,0.0243586
75,326.496,1,2.88485,0.470287,22.0299,4.85715,48.0965,0.251041,0.243789,0.558428,0.942205,0.0248856
76,313.799,1,2.88733,0.479011,22.2793,4.91665,48.1402,0.244684,0.258278,0.544289,0.918348,0.0236413
77,316.936,1,2.77407,0.520265,22.3838,5.02351,44.6025,0.241674,0.252977,0.592578,0.899232,0.023426
78,314.935,1,2.9021,0.475668,22.2235,4.91757,45.3229,0.243378,0.259627,0.577573,0.90177,0.0232401
79,312.067,1,2.84114,0.488692,21.4018,5.20307,47.4229,0.247331,0.253054,0.562949,0.878937,0.0233013
80,310.819,1,2.7515,0.520746,21.4608,5.09482,47.9369,0.251342,0.246646,0.548695,0.856682,0.0235751
81,306.66,1,2.80461,0.503902,21.5775,4.99974,48.7432,0.2523,0.246717,0.534801,0.83499,0.0230068
82,311.754,1,2.74428,0.528336,21.6983,4.97668,48.9015,0.251952,0.24047,0.547302,0.813848,0.0236896
83,313.113,1,2.84925,0.503116,22.1554,5.06299,46.0462,0.245572,0.234381,0.533444,0.819913,0.0241781
84,305.091,1,2.79809,0.523698,21.9823,5.06965,44.7997,0.239354,0.233775,0.535888,0.799153,0.0231103
85,304.465,1,2.81809,0.518292,21.9252,5.26637,46.4498,0.235178,0.254326,0.540146,0.786979,0.0227854
86,300.851,1,2.83207,0.514085,21.7789,5.2201,44.583,0.234102,0.247887,0.547148,0.802213,0.0224834
87,301.955,1,2.80141,0.52099,21.8506,5.14201,43.8781,0.228174,0.24161,0.533294,0.823937,0.02294
88,299.358,1,2.72667,0.546797,21.7356,5.02974,44.7579,0.222397,0.238551,0.536549,0.805107,0.0225435
89,311.487,1,2.802,0.520336,21.6615,5.13064,44.4865,0.216765,0.249067,0.560379,0.801927,0.0237629
90,315.054,1,2.82175,0.51599,21.5435,4.95497,41.2598,0.218934,0.266962,0.56098,0.812879,0.0238434
91,310.06,1,2.75852,0.531246,21.4773,4.92427,42.9841,0.228302,0.27918,0.546776,0.813046,0.0231067
92,317.586,1,2.75504,0.536832,21.7212,5.11842,42.5021,0.22786,0.272111,0.546478,0.811565,0.0242736
93,323.403,1,2.69023,0.558576,21.8669,4.86842,43.156,0.224266,0.268685,0.53264,0.828121,0.0251332
94,315.046,1,2.83209,0.514564,21.8974,4.78915,39.8554,0.222949,0.261882,0.519154,0.834746,0.0242409
95,315.275,1,2.7519,0.535,21.9571,4.79306,41.1273,0.226621,0.255251,0.506008,0.866789,0.0243899
96,312.087,1,2.81336,0.520427,22.2003,4.87888,41.4237,0.23346,0.248788,0.519022,0.844841,0.0237441
97,313.576,1,2.88416,0.48772,21.9365,4.71886,45.8802,0.231053,0.272452,0.50588,0.82784,0.0237573
98,324.741,1,2.86816,0.493653,21.7614,4.75708,42.6436,0.232322,0.265553,0.514455,0.907281,0.024898
99,318.421,1,2.83654,0.507725,22.306,5.04447,43.4354,0.230506,0.276807,0.501428,0.884308,0.0244645
100,319.488,1,2.83812,0.512645,22.2067,4.95476,40.8494,0.228504,0.28419,0.488732,0.875738,0.0243024
101,317.365,1,2.68606,0.563088,22.3817,4.77795,42.2199,0.231017,0.280851,0.476357,0.853563,0.0242411
102,322.873,1,2.74668,0.543689,22.2668,4.76621,43.0608,0.236005,0.27374,0.464295,0.831951,0.0253756
103,323.657,1,2.7511,0.536882,21.9137,4.69329,47.6946,0.230029,0.283002,0.452539,0.810885,0.0255733
104,319.747,1,2.643,0.572215,21.7907,4.64515,46.3405,0.228593,0.285154,0.441081,0.790353,0.0251411
105,313.206,1,2.78321,0.527934,22.4099,4.81017,46.1337,0.222805,0.277933,0.452319,0.770341,0.0247988
106,314.198,1,2.7046,0.552119,21.9059,4.72972,47.4275,0.217163,0.270896,0.44293,0.778096,0.0248147
107,320.588,1,2.69822,0.554499,21.9074,4.58248,47.8674,0.218439,0.264037,0.442627,0.794581,0.0256365
108,324.692,1,2.72304,0.539894,22.4737,4.54249,44.9838,0.222638,0.257351,0.485413,0.845564,0.0257566
109,317.398,1,2.81705,0.507929,22.2609,4.5089,44.0401,0.217001,0.250835,0.500365,0.844235,0.0246985
110,320.717,1,2.75009,0.530507,22.3962,4.2955,44.2693,0.224108,0.244484,0.487696,0.822858,0.0256915
111,313.661,1,2.72955,0.538237,22.1588,4.47327,45.6819,0.222125,0.244731,0.475347,0.80868,0.0247534
112,313.099,1,2.80463,0.513286,22.1093,4.40849,46.2643,0.218121,0.259093,0.463311,0.799744,0.0247415
113,313.07,1,2.83018,0.504582,21.8697,4.49416,45.0105,0.212598,0.25965,0.491477,0.80584,0.0242844
