parameter,value,se_sa,rse_sa
Cl_pop,5.62108986912402,1.24634958815556,22.1727390448178
beta_Cl_logtWTKG,0.756040871362071,0.340408336201684,45.0251235212205
beta_Cl_tCLCRMLMIN,0.610657599432969,0.216083791023361,35.3854256827406
V1_pop,41.4476272488933,4.76838338543779,11.5045991820077
Q_pop,11.133664165066,3.39145225500997,30.4612408343633
V2_pop,63.6296528615777,6.92495051315201,10.883212781652
omega_Cl,0.183487103743799,0.0359549443693376,19.5953522812923
omega_V1,0.259617447344404,0.069593088741227,26.8060137918643
omega_Q,0.732527364578087,0.234276725749816,31.9819759750208
omega_V2,0.254626531494854,0.0671174193670086,26.3591617782238
corr_V2_V1,0.997202890027479,0.0131364962084167,1.31733434988889
a1,0.30423014849162,0.0238728565008001,7.84697263540851
a2,0.0646917192480592,0.009670470288591,14.948544266554
