time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-60,0,0,0,0,0,0,0,0,0,0,0,All
-59.7129,5.21656,3.2014,3.84438,4.26667,4.64839,5.02828,5.4122,5.81562,6.35138,7.02672,8.3791,All
-59.4257,9.73433,6.04675,7.24762,8.01788,8.73071,9.41324,10.1027,10.8328,11.7967,12.9993,15.3858,All
-59.1386,13.6993,8.62155,10.2781,11.3501,12.3515,13.2532,14.1973,15.2108,16.4828,18.1656,21.3664,All
-58.8514,17.23,10.936,12.9606,14.3373,15.5451,16.6646,17.817,19.0563,20.6228,22.6663,26.5965,All
-58.5643,20.3763,13.0207,15.4119,17.0096,18.3806,19.6976,21.0562,22.4965,24.2307,26.7421,31.2798,All
-58.2771,23.1988,14.9923,17.6113,19.4084,20.92,22.437,23.963,25.5925,27.5612,30.4143,35.6402,All
-57.99,25.5674,16.5642,19.4421,21.434,23.084,24.7231,26.4227,28.1762,30.3414,33.4739,39.2481,All
-57.7028,22.6775,14.8235,17.3542,19.0225,20.4845,21.9121,23.3576,24.953,26.8786,29.7115,34.9138,All
-57.4157,20.2285,13.1752,15.4838,16.9698,18.258,19.5505,20.9386,22.3898,24.1888,26.6827,31.7242,All
-57.1285,18.3136,11.6947,13.8002,15.1534,16.4179,17.6119,18.9144,20.268,21.989,24.3114,29.2231,All
-56.8414,16.6263,10.3551,12.3287,13.6413,14.8473,15.9962,17.2672,18.5413,20.1638,22.4257,27.1862,All
-56.5542,15.2397,9.17059,11.0738,12.3869,13.4856,14.6026,15.8472,17.0887,18.685,20.8213,25.5271,All
-56.2671,14.0557,8.16093,9.9606,11.2543,12.3511,13.4504,14.6132,15.8943,17.451,19.5718,24.1527,All
-55.9799,13.0329,7.25197,9.03305,10.2597,11.379,12.4452,13.5897,14.8951,16.3821,18.4929,22.9505,All
-55.6928,12.1652,6.50229,8.21411,9.42787,10.5294,11.6011,12.7294,13.9924,15.4775,17.4851,21.8579,All
-55.4056,11.3927,5.819,7.54785,8.73578,9.79343,10.8433,11.9501,13.1757,14.6678,16.6142,20.811,All
-55.1185,10.7103,5.27817,6.93724,8.10846,9.1675,10.212,11.2864,12.4961,13.952,15.87,19.9239,All
-54.8313,10.1232,4.79574,6.42203,7.55461,8.61527,9.62197,10.7115,11.9013,13.2986,15.1861,19.1426,All
-54.5442,9.61738,4.37325,5.97027,7.09467,8.14677,9.09883,10.1702,11.3567,12.6973,14.5607,18.3847,All
-54.257,9.164,4.02894,5.57939,6.67007,7.69074,8.64383,9.67433,10.8406,12.159,13.9565,17.6292,All
-53.9699,8.73544,3.7291,5.23058,6.31307,7.29689,8.22529,9.24047,10.3658,11.6598,13.3915,16.9267,All
-53.6827,8.33879,3.47642,4.94021,5.99042,6.95026,7.86835,8.83062,9.92276,11.176,12.8567,16.3338,All
-53.3956,7.97439,3.24078,4.67054,5.70429,6.62934,7.53746,8.46538,9.52573,10.7324,12.3493,15.7407,All
-53.1084,7.64231,3.04091,4.44025,5.45665,6.3477,7.22893,8.12715,9.16559,10.3238,11.8611,15.1766,All
-52.8213,7.34496,2.87325,4.23686,5.21207,6.08192,6.94713,7.79591,8.82034,9.94856,11.4515,14.6115,All
-52.5341,7.04337,2.72157,4.04394,4.99345,5.83419,6.67214,7.51939,8.5019,9.57859,11.0541,14.0808,All
-52.247,6.7857,2.58727,3.8693,4.79861,5.60853,6.41704,7.23747,8.18765,9.2204,10.6599,13.6431,All
-51.9598,6.54669,2.4789,3.71527,4.61016,5.39184,6.16806,6.98693,7.89225,8.91068,10.3057,13.2045,All
-51.6727,6.3199,2.36476,3.57822,4.44471,5.1924,5.95812,6.74351,7.61713,8.60969,9.96226,12.7322,All
-51.3855,6.10551,2.2731,3.44048,4.29029,5.02163,5.75538,6.51011,7.33828,8.30895,9.64677,12.3075,All
-51.0984,5.89189,2.19596,3.32238,4.13356,4.83869,5.54636,6.27665,7.08595,8.04118,9.33227,11.9059,All
-50.8112,5.70737,2.1226,3.20521,3.99352,4.66903,5.36765,6.0635,6.84375,7.77376,9.03973,11.5177,All
