pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-1.75721,0.0104167,-3.20529,0.00104167,-1.95902,0.0104167,All
-1.2284,0.0208333,-3.00447,0.00208333,-1.34296,0.0208333,All
-1.17335,0.03125,-2.78671,0.003125,-1.32628,0.03125,All
-1.05663,0.0416667,-2.67743,0.00416667,-1.22319,0.0416667,All
-1.03832,0.0520833,-2.62798,0.00520833,-1.21612,0.0520833,All
-1.01443,0.0625,-2.59246,0.00625,-1.06021,0.0625,All
-0.992615,0.0729167,-2.39141,0.00729167,-1.05228,0.0729167,All
-0.96075,0.0833333,-2.35223,0.00833333,-1.04217,0.0833333,All
-0.947276,0.09375,-2.33055,0.009375,-1.00105,0.09375,All
-0.94464,0.104167,-2.32101,0.0104167,-0.994945,0.104167,All
-0.928323,0.114583,-2.28557,0.0114583,-0.966476,0.114583,All
-0.923162,0.125,-2.24284,0.0125,-0.937564,0.125,All
-0.914137,0.135417,-2.23643,0.0135417,-0.928632,0.135417,All
-0.898402,0.145833,-2.20503,0.0145833,-0.925504,0.145833,All
-0.898249,0.15625,-2.14347,0.015625,-0.92264,0.15625,All
-0.895299,0.166667,-2.11729,0.0166667,-0.889411,0.166667,All
-0.884733,0.177083,-2.09547,0.0177083,-0.879624,0.177083,All
-0.883785,0.1875,-2.05868,0.01875,-0.866255,0.1875,All
-0.880691,0.197917,-2.04304,0.0197917,-0.851722,0.197917,All
-0.863335,0.208333,-2.04122,0.0208333,-0.832124,0.208333,All
-0.835361,0.21875,-2.02587,0.021875,-0.831787,0.21875,All
-0.828704,0.229167,-2.02194,0.0229167,-0.815225,0.229167,All
-0.815439,0.239583,-2.0054,0.0239583,-0.787526,0.239583,All
-0.775448,0.25,-1.9955,0.025,-0.76897,0.25,All
-0.768165,0.260417,-1.99474,0.0260417,-0.75415,0.260417,All
-0.763989,0.270833,-1.96026,0.0270833,-0.730765,0.270833,All
-0.751484,0.28125,-1.95348,0.028125,-0.723949,0.28125,All
-0.729087,0.291667,-1.93843,0.0291667,-0.683037,0.291667,All
