trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,trans_bias_vs_CLCRMLMIN_abscissa,trans_bias_vs_CLCRMLMIN_spline,trans_bias_vs_CLCRMLMIN_regression,trans_bias_vs_WTKG_abscissa,trans_bias_vs_WTKG_spline,trans_bias_vs_WTKG_regression,trans_bias_vs_logtCLCRMLMIN_abscissa,trans_bias_vs_logtCLCRMLMIN_spline,trans_bias_vs_logtCLCRMLMIN_regression,split
97.5,1.62193,1.60438,52,1.56237,1.64532,-0.389961,1.61545,1.59258,97.5,2.32022,2.03653,52,1.81761,1.88829,-0.389961,2.45189,2.0716,97.5,3.19925,3.15579,52,3.06483,3.0886,-0.389961,3.2218,3.16464,97.5,3.46128,3.33164,52,3.14791,3.22528,-0.389961,3.49795,3.35356,97.5,-1.94563,-3.33721,52,-4.33084,-3.74089,-0.389961,-1.76708,-3.12282,All
98.5172,1.62613,1.60759,52.3232,1.5829,1.64872,-0.382795,1.6197,1.59571,98.5172,2.27972,2.0337,52.3232,1.81808,1.8889,-0.382795,2.39956,2.06836,98.5172,3.19458,3.15514,52.3232,3.07113,3.0898,-0.382795,3.21519,3.16387,98.5172,3.44645,3.33014,52.3232,3.16122,3.22649,-0.382795,3.48177,3.35177,98.5172,-2.05341,-3.3405,52.3232,-4.21586,-3.73275,-0.382795,-1.85985,-3.13002,All
99.5343,1.63032,1.61081,52.6465,1.60343,1.65211,-0.375629,1.62394,1.59883,99.5343,2.23923,2.03087,52.6465,1.81855,1.88951,-0.375629,2.34722,2.06511,99.5343,3.18992,3.15448,52.6465,3.07744,3.091,-0.375629,3.20858,3.16311,99.5343,3.43162,3.32864,52.6465,3.17453,3.22771,-0.375629,3.46558,3.34999,99.5343,-2.16118,-3.34379,52.6465,-4.10087,-3.72461,-0.375629,-1.95261,-3.13722,All
100.552,1.63452,1.61402,52.9697,1.62396,1.6555,-0.368463,1.62819,1.60196,100.552,2.19874,2.02804,52.9697,1.81902,1.89012,-0.368463,2.29488,2.06187,100.552,3.18526,3.15383,52.9697,3.08374,3.09219,-0.368463,3.20197,3.16234,100.552,3.41679,3.32714,52.9697,3.18784,3.22893,-0.368463,3.44939,3.3482,100.552,-2.26895,-3.34708,52.9697,-3.98589,-3.71648,-0.368463,-2.04538,-3.14442,All
101.569,1.63802,1.61723,53.2929,1.63955,1.65889,-0.361297,1.63243,1.60509,101.569,2.16682,2.0252,53.2929,1.82141,1.89073,-0.361297,2.24255,2.05862,101.569,3.18125,3.15317,53.2929,3.08855,3.09339,-0.361297,3.19536,3.16158,101.569,3.40444,3.32564,53.2929,3.19816,3.23014,-0.361297,3.4332,3.34642,101.569,-2.36436,-3.35037,53.2929,-3.89982,-3.70834,-0.361297,-2.13815,-3.15162,All
102.586,1.6414,1.62045,53.6162,1.65462,1.66229,-0.354131,1.6361,1.60822,102.586,2.13637,2.02237,53.6162,1.824,1.89134,-0.354131,2.19879,2.05538,102.586,3.17736,3.15251,53.6162,3.0932,3.09458,-0.354131,3.18963,3.16081,102.586,3.39252,3.32413,53.6162,3.20817,3.23136,-0.354131,3.41913,3.34463,102.586,-2.45767,-3.35366,53.6162,-3.81674,-3.7002,-0.354131,-2.22442,-3.15881,All
103.603,1.64478,1.62366,53.9394,1.6697,1.66568,-0.346966,1.63916,1.61135,103.603,2.10592,2.01954,53.9394,1.82659,1.89195,-0.346966,2.16385,2.05214,103.603,3.17348,3.15186,53.9394,3.09785,3.09578,-0.346966,3.1848,3.16005,103.603,3.38059,3.32263,53.9394,3.21818,3.23257,-0.346966,3.40723,3.34285,103.603,-2.55097,-3.35695,53.9394,-3.73366,-3.69206,-0.346966,-2.30403,-3.16601,All
104.62,1.64816,1.62687,54.2626,1.68477,1.66907,-0.3398,1.64223,1.61448,104.62,2.07547,2.01671,54.2626,1.82918,1.89256,-0.3398,2.12891,2.04889,104.62,3.16959,3.1512,54.2626,3.1025,3.09698,-0.3398,3.17997,3.15928,104.62,3.36867,3.32113,54.2626,3.22818,3.23379,-0.3398,3.39533,3.34106,104.62,-2.64428,-3.36024,54.2626,-3.65057,-3.68392,-0.3398,-2.38364,-3.17321,All
105.637,1.65154,1.63009,54.5859,1.69985,1.67246,-0.332634,1.6453,1.61761,105.637,2.04502,2.01387,54.5859,1.83177,1.89317,-0.332634,2.09396,2.04565,105.637,3.1657,3.15055,54.5859,3.10715,3.09817,-0.332634,3.17513,3.15851,105.637,3.35675,3.31963,54.5859,3.23819,3.235,-0.332634,3.38344,3.33928,105.637,-2.73759,-3.36353,54.5859,-3.56749,-3.67578,-0.332634,-2.46324,-3.18041,All
106.655,1.65492,1.6333,54.9091,1.71492,1.67585,-0.325468,1.64837,1.62074,106.655,2.01457,2.01104,54.9091,1.83436,1.89378,-0.325468,2.05902,2.0424,106.655,3.16181,3.14989,54.9091,3.1118,3.09937,-0.325468,3.1703,3.15775,106.655,3.34482,3.31813,54.9091,3.2482,3.23622,-0.325468,3.37154,3.33749,106.655,-2.83089,-3.36682,54.9091,-3.48441,-3.66764,-0.325468,-2.54285,-3.1876,All
