iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q
1,5.26546,0.0377613,21.8639,0.139572,5.72746,0.391668
2,5.26066,0.0316586,21.9129,0.119998,5.76588,0.327433
3,5.25882,0.0297919,21.8058,0.111541,5.82315,0.297864
4,5.25706,0.0292656,21.7734,0.105929,5.92314,0.294191
5,5.25693,0.0290239,21.7025,0.103954,5.9217,0.287886
6,5.25741,0.028864,21.6834,0.102106,5.91931,0.278082
7,5.25565,0.0284991,21.6254,0.100363,5.9302,0.271686
8,5.25559,0.0289307,21.6119,0.0987661,5.91687,0.27219
9,5.25762,0.0298008,21.6598,0.0990258,5.86414,0.272996
10,5.25862,0.0304509,21.6831,0.0982124,5.80464,0.274414
11,5.25892,0.0307838,21.6625,0.0997172,5.77282,0.276265
12,5.25955,0.0306187,21.6561,0.0990281,5.78083,0.275717
13,5.26096,0.0304972,21.6377,0.0996964,5.80509,0.274184
14,5.26074,0.0299737,21.6175,0.100472,5.81241,0.272241
15,5.26284,0.0300258,21.6011,0.100284,5.83478,0.269733
16,5.26412,0.029885,21.5925,0.100318,5.85279,0.268737
17,5.26547,0.0297401,21.6095,0.100262,5.86552,0.269275
18,5.2662,0.0296758,21.6241,0.099937,5.861,0.268492
19,5.26664,0.0298632,21.6377,0.100372,5.84386,0.269719
20,5.26686,0.0300433,21.6533,0.100094,5.83446,0.273119
21,5.26586,0.0300544,21.6948,0.100211,5.81655,0.272905
22,5.26499,0.0301293,21.7042,0.100302,5.79732,0.273209
23,5.26438,0.0301192,21.7032,0.100075,5.77965,0.273207
24,5.26353,0.0301147,21.7096,0.100119,5.75891,0.273843
25,5.26304,0.030359,21.7015,0.0999336,5.75685,0.274445
26,5.26421,0.0305585,21.7076,0.0998369,5.76205,0.275545
27,5.2638,0.0304874,21.7047,0.100094,5.77915,0.277216
28,5.26406,0.030413,21.6955,0.100473,5.79858,0.276908
29,5.2643,0.0303409,21.6788,0.100726,5.80931,0.276916
30,5.2638,0.0302598,21.6572,0.100851,5.81527,0.276946
31,5.26366,0.0302752,21.6401,0.100306,5.82159,0.27838
32,5.2636,0.0302448,21.6106,0.100248,5.83254,0.279272
33,5.26348,0.0302067,21.6015,0.0999502,5.83676,0.279694
34,5.26302,0.0301708,21.5983,0.099213,5.83433,0.279056
35,5.26287,0.0301986,21.5882,0.0994654,5.8415,0.279904
36,5.26178,0.0302756,21.5714,0.0997227,5.85087,0.281175
37,5.262,0.0303387,21.5531,0.100695,5.85375,0.281656
38,5.26281,0.0304983,21.5496,0.101096,5.85974,0.282639
39,5.26294,0.030559,21.5474,0.100829,5.87494,0.284073
40,5.26273,0.0305566,21.5466,0.100333,5.88242,0.283839
41,5.26257,0.0307461,21.558,0.100111,5.88873,0.284408
42,5.26225,0.0308667,21.5628,0.100116,5.88675,0.286127
43,5.2621,0.0309567,21.5836,0.0999263,5.87993,0.28718
44,5.26259,0.0310055,21.5923,0.0999388,5.88282,0.288187
45,5.26334,0.0310938,21.6006,0.100354,5.89099,0.28844
46,5.26314,0.0312779,21.6014,0.100619,5.89697,0.289278
47,5.26263,0.0313802,21.5978,0.100628,5.89786,0.290444
48,5.26192,0.0314661,21.59,0.10084,5.8917,0.290424
49,5.26179,0.0315408,21.5772,0.101145,5.89556,0.290311
50,5.26146,0.0314962,21.5761,0.100894,5.89708,0.290569
51,5.26156,0.0314825,21.5719,0.100897,5.89791,0.290755
52,5.26173,0.0315082,21.5687,0.100996,5.90326,0.29084
53,5.26151,0.0315326,21.5671,0.101282,5.90914,0.290467
54,5.26159,0.0315204,21.569,0.101177,5.91354,0.290751
55,5.26149,0.0316437,21.568,0.101011,5.92075,0.291076
56,5.26178,0.0317446,21.5693,0.100866,5.92966,0.291118
57,5.26183,0.0318096,21.5677,0.101242,5.93502,0.291242
58,5.26219,0.0318493,21.5675,0.101383,5.93888,0.290901
59,5.2629,0.0318233,21.5703,0.101237,5.94487,0.290311
60,5.26369,0.0318138,21.573,0.101111,5.94893,0.290318
61,5.2641,0.0318332,21.5721,0.101079,5.953,0.289415
62,5.26466,0.0318695,21.5713,0.101096,5.96116,0.288456
63,5.26509,0.0318606,21.5728,0.101091,5.95838,0.287833
64,5.26532,0.031773,21.5749,0.101213,5.95897,0.287263
65,5.26541,0.0317159,21.5693,0.101327,5.96622,0.287597
66,5.26555,0.0317347,21.5723,0.10123,5.97054,0.287315
67,5.26562,0.0316687,21.5728,0.101313,5.97319,0.287531
68,5.26573,0.0316414,21.5749,0.101321,5.97453,0.287001
69,5.26584,0.0316235,21.5749,0.101553,5.97306,0.286971
70,5.26612,0.0315657,21.5785,0.101747,5.97425,0.286629
71,5.26632,0.0315165,21.5803,0.101568,5.97184,0.286744
72,5.26654,0.0315616,21.5816,0.101401,5.97564,0.287079
73,5.26628,0.0315139,21.5775,0.101343,5.97796,0.286952
74,5.26595,0.0314521,21.5773,0.101269,5.98115,0.28679
75,5.26567,0.0314091,21.5755,0.101405,5.98462,0.286875
76,5.26536,0.0313569,21.5767,0.101483,5.98251,0.28676
77,5.26489,0.0313431,21.5753,0.101479,5.97951,0.286555
78,5.26453,0.0313686,21.5725,0.101588,5.98079,0.286684
79,5.26443,0.0314079,21.5713,0.101668,5.98338,0.286479
80,5.26451,0.0313628,21.571,0.101595,5.98757,0.286381
81,5.26469,0.031339,21.5718,0.101842,5.98865,0.285922
82,5.26464,0.031335,21.5675,0.101904,5.99169,0.285676
83,5.26465,0.0313297,21.5652,0.10193,5.9945,0.285319
84,5.26459,0.0313099,21.5658,0.101918,5.99608,0.285178
85,5.26476,0.0313105,21.5684,0.101869,6.00106,0.285182
86,5.26493,0.031321,21.5669,0.101838,6.00518,0.284856
87,5.26516,0.0313338,21.5652,0.101696,6.01064,0.284472
88,5.26547,0.0312911,21.5653,0.101539,6.01712,0.284246
