simulations,OFV
500,972.347
1000,971.547
1500,971.064
2000,969.413
2500,969.497
3000,969.915
3500,969.501
4000,969.848
4500,970.436
5000,970.445
5500,970.611
6000,970.855
6500,970.302
7000,970.265
7500,970.398
8000,970.663
8500,970.941
9000,970.768
9500,970.501
10000,970.146
10500,970.197
11000,970.315
11500,970.121
12000,969.901
12500,970.066
13000,969.888
13500,969.783
14000,969.801
14500,969.905
15000,969.994
15500,969.739
16000,969.9
16500,969.665
17000,969.746
17500,969.768
18000,969.404
18500,969.567
19000,969.39
19500,969.253
20000,969.09
20500,969.109
21000,968.969
21500,969.103
22000,969.241
22500,969.077
23000,968.787
23500,968.487
24000,968.422
24500,968.247
25000,968.315
25500,968.373
26000,968.301
26500,968.327
27000,968.268
27500,968.299
28000,968.429
28500,968.472
29000,968.558
29500,968.63
30000,968.725
