standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.42809,0.0269996,-2.36783,0.122749,-2.73076,0.0308577,-2.41022,0.0805949,All
-2.26348,0.224996,-2.18679,0.106383,-2.53872,0.0308577,-2.2264,0.104773,All
-2.09887,0.143998,-2.00575,0.155482,-2.34668,0.0231433,-2.04259,0.15313,All
-1.93426,0.0539991,-1.82472,0.204582,-2.15464,0.0385722,-1.85877,0.177309,All
-1.76965,0,-1.64368,0.163666,-1.9626,0.0540011,-1.67495,0.201487,All
-1.60504,0.00899985,-1.46264,0.204582,-1.77056,0.146574,-1.49113,0.177309,All
-1.44042,0.0899985,-1.2816,0.0818328,-1.57852,0.177432,-1.30731,0.112833,All
-1.27581,0.269996,-1.10057,0.130933,-1.38648,0.185146,-1.12349,0.137011,All
-1.1112,0.395994,-0.919529,0.147299,-1.19444,0.123431,-0.939675,0.112833,All
-0.946589,0.125998,-0.738491,0.147299,-1.0024,0.146574,-0.755857,0.201487,All
-0.781977,0.00899985,-0.557454,0.212765,-0.810356,0.177432,-0.572038,0.201487,All
-0.617366,0,-0.376416,0.245498,-0.618315,0.185146,-0.38822,0.209547,All
-0.452754,0.116998,-0.195378,0.270048,-0.426275,0.293149,-0.204402,0.225666,All
-0.288142,0.278995,-0.0143408,0.343698,-0.234235,0.354864,-0.0205833,0.435212,All
-0.123531,0.764988,0.166697,0.515547,-0.042195,0.370293,0.163235,0.47551,All
0.0410812,0.908985,0.347734,0.630113,0.149845,0.408865,0.347053,0.685056,All
0.205693,0.764988,0.528772,0.581013,0.341885,0.578583,0.530872,0.556104,All
0.370305,0.386994,0.709809,0.564646,0.533925,0.424294,0.71469,0.515807,All
0.534916,0.206997,0.890847,0.253682,0.725965,0.331721,0.898509,0.274023,All
0.699528,0.269996,1.07188,0.278232,0.918006,0.378007,1.08233,0.233725,All
0.86414,0.242996,1.25292,0.0818328,1.11005,0.331721,1.26615,0.0805949,All
1.02875,0.0989984,1.43396,0.0818328,1.30209,0.239148,1.44996,0.0886543,All
1.19336,0.0539991,1.615,0.0654663,1.49413,0.162003,1.63378,0.0725354,All
1.35798,0.215996,1.79603,0.0245498,1.68617,0.0848588,1.8176,0.0322379,All
1.52259,0.377994,1.97707,0.0490997,1.87821,0.0617155,2.00142,0.0483569,All
1.6872,0.197997,2.15811,0.0409164,2.07025,0.0385722,2.18524,0.0322379,All
1.85181,0.062999,2.33915,0.0245498,2.26229,0.0231433,2.36906,0.016119,All
