iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q2_pop,V2_pop,Q3_pop,V3_pop,omega_Cl,omega_V1,omega_Q2,omega_V2,omega_Q3,omega_V3,a1,a2
1,2073.5,1,10.2441,42.7805,10.7153,56.1663,0.740719,1.32241,1.5,1.5,1,1.5,1,1,3,3
2,2066.11,1,6.50195,62.4594,9.15267,85.7966,0.662978,1.27101,1.46202,1.4795,0.974679,1.46202,1.10601,1.1044,2.92404,2.92404
3,2053.87,1,6.40033,52.8586,9.55278,84.9793,0.758399,1.2756,1.425,1.47634,1.10956,1.425,1.078,1.07644,2.85,2.85
4,2052.01,1,5.94504,67.5029,12.0622,137.249,0.799153,1.08346,1.38892,1.43896,1.08147,1.55264,1.05071,1.04918,2.77784,2.77784
5,2034.39,1,6.085,75.9536,10.9996,148.247,0.777839,1.40017,1.35375,1.40252,1.0833,1.52873,1.0241,1.02863,2.7075,2.7075
6,2019.49,1,5.43279,106.637,10.3724,169.839,0.674055,1.26464,1.31947,1.36701,1.16439,1.49002,0.998173,1.06611,2.63894,2.63894
7,2009.88,1,4.79538,128.972,11.7932,195.955,0.598447,1.24916,1.28606,1.3324,1.1349,1.45229,0.972899,1.03912,2.57212,2.57212
8,1996.04,1,4.11092,136.578,12.5491,253.368,0.601561,1.19659,1.2535,1.29866,1.10617,1.47539,0.948264,1.0128,2.507,2.507
9,1988.75,1,4.26689,132.765,18.1219,354.407,0.59866,1.32084,1.22176,1.26578,1.20635,1.43803,0.924254,0.98796,2.44352,2.44352
10,1977.72,1,4.82364,154.041,13.8888,310.911,0.550112,1.26715,1.19082,1.23373,1.17581,1.45904,0.949313,0.987891,2.38165,2.38165
11,1967.6,1,5.17649,124.154,15.9356,321.172,0.441099,1.27968,1.16067,1.20249,1.18797,1.42209,0.945614,0.962877,2.32134,2.32134
12,1952.62,1,5.61323,128.068,16.2528,315.621,0.535707,1.39546,1.13128,1.17204,1.15789,1.38609,0.921671,0.999177,2.26257,2.26257
13,1932.56,1,5.1418,93.1776,21.4383,425.929,0.580747,1.48011,1.10264,1.14236,1.15537,1.35099,0.898334,1.01342,2.20528,2.20528
14,1931.63,1,4.4341,103.453,19.488,345.373,0.531457,1.44217,1.07472,1.11344,1.12611,1.31678,0.875587,1.19168,2.14944,2.14944
15,1909.53,1,4.9762,92.5501,15.7136,353.682,0.654475,1.64735,1.04751,1.08524,1.0976,1.28344,0.886137,1.16151,2.09501,2.09501
16,1898.73,1,4.44561,88.7235,18.9297,413.757,0.592693,1.75939,1.02098,1.05777,1.06981,1.25094,0.8637,1.1321,2.04197,2.04197
17,1903.1,1,4.56404,87.983,20.3695,388.093,0.675672,1.69449,0.995131,1.03098,1.04272,1.21927,0.887828,1.13681,1.99026,1.99026
18,1887.37,1,5.86027,108.307,21.9639,344.235,0.692778,1.54547,0.969933,1.00488,1.10945,1.18839,0.992963,1.10803,1.93987,1.93987
19,1866.88,1,5.50712,106.414,20.1293,294.289,0.522382,1.5004,0.945374,0.979433,1.08136,1.1583,0.967821,1.07997,1.89075,1.89075
20,1872.32,1,5.92043,120.543,20.459,286.929,0.492255,1.46472,0.921437,0.954633,1.10515,1.12898,1.04706,1.19503,1.84287,1.84287
21,1860.58,1,5.81927,112.012,17.3312,459.987,0.459941,1.25191,0.898105,0.969177,1.07716,1.10039,1.15057,1.30014,1.79621,1.79621
22,1862.19,1,5.42393,84.5537,18.9763,492.877,0.467738,1.27011,0.875365,0.944637,1.05033,1.07253,1.42776,1.43093,1.75073,1.75073
23,1846.58,1,5.73442,76.735,21.5054,586.952,0.452918,1.67797,0.8532,0.920718,1.02374,1.04537,1.60831,1.39469,1.7064,1.7064
24,1827.48,1,5.38497,68.6858,20.5859,565.487,0.252881,1.75562,0.831597,0.897405,0.997818,1.0189,1.56758,1.35938,1.66319,1.66319
25,1820.4,1,4.96853,84.575,19.4868,536.655,0.295841,1.57105,0.81054,0.913795,0.972553,0.993101,1.52789,1.35681,1.62108,1.62108
26,1816.88,1,4.27065,76.3537,18.2111,447.506,0.295718,1.53046,0.824321,0.890658,0.955049,0.967955,1.55698,1.46153,1.58003,1.58003
27,1798.89,1,5.50257,63.2721,15.6926,543.349,0.247988,1.71852,0.803448,0.868106,0.930867,0.943446,1.78792,1.42453,1.54003,1.54003
