poblacion,MAE,RMSE,MAPE
1,6.4013321452710255,7.911789554294576,0.44298891814220454
2,5.2656079510529,6.4454242725032795,0.41623561102957024
3,6.521349401242734,8.707315614711908,0.4768928858335143
4,5.618167659018477,7.316039012323389,0.4009355472092721
5,5.95613498760298,7.520449765456371,0.41813054409215394
6,5.986665670452629,7.5853533678909475,0.446987103103299
7,6.657454158963931,8.219419660986045,0.4649176691133127
8,5.410342998368267,6.765154130462778,0.4436259592819829
9,5.689948222909272,7.153668618211088,0.46753159074716044
10,5.400359052124033,6.681288028685158,0.4292126494671528
11,6.606357488545021,8.33282347629902,0.46365428649984025
12,6.182848124508805,7.707624334070117,0.4698247532243477
13,5.7823376842489775,7.213300945654207,0.42284832074189327
14,5.774689355305733,7.498482516489795,0.40774694643676757
15,6.5265640124011925,8.039595994781445,0.4586689243031501
16,5.985278792642436,7.5052035702311155,0.452859935890696
17,6.575812694571878,8.061607875106766,0.4966416199597322
18,5.693525644226967,7.405117367290234,0.41589633200638654
19,5.624778383165458,6.795529193409386,0.4398451294331548
20,5.366994305840265,6.67053866111969,0.42968692434985645
21,5.77121708373173,7.05573281924114,0.4365510845766419
22,5.587049175617859,6.803665022898542,0.44712816785612997
23,6.208052293720851,7.729895186210262,0.515009769067409
24,5.865557332243384,7.643421410686896,0.4548007103906161
25,6.124464481938141,7.810390803303052,0.4991428643794073
26,5.4762797991195145,6.58598035259585,0.42944437387338397
27,6.083646149816032,7.453320534009324,0.4719125570648166
28,5.6016066158208,7.00728444212125,0.4373525251578973
29,4.935392291709942,6.282244047086637,0.4156861910015603
30,5.675462304574342,7.161511414038585,0.42364804224769986
31,4.952713377446127,6.17698670759223,0.4156648397361885
32,5.520814240906433,6.98699647572012,0.4262730382558716
33,6.324572286369867,7.479034519209577,0.4770093847582534
34,5.842910521763865,7.39944264006726,0.42980028028501177
35,7.040549031911647,8.718192395516542,0.4880987114535401
36,5.253536895674093,6.577061157797726,0.4000098263092896
37,6.301195394347159,8.139719696762022,0.47252338779606284
38,5.197510830121047,6.518044528743993,0.41981807653407
39,5.8855971020551845,7.33519512986546,0.4530202556974387
40,6.329600281720024,8.119635269568558,0.4648435474239345
41,5.987094298700655,7.673798004771254,0.4610198368467694
42,5.650455786905373,7.20135978248411,0.42115106807537234
43,5.088735865419445,6.757752985039078,0.4127488195825253
44,5.395973350654615,6.725290282964163,0.43777341370567774
45,5.987094572098063,7.420175895863006,0.4272617383593978
46,5.308576639950371,6.660619965547426,0.435447895386349
47,5.278657427351146,6.65366915851678,0.4022221741557152
48,5.525460976826887,7.310117675998286,0.4403199208775108
49,6.108648814160997,7.4355406861806035,0.4756494482901782
50,5.648091556072264,7.181940014455666,0.4371307661948947
