simulations,OFV
500,967.919
1000,968.827
1500,968.458
2000,966.27
2500,966.661
3000,966.46
3500,965.865
4000,966.048
4500,966.568
5000,967.065
5500,967.126
6000,967.376
6500,966.957
7000,967.035
7500,966.916
8000,967.122
8500,967.34
9000,967.115
9500,966.905
10000,966.691
10500,966.648
11000,966.641
11500,966.582
12000,966.341
12500,966.478
13000,966.222
13500,965.938
14000,965.853
14500,965.863
15000,965.976
15500,965.954
16000,966.133
16500,965.986
17000,965.98
17500,966.046
18000,965.78
18500,965.873
19000,965.646
19500,965.532
20000,965.354
20500,965.33
21000,965.137
21500,965.22
22000,965.239
22500,965.242
23000,964.85
23500,964.611
24000,964.561
24500,964.596
25000,964.641
25500,964.669
26000,964.551
26500,964.391
27000,964.297
27500,964.35
28000,964.451
28500,964.454
29000,964.56
29500,964.647
30000,964.724
