pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4.78674,0.00104167,-4,0,All
-1.85792,0.0104167,-4.28358,0.00208333,-1.92602,0.0104167,All
-1.73217,0.0208333,-3.83838,0.003125,-1.74183,0.0208333,All
-1.62238,0.03125,-3.78285,0.00416667,-1.70076,0.03125,All
-1.58562,0.0416667,-3.77689,0.00520833,-1.60646,0.0416667,All
-1.24387,0.0520833,-3.71377,0.00625,-1.29039,0.0520833,All
-1.11194,0.0625,-3.20189,0.00729167,-1.14453,0.0625,All
-1.08245,0.0729167,-3.07547,0.00833333,-1.0948,0.0729167,All
-1.07986,0.0833333,-2.84221,0.009375,-1.08692,0.0833333,All
-1.05735,0.09375,-2.82537,0.0104167,-1.06945,0.09375,All
-1.04606,0.104167,-2.79018,0.0114583,-1.06457,0.104167,All
-1.0259,0.114583,-2.697,0.0125,-1.02651,0.114583,All
-0.959934,0.125,-2.4524,0.0135417,-0.996977,0.125,All
-0.958312,0.135417,-2.37549,0.0145833,-0.966476,0.135417,All
-0.94909,0.145833,-2.36933,0.015625,-0.958413,0.145833,All
-0.92966,0.15625,-2.14538,0.0166667,-0.94685,0.15625,All
-0.929279,0.166667,-2.10047,0.0177083,-0.944145,0.166667,All
-0.905017,0.177083,-2.06031,0.01875,-0.940148,0.177083,All
-0.865139,0.1875,-2.02577,0.0197917,-0.927565,0.1875,All
-0.860982,0.197917,-2.0236,0.0208333,-0.894753,0.197917,All
-0.856395,0.208333,-2.00446,0.021875,-0.894543,0.208333,All
-0.852703,0.21875,-1.96423,0.0229167,-0.871026,0.21875,All
-0.851314,0.229167,-1.94749,0.0239583,-0.868237,0.229167,All
-0.812174,0.239583,-1.9384,0.025,-0.864984,0.239583,All
-0.803999,0.25,-1.84086,0.0260417,-0.830404,0.25,All
-0.771487,0.260417,-1.83211,0.0270833,-0.789303,0.260417,All
-0.726162,0.270833,-1.81118,0.028125,-0.781874,0.270833,All
-0.700889,0.28125,-1.76514,0.0291667,-0.718509,0.28125,All
-0.678436,0.291667,-1.75087,0.0302083,-0.708531,0.291667,All
-0.670445,0.302083,-1.74367,0.03125,-0.685756,0.302083,All
-0.667392,0.3125,-1.72819,0.0322917,-0.666883,0.3125,All
-0.654074,0.322917,-1.71576,0.0333333,-0.638753,0.322917,All
-0.634147,0.333333,-1.68398,0.034375,-0.635124,0.333333,All
-0.601132,0.34375,-1.67582,0.0354167,-0.635055,0.34375,All
-0.589661,0.354167,-1.67337,0.0364583,-0.623927,0.354167,All
-0.588258,0.364583,-1.63028,0.0375,-0.596651,0.364583,All
-0.537208,0.375,-1.61003,0.0385417,-0.547038,0.375,All
-0.534393,0.385417,-1.57164,0.0395833,-0.519437,0.385417,All
-0.516127,0.395833,-1.55132,0.040625,-0.488011,0.395833,All
-0.514979,0.40625,-1.55127,0.0416667,-0.473064,0.40625,All
-0.419996,0.416667,-1.53862,0.0427083,-0.471433,0.416667,All
-0.405569,0.427083,-1.53608,0.04375,-0.460568,0.427083,All
-0.342103,0.4375,-1.5219,0.0447917,-0.447715,0.4375,All
-0.303897,0.447917,-1.51983,0.0458333,-0.394311,0.447917,All
-0.266014,0.458333,-1.49787,0.046875,-0.294014,0.458333,All
-0.254538,0.46875,-1.48594,0.0479167,-0.252409,0.46875,All
-0.241689,0.479167,-1.47745,0.0489583,-0.2047,0.479167,All
-0.169004,0.489583,-1.45182,0.05,-0.191002,0.489583,All
-0.130261,0.5,-1.45017,0.0510417,-0.179219,0.5,All
-0.0958557,0.510417,-1.44897,0.0520833,-0.116026,0.510417,All
-0.0862409,0.520833,-1.44663,0.053125,-0.113088,0.520833,All
-0.0696789,0.53125,-1.44517,0.0541667,-0.112769,0.53125,All
-0.0343509,0.541667,-1.43947,0.0552083,-0.106579,0.541667,All
-0.0295521,0.552083,-1.43508,0.05625,-0.095507,0.552083,All
-0.0149098,0.5625,-1.43411,0.0572917,-0.0757949,0.5625,All
-0.000373876,0.572917,-1.40158,0.0583333,-0.041165,0.572917,All
0.0141484,0.583333,-1.40136,0.059375,0.00227423,0.583333,All
0.0145259,0.59375,-1.39526,0.0604167,0.00511632,0.59375,All
0.0403679,0.604167,-1.37941,0.0614583,0.0280685,0.604167,All
0.056693,0.614583,-1.36982,0.0625,0.0287789,0.614583,All
0.077688,0.625,-1.36877,0.0635417,0.0553271,0.625,All
0.0962648,0.635417,-1.36275,0.0645833,0.121366,0.635417,All
0.214497,0.645833,-1.35704,0.065625,0.229346,0.645833,All
0.24619,0.65625,-1.34522,0.0666667,0.233346,0.65625,All
0.256325,0.666667,-1.33823,0.0677083,0.251013,0.666667,All
0.286848,0.677083,-1.33223,0.06875,0.255677,0.677083,All
0.295825,0.6875,-1.329,0.0697917,0.275071,0.6875,All
0.297031,0.697917,-1.32379,0.0708333,0.291128,0.697917,All
0.343887,0.708333,-1.32016,0.071875,0.307971,0.708333,All
0.372917,0.71875,-1.31822,0.0729167,0.345911,0.71875,All
0.375067,0.729167,-1.30903,0.0739583,0.351207,0.729167,All
0.391751,0.739583,-1.30745,0.075,0.361398,0.739583,All
0.405353,0.75,-1.30177,0.0760417,0.370589,0.75,All
0.408113,0.760417,-1.30144,0.0770833,0.372809,0.760417,All
0.450616,0.770833,-1.28578,0.078125,0.419608,0.770833,All
0.453934,0.78125,-1.2845,0.0791667,0.43415,0.78125,All
0.467327,0.791667,-1.2841,0.0802083,0.455907,0.791667,All
0.48152,0.802083,-1.2813,0.08125,0.463603,0.802083,All
0.506043,0.8125,-1.28122,0.0822917,0.477576,0.8125,All
0.536176,0.822917,-1.27329,0.0833333,0.529513,0.822917,All
0.760769,0.833333,-1.27134,0.084375,0.766032,0.833333,All
0.783777,0.84375,-1.27069,0.0854167,0.785179,0.84375,All
0.81662,0.854167,-1.25834,0.0864583,0.792763,0.854167,All
0.846277,0.864583,-1.25786,0.0875,0.810753,0.864583,All
1.13903,0.875,-1.24495,0.0885417,1.18102,0.875,All
1.15772,0.885417,-1.2428,0.0895833,1.23921,0.885417,All
1.2703,0.895833,-1.24247,0.090625,1.33037,0.895833,All
1.42304,0.90625,-1.23996,0.0916667,1.36047,0.90625,All
1.42898,0.916667,-1.23955,0.0927083,1.46006,0.916667,All
1.53483,0.927083,-1.23507,0.09375,1.51227,0.927083,All
2.01534,0.9375,-1.23328,0.0947917,1.89462,0.9375,All
2.02525,0.947917,-1.2273,0.0958333,1.92472,0.947917,All
2.2132,0.958333,-1.22684,0.096875,2.06677,0.958333,All
2.25122,0.96875,-1.22116,0.0979167,2.15315,0.96875,All
2.4563,0.979167,-1.2187,0.0989583,2.38257,0.979167,All
2.49461,0.989583,-1.21364,0.1,2.65079,0.989583,All
2.56908,1,-1.21034,0.101042,2.79589,1,All
4,1,-1.20605,0.102083,4,1,All
,,-1.20082,0.103125,,,All
,,-1.18847,0.104167,,,All
,,-1.18776,0.105208,,,All
,,-1.18539,0.10625,,,All
,,-1.17951,0.107292,,,All
,,-1.17582,0.108333,,,All
,,-1.1745,0.109375,,,All
,,-1.16248,0.110417,,,All
,,-1.15307,0.111458,,,All
,,-1.14606,0.1125,,,All
,,-1.14566,0.113542,,,All
,,-1.13535,0.114583,,,All
,,-1.12752,0.115625,,,All
,,-1.12394,0.116667,,,All
,,-1.12196,0.117708,,,All
,,-1.1213,0.11875,,,All
,,-1.12009,0.119792,,,All
,,-1.11831,0.120833,,,All
,,-1.11616,0.121875,,,All
,,-1.11096,0.122917,,,All
,,-1.10879,0.123958,,,All
,,-1.10012,0.125,,,All
,,-1.09952,0.126042,,,All
,,-1.09221,0.127083,,,All
,,-1.08128,0.128125,,,All
,,-1.07482,0.129167,,,All
,,-1.07433,0.130208,,,All
,,-1.06803,0.13125,,,All
,,-1.06198,0.132292,,,All
,,-1.05884,0.133333,,,All
,,-1.05842,0.134375,,,All
,,-1.05719,0.135417,,,All
,,-1.05029,0.136458,,,All
,,-1.04999,0.1375,,,All
,,-1.04883,0.138542,,,All
,,-1.04736,0.139583,,,All
,,-1.0472,0.140625,,,All
,,-1.04391,0.141667,,,All
,,-1.04041,0.142708,,,All
,,-1.02905,0.14375,,,All
