Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,split
1.65228,0,8.30963,0,0.939392,0,All
2.4282,0.00714286,10.9387,0.00714286,1.23736,0.00714286,All
2.43187,0.0142857,12.378,0.0142857,1.51771,0.0142857,All
2.45212,0.0214286,12.4634,0.0214286,1.5759,0.0214286,All
2.47747,0.0285714,12.7425,0.0285714,1.75847,0.0285714,All
2.49216,0.0357143,12.858,0.0357143,1.76222,0.0357143,All
2.51467,0.0428571,13.1141,0.0428571,1.77448,0.0428571,All
2.53376,0.05,13.2042,0.05,1.79022,0.05,All
2.61166,0.0571429,13.2245,0.0571429,1.84639,0.0571429,All
2.61336,0.0642857,13.4358,0.0642857,1.84726,0.0642857,All
2.72705,0.0714286,13.6925,0.0714286,1.87154,0.0714286,All
3.2116,0.0785714,13.9564,0.0785714,1.88082,0.0785714,All
3.22364,0.0857143,13.9789,0.0857143,1.93438,0.0857143,All
3.27948,0.0928571,14.1504,0.0928571,1.94866,0.0928571,All
3.29528,0.1,14.2164,0.1,1.98679,0.1,All
3.2992,0.107143,14.2767,0.107143,1.99004,0.107143,All
3.32202,0.114286,14.3277,0.114286,2.00045,0.114286,All
3.33471,0.121429,14.4435,0.121429,2.07706,0.121429,All
3.40593,0.128571,14.6058,0.128571,2.07877,0.128571,All
3.45382,0.135714,14.8984,0.135714,2.12874,0.135714,All
3.504,0.142857,15.9204,0.142857,2.16772,0.142857,All
4.33565,0.15,16.3612,0.15,2.25218,0.15,All
4.33838,0.157143,17.0777,0.157143,2.25342,0.157143,All
4.4786,0.164286,17.0895,0.164286,2.26653,0.164286,All
4.48722,0.171429,17.5661,0.171429,2.26725,0.171429,All
4.49317,0.178571,17.8219,0.178571,2.28064,0.178571,All
4.55207,0.185714,18.0538,0.185714,2.28178,0.185714,All
4.55848,0.192857,18.1698,0.192857,2.28782,0.192857,All
4.61199,0.2,18.3186,0.2,2.31907,0.2,All
4.63244,0.207143,18.3582,0.207143,2.40177,0.207143,All
4.63368,0.214286,18.4761,0.214286,2.49193,0.214286,All
4.70761,0.221429,18.5159,0.221429,2.4977,0.221429,All
4.75556,0.228571,18.5304,0.228571,2.51197,0.228571,All
4.77396,0.235714,18.7354,0.235714,2.56558,0.235714,All
4.80371,0.242857,18.823,0.242857,2.59276,0.242857,All
