Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,split
2.62674,0.19487,11.9311,0.0194939,2.20106,0.164606,All
3.02383,0.019487,13.9158,0.0545828,4.12847,0.132487,All
3.42092,0.175383,15.9006,0.00779754,6.05588,0.0923397,All
3.81801,0,17.8853,0.050684,7.98329,0.052192,All
4.2151,0.0389741,19.8701,0.0662791,9.91069,0.0200738,All
4.61219,0.253332,21.8548,0.0974693,11.8381,0.0361329,All
5.00928,0.584611,23.8396,0.155951,13.7655,0.0160591,All
5.40637,0.136409,25.8243,0.0428865,15.6929,0.0160591,All
5.80346,0.487176,27.8091,0.0233926,17.6203,0.00802954,All
6.20055,0.506663,29.7938,0.00779754,19.5477,0.00401477,All
6.59764,0.272819,31.7786,0.0116963,21.4751,0.0160591,All
6.99473,0.0584611,33.7633,0.00779754,23.4025,0.00401477,All
