Cl_abscissa,Cl_pdf,Cl_cdf,Q_abscissa,Q_pdf,Q_cdf,split
3.74569,0.000259701,6.23743e-05,0.374788,0.00357243,0.000355075,All
3.98813,0.000595815,0.000161396,2.563,0.0607947,0.0813562,All
4.23057,0.00123469,0.000375625,4.75121,0.0652338,0.224447,All
4.47302,0.00234411,0.000798006,6.93942,0.0556556,0.35747,All
4.71546,0.00412514,0.00156647,9.12763,0.0450811,0.467489,All
4.9579,0.00679423,0.00287,11.3158,0.0361248,0.55599,All
5.20034,0.0105583,0.00494946,13.5041,0.0290117,0.626941,All
5.44278,0.0155873,0.00809193,15.6923,0.023456,0.684094,All
5.68522,0.021988,0.0126185,17.8805,0.0191198,0.730482,All
5.92766,0.029785,0.0188666,20.0687,0.015717,0.768449,All
6.1701,0.0389103,0.0271683,22.2569,0.0130258,0.799784,All
6.41254,0.0492036,0.037828,24.4451,0.0108791,0.825852,All
6.65498,0.0604221,0.0511011,26.6333,0.00915188,0.847701,All
6.89742,0.0722581,0.0671756,28.8215,0.00775062,0.866141,All
7.13986,0.0843621,0.0861594,31.0097,0.00660476,0.881806,All
7.3823,0.0963672,0.108073,33.1979,0.00566078,0.895194,All
7.62474,0.107913,0.132849,35.3862,0.00487767,0.906698,All
7.86718,0.118668,0.160334,37.5744,0.00422378,0.916634,All
8.10962,0.128343,0.190301,39.7626,0.00367447,0.925259,All
8.35206,0.136708,0.222459,41.9508,0.0032104,0.932777,All
8.5945,0.143593,0.256469,44.139,0.00281624,0.93936,All
8.83694,0.148892,0.291956,46.3272,0.0024798,0.945145,All
9.07939,0.152563,0.328532,48.5154,0.00219129,0.950247,All
9.32183,0.154618,0.365801,50.7036,0.0019428,0.954764,All
9.56427,0.155118,0.403377,52.8918,0.00172788,0.958774,All
9.80671,0.154164,0.440897,55.0801,0.0015413,0.962346,All
10.0491,0.151886,0.478022,57.2683,0.0013787,0.965537,All
10.2916,0.148436,0.514449,59.4565,0.00123653,0.968395,All
10.534,0.143978,0.549914,61.6447,0.0011118,0.970961,All
10.7765,0.13868,0.584193,63.8329,0.00100204,0.973272,All
11.0189,0.132709,0.617103,66.0211,0.000905165,0.975356,All
11.2614,0.126226,0.6485,68.2093,0.000819421,0.977241,All
11.5038,0.119382,0.678278,70.3975,0.000743327,0.978949,All
11.7462,0.112313,0.706368,72.5857,0.000675625,0.9805,All
11.9887,0.105141,0.732729,74.774,0.000615243,0.981911,All
12.2311,0.0979731,0.757349,76.9622,0.000561265,0.983198,All
12.4736,0.0908997,0.780242,79.1504,0.000512904,0.984372,All
12.716,0.0839959,0.801438,81.3386,0.000469485,0.985446,All
12.9584,0.0773225,0.820988,83.5268,0.000430422,0.98643,All
13.2009,0.0709264,0.838953,85.715,0.000395209,0.987332,All
13.4433,0.0648428,0.855404,87.9032,0.000363409,0.988162,All
13.6858,0.0590956,0.870421,90.0914,0.000334638,0.988925,All
