Cl_abscissa,Cl_cdf,Q_abscissa,Q_cdf,split
4.81634,0.0178571,0.998844,0.018,All
4.81798,0.018,0.998844,0.0181429,All
4.81836,0.0181429,1.00037,0.0182857,All
4.81995,0.0182857,1.00268,0.0184286,All
4.81995,0.0184286,1.00786,0.0185714,All
4.82024,0.0185714,1.01236,0.0187143,All
4.82239,0.0187143,1.01336,0.0188571,All
4.82272,0.0188571,1.01465,0.019,All
4.8237,0.019,1.01465,0.0191429,All
4.82559,0.0191429,1.01669,0.0192857,All
4.82559,0.0192857,1.01753,0.0194286,All
4.8283,0.0194286,1.024,0.0195714,All
4.83061,0.0195714,1.02482,0.0197143,All
4.83402,0.0197143,1.02482,0.0198571,All
4.83454,0.0198571,1.02482,0.02,All
4.83644,0.02,1.02482,0.0201429,All
4.83767,0.0201429,1.02496,0.0202857,All
4.83863,0.0202857,1.02574,0.0204286,All
4.83863,0.0204286,1.02577,0.0205714,All
4.84359,0.0205714,1.02577,0.0207143,All
4.84413,0.0207143,1.03133,0.0208571,All
4.84741,0.0208571,1.03133,0.021,All
4.84816,0.021,1.03632,0.0211429,All
4.85134,0.0211429,1.03632,0.0212857,All
4.85148,0.0212857,1.04108,0.0214286,All
4.85385,0.0214286,1.0416,0.0215714,All
4.85385,0.0215714,1.04284,0.0217143,All
4.85388,0.0217143,1.04794,0.0218571,All
4.85473,0.0218571,1.0531,0.022,All
4.85648,0.022,1.05408,0.0221429,All
4.85921,0.0221429,1.05474,0.0222857,All
4.86089,0.0222857,1.066,0.0224286,All
4.86186,0.0224286,1.06777,0.0225714,All
4.86371,0.0225714,1.06871,0.0227143,All
4.87133,0.0227143,1.07235,0.0228571,All
4.87161,0.0228571,1.07815,0.023,All
4.87178,0.023,1.08279,0.0231429,All
4.87513,0.0231429,1.08549,0.0232857,All
4.87677,0.0232857,1.08549,0.0234286,All
4.87736,0.0234286,1.08633,0.0235714,All
4.87785,0.0235714,1.08705,0.0237143,All
4.88104,0.0237143,1.09112,0.0238571,All
4.88197,0.0238571,1.09242,0.024,All
4.88206,0.024,1.0931,0.0241429,All
4.88415,0.0241429,1.09699,0.0242857,All
4.88837,0.0242857,1.10272,0.0244286,All
4.89038,0.0244286,1.10429,0.0245714,All
4.89167,0.0245714,1.10431,0.0247143,All
4.89167,0.0247143,1.10808,0.0248571,All
4.89193,0.0248571,1.1095,0.025,All
4.89263,0.025,1.11583,0.0251429,All
4.89851,0.0251429,1.11849,0.0252857,All
4.89853,0.0252857,1.11849,0.0254286,All
4.90041,0.0254286,1.11849,0.0255714,All
4.9007,0.0255714,1.12107,0.0257143,All
4.90231,0.0257143,1.12402,0.0258571,All
4.90338,0.0258571,1.12402,0.026,All
4.90433,0.026,1.12771,0.0261429,All
4.90482,0.0261429,1.13087,0.0262857,All
4.90487,0.0262857,1.13317,0.0264286,All
4.90783,0.0264286,1.13562,0.0265714,All
