Cl_abscissa,Cl_pdf,Q_abscissa,Q_pdf,split
4.37506,0.00582477,1.66427,0.0434408,All
4.49915,0.0209692,4.24323,0.0498309,All
4.62324,0.0431033,6.82219,0.0417593,All
4.74733,0.0698973,9.40116,0.049999,All
4.87142,0.0943613,11.9801,0.0490461,All
4.99551,0.11533,14.5591,0.0403019,All
5.1196,0.106011,17.138,0.0312774,All
5.24369,0.076887,19.717,0.0192821,All
5.36777,0.0372785,22.296,0.0125558,All
5.49186,0.0116495,24.8749,0.00980922,All
5.61595,0.00116495,27.4539,0.0073429,All
5.74004,0,30.0329,0.00375553,All
5.86413,0,32.6118,0.00392369,All
5.98822,0.00116495,35.1908,0.0030829,All
6.11231,0.00232991,37.7697,0.0020179,All
6.2364,0.00116495,40.3487,0.00235421,All
6.36048,0.0116495,42.9277,0.00229816,All
6.48457,0.0198042,45.5066,0.00123316,All
6.60866,0.0629075,48.0856,0.00179369,All
6.73275,0.0920314,50.6646,0.00179369,All
6.85684,0.0931963,53.2435,0.00140132,All
6.98093,0.102516,55.8225,0.00134526,All
7.10502,0.0815468,58.4014,0.00123316,All
7.22911,0.0652374,60.9804,0.000672632,All
7.3532,0.0279589,63.5594,0.001065,All
7.47728,0.0174743,66.1383,0.000560527,All
7.60137,0.00349486,68.7173,0.00134526,All
7.72546,0,71.2963,0.000224211,All
7.84955,0,73.8752,0.000840791,All
7.97364,0,76.4542,0.000560527,All
8.09773,0.00232991,79.0331,0.000448422,All
8.22182,0.00582477,81.6121,0.000728685,All
8.34591,0.0139795,84.1911,0.000336316,All
8.46999,0.0232991,86.77,0.000672632,All
8.59408,0.0326187,89.349,0.000448422,All
8.71817,0.0535879,91.928,0.000224211,All
8.84226,0.0582477,94.5069,0.000112105,All
8.96635,0.0698973,97.0859,0.000280264,All
9.09044,0.0780519,99.6648,0.000504474,All
9.21453,0.0990211,102.244,0,All
9.33862,0.11533,104.823,0.000280264,All
9.46271,0.104846,107.402,0.000168158,All
9.58679,0.163094,109.981,0.000168158,All
9.71088,0.188723,112.56,0.000168158,All
9.83497,0.272599,115.139,0,All
9.95906,0.2493,117.718,0.000168158,All
10.0831,0.24697,120.297,0.000112105,All
10.2072,0.25396,122.876,0.000168158,All
10.3313,0.243475,125.454,0,All
10.4554,0.2493,128.033,5.60527e-05,All
10.5795,0.201537,130.612,0.000224211,All
10.7036,0.238816,133.191,0,All
10.8277,0.221341,135.77,5.60527e-05,All
10.9518,0.151444,138.349,0.000112105,All
11.0759,0.153774,140.928,0,All
11.1999,0.13863,143.507,0.000112105,All
11.324,0.173578,146.086,0,All
11.4481,0.142124,148.665,0,All
11.5722,0.149114,151.244,5.60527e-05,All
11.6963,0.172413,153.823,0,All
11.8204,0.174743,156.402,0,All
11.9445,0.187558,158.981,0,All
12.0686,0.206197,161.56,5.60527e-05,All
12.1927,0.193382,164.139,0,All
12.3167,0.163094,166.718,0,All
12.4408,0.181733,169.297,0,All
12.5649,0.180568,171.876,0,All
12.689,0.146784,174.455,0.000112105,All
12.8131,0.191053,177.034,0,All
12.9372,0.186393,179.613,0,All
13.0613,0.151444,182.192,5.60527e-05,All
13.1854,0.153774,184.771,5.60527e-05,All
13.3095,0.147949,187.35,0,All
13.4335,0.0978562,189.929,0,All
13.5576,0.0897015,192.508,0,All
13.6817,0.0733921,195.086,0,All
13.8058,0.0862066,197.665,0.000112105,All
13.9299,0.0349486,200.244,5.60527e-05,All
14.054,0.0384435,202.823,0,All
14.1781,0.0198042,205.402,5.60527e-05,All
14.3022,0.00698973,207.981,5.60527e-05,All
14.4263,0.00465982,210.56,0,All
14.5503,0.00465982,213.139,0,All
14.6744,0.00116495,215.718,5.60527e-05,All
