iteration,E_V,sd_V,E_Cl,sd_Cl
1,25.7864,0.14096,5.3292,0.10658
2,25.5071,0.141866,5.36145,0.0971552
3,25.5809,0.137232,5.36634,0.0937059
4,25.661,0.128766,5.36211,0.0871901
5,25.6981,0.128897,5.36616,0.0839491
6,25.7541,0.128959,5.3584,0.0823998
7,25.79,0.129632,5.35414,0.0827673
8,25.8256,0.12877,5.349,0.0823209
9,25.8783,0.128933,5.34933,0.0829022
10,25.8455,0.128577,5.35796,0.0836626
11,25.723,0.128646,5.36048,0.0835724
12,25.7163,0.128534,5.36259,0.0830932
13,25.768,0.129357,5.36494,0.0823297
14,25.774,0.128419,5.35806,0.0815491
15,25.7641,0.128233,5.35941,0.0810687
16,25.7763,0.128068,5.36412,0.0822247
17,25.7692,0.128042,5.36739,0.0823625
18,25.7711,0.128288,5.36116,0.0821175
19,25.7502,0.128195,5.36131,0.0822162
20,25.774,0.127749,5.35972,0.0818886
21,25.8128,0.12832,5.35831,0.0820576
22,25.7972,0.129069,5.35477,0.0820171
23,25.7602,0.128828,5.3597,0.0816198
24,25.7128,0.128015,5.36127,0.0813637
25,25.7082,0.12792,5.36484,0.0811805
26,25.6764,0.128219,5.36722,0.0807402
27,25.7062,0.128268,5.36417,0.0808023
28,25.7044,0.127376,5.36374,0.0804762
29,25.6909,0.126816,5.36241,0.0801344
30,25.6741,0.12628,5.36145,0.0802028
31,25.6714,0.125737,5.36058,0.0802937
32,25.6651,0.125771,5.35988,0.0799113
33,25.662,0.125576,5.35998,0.0802534
34,25.671,0.125903,5.36019,0.0803197
35,25.6625,0.125564,5.36196,0.0801759
36,25.6578,0.125401,5.36088,0.079983
37,25.6553,0.125013,5.35943,0.0797618
38,25.6482,0.124916,5.35905,0.079589
39,25.6496,0.125314,5.35684,0.0791964
40,25.6525,0.125225,5.35754,0.0791251
41,25.6494,0.125325,5.35615,0.0791641
42,25.6558,0.125633,5.35777,0.0789991
43,25.6661,0.12571,5.35854,0.078931
44,25.676,0.125808,5.35756,0.0788783
45,25.6734,0.125479,5.35506,0.0788127
46,25.6762,0.125381,5.35405,0.0785258
47,25.6734,0.124992,5.35208,0.078567
48,25.6605,0.124907,5.34951,0.078658
49,25.6601,0.125082,5.34946,0.0787433
50,25.6658,0.124874,5.34944,0.0787949
51,25.6868,0.124659,5.34821,0.0786558
52,25.6981,0.124686,5.34651,0.0785154
53,25.697,0.124864,5.34596,0.0781863
54,25.7072,0.124622,5.34621,0.0781559
55,25.719,0.124886,5.34636,0.0781437
56,25.7239,0.125149,5.34458,0.07827
57,25.7322,0.125055,5.34429,0.0781751
58,25.7204,0.125011,5.34554,0.078247
59,25.7115,0.125456,5.3468,0.0785155
60,25.712,0.125097,5.34645,0.0784446
61,25.715,0.124665,5.34752,0.0782804
62,25.7191,0.124534,5.34905,0.0781822
63,25.7247,0.124845,5.3494,0.0781424
64,25.7288,0.12486,5.35086,0.0781431
65,25.7344,0.124981,5.34894,0.0781608
66,25.7292,0.124611,5.34828,0.0780353
67,25.7254,0.124506,5.34874,0.0779372
68,25.7125,0.124293,5.35023,0.0782551
69,25.7169,0.124479,5.34937,0.078086
70,25.7262,0.124628,5.35014,0.0781753
71,25.7235,0.124669,5.34964,0.078154
72,25.716,0.124694,5.35068,0.0782479
73,25.7157,0.124648,5.35158,0.0780906
74,25.7134,0.124534,5.35325,0.0782828
75,25.7136,0.12448,5.35326,0.0783295
76,25.7084,0.124234,5.35242,0.0782379
77,25.7064,0.124279,5.35211,0.0780554
78,25.7113,0.124383,5.35361,0.0780818
79,25.713,0.12454,5.35432,0.0778904
80,25.7139,0.124603,5.35393,0.0779367
81,25.7203,0.124908,5.35399,0.0780649
82,25.7198,0.124861,5.35364,0.0781222
83,25.7195,0.124888,5.35308,0.0781657
84,25.7197,0.124814,5.3536,0.0783123
