standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.62277,0.240367,-3.53762,0.0146829,-2.34572,0.0781944,-3.8434,0.0153258,All
-2.30084,0,-3.01061,0,-1.94988,0.0195486,-3.33849,0.0153258,All
-1.97891,0.0240367,-2.4836,0.0293659,-1.55404,0.175937,-2.83359,0,All
-1.65698,0.21633,-1.95658,0.117464,-1.1582,0.254132,-2.32868,0.0153258,All
-1.33505,0,-1.42957,0.161512,-0.762366,0.254132,-1.82378,0.107281,All
-1.01312,0,-0.902559,0.234927,-0.366527,0.312778,-1.31887,0.275865,All
-0.691193,0.0480733,-0.375546,0.308342,0.029312,0.430069,-0.813968,0.260539,All
-0.369264,0.312476,0.151466,0.381756,0.425151,0.351875,-0.309062,0.413798,All
-0.0473347,0.624953,0.678479,0.543269,0.82099,0.371423,0.195843,0.260539,All
0.274594,0.50477,1.20549,0.161512,1.21683,0.332326,0.700748,0.413798,All
0.596523,0.624953,1.7325,0.0440488,1.61267,0.117292,1.20565,0.229888,All
0.918452,0.769173,2.25952,0.0587318,2.00851,0.0390972,1.71056,0.137933,All
