iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
1,1243.63,1,10.2275,11.1604,43.2233,60.344,1,1,0.3,0.3,0.8,1,1,1,1,1
2,1237.93,1,11.1039,13.3623,41.5079,76.2673,0.95,0.95,0.285,0.285,1.00517,0.974679,1.24701,0.974679,0.974679,0.974679
3,1216.26,1,10.8755,13.129,41.2704,76.0878,0.9025,0.9025,0.27075,0.27075,1.00231,0.95,1.24806,0.95,0.981868,0.95
4,1192.75,1,10.9099,13.3936,45.0088,64.3684,0.857375,0.857375,0.257212,0.257212,0.98782,0.925945,1.23597,0.925945,1.07069,0.925945
5,1180.48,1,10.7344,11.0725,47.6634,68.7325,0.814506,0.814506,0.244352,0.244352,0.9623,0.9025,1.20468,0.9025,1.04358,0.9025
6,1165.58,1,10.4385,11.8243,42.0114,72.9378,0.773781,0.773781,0.232134,0.232134,0.97385,0.879648,1.17418,0.879648,1.05749,0.879648
7,1156.44,1,10.606,10.2975,44.2662,72.2644,0.735092,0.735092,0.220528,0.220528,0.984664,0.857375,1.20977,0.857375,1.12533,0.857375
8,1124.48,1,10.6894,11.0742,46.0297,68.2519,0.698337,0.698337,0.209501,0.209501,1.01158,0.835666,1.17914,0.835666,1.11754,0.835666
9,1112.69,1,10.7661,10.5306,46.5211,69.5455,0.66342,0.66342,0.199026,0.199026,1.01531,0.814506,1.14929,0.814506,1.10731,0.814506
10,1087.93,1,10.604,9.92156,46.329,59.6541,0.630249,0.630249,0.189075,0.189075,1.00568,0.793882,1.12019,0.793882,1.07927,0.793882
11,1084.06,1,10.6937,10.1127,47.1529,58.547,0.598737,0.598737,0.179621,0.179621,1.00751,0.773781,1.10621,0.773781,1.05194,0.773781
12,1072.28,1,10.6454,11.5246,45.0806,52.2833,0.5688,0.5688,0.17064,0.17064,1.02657,0.754188,1.11189,0.754188,1.0391,0.754188
13,1053.71,1,10.6883,10.2084,47.5443,45.9442,0.54036,0.54036,0.162108,0.162108,1.00392,0.735092,1.08374,0.735092,1.01279,0.735092
14,1047.99,1,10.5466,11.4199,44.9043,44.3464,0.513342,0.513342,0.154003,0.154003,0.993472,0.716479,1.19118,0.716479,0.98715,0.716479
15,1033.19,1,10.4282,12.7101,44.5976,46.4655,0.487675,0.487675,0.146302,0.146302,0.997173,0.698337,1.35551,0.698337,0.962154,0.698337
16,1024.87,1,10.4566,13.1162,45.5585,49.8739,0.463291,0.273807,0.138987,0.153866,0.992075,0.680655,1.46672,0.680655,0.943958,0.680655
17,1013.49,1,10.4907,14.7338,43.5568,49.0157,0.440127,0.343704,0.132038,0.14799,0.990751,0.66342,1.42958,0.66342,0.98932,0.66342
18,1016.47,1,10.6758,13.6694,44.1794,43.8795,0.41812,0.360122,0.125436,0.147561,1.01042,0.646622,1.43728,0.646622,1.00795,0.646622
