iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
181,851.607,1,9.76107,12.0007,46.5807,63.5923,2.22045e-16,0.104882,0.176138,0.944121,0.263315,0.320885,0.171166,1.28357,0.263962
182,851.059,1,9.78669,11.7983,47.9717,63.0404,2.22045e-16,0.107775,0.167331,0.954267,0.265846,0.344536,0.166832,1.25381,0.264559
183,851.666,1,9.85733,11.9083,46.5739,60.6262,2.22045e-16,0.11067,0.166191,0.946248,0.268376,0.340946,0.162607,1.22206,0.25786
184,842.563,1,9.73977,12.2905,47.2768,58.3444,2.22045e-16,0.108888,0.161435,0.929513,0.288018,0.338706,0.15849,1.2493,0.251331
185,844.516,1,9.71816,12.1351,46.883,58.7685,2.22045e-16,0.105696,0.166908,0.928653,0.280725,0.345162,0.154477,1.21767,0.247545
186,848.989,1,9.7802,11.7806,46.9113,49.9585,0.00186684,0.106769,0.165263,0.958109,0.273617,0.3404,0.151985,1.21349,0.258568
187,847.615,1,9.83839,12.093,46.5933,50.8449,2.22045e-16,0.105711,0.171251,0.94002,0.280831,0.331781,0.161104,1.26672,0.25202
188,845.571,1,9.82881,12.2705,47.1776,51.426,2.22045e-16,0.106531,0.169111,0.938023,0.281445,0.32338,0.158501,1.23465,0.245639
189,840.292,1,9.83332,11.9364,47.0825,57.3535,2.22045e-16,0.10414,0.165819,0.949238,0.282912,0.315192,0.181528,1.24823,0.239419
190,838.386,1,9.85254,12.0508,47.4398,54.5052,2.22045e-16,0.10373,0.164792,0.951564,0.283607,0.307211,0.176932,1.36413,0.236865
191,834.465,1,9.87147,11.829,47.7046,56.0297,2.22045e-16,0.101327,0.164285,0.950562,0.276426,0.299432,0.172452,1.39045,0.2427
192,837.807,1,9.75864,11.48,47.4633,54.4914,2.22045e-16,0.0991642,0.164653,0.940642,0.27581,0.313525,0.168863,1.36739,0.26136
193,841.877,1,9.8117,11.6119,46.8613,54.0461,2.22045e-16,0.0997798,0.170739,0.947246,0.275096,0.312791,0.164588,1.35196,0.254742
194,836.348,1,9.75898,12.1578,46.5468,59.6865,2.22045e-16,0.101138,0.163939,0.944165,0.284159,0.316948,0.16042,1.34774,0.248292
195,840.829,1,9.80841,12.4928,45.7844,57.7274,2.22045e-16,0.102316,0.165795,0.945288,0.295683,0.308923,0.156358,1.35544,0.25459
196,846.108,1,9.79392,12.3255,45.6013,57.9487,2.22045e-16,0.10379,0.168069,0.927524,0.302395,0.325589,0.152399,1.39622,0.252866
197,830.404,1,9.86605,12.4037,45.8951,50.5536,2.22045e-16,0.101549,0.162219,0.945306,0.294738,0.342807,0.14854,1.36086,0.246463
198,839.682,1,9.85813,12.6718,46.4512,47.5864,2.22045e-16,0.100296,0.168726,0.950772,0.287275,0.37384,0.144779,1.32641,0.242968
199,846.936,1,9.79514,13.4758,47.0831,51.197,2.22045e-16,0.100549,0.171763,0.95315,0.304959,0.379299,0.147274,1.29282,0.244922
200,843.625,1,9.92853,13.8105,47.4368,56.8707,2.22045e-16,0.104479,0.167411,0.94074,0.297237,0.433975,0.149587,1.26009,0.23955
201,843.584,1,9.85909,13.2235,47.1876,56.4748,2.22045e-16,0.101743,0.169991,0.952972,0.296659,0.422986,0.1458,1.22818,0.247003
202,848.974,1,9.8392,12.541,47.2994,60.1877,2.22045e-16,0.103783,0.169263,0.962355,0.297411,0.412276,0.142108,1.19708,0.261778
203,849.283,1,9.79928,11.7751,47.9918,61.316,2.22045e-16,0.103079,0.172702,0.948948,0.303875,0.405524,0.143234,1.16677,0.257088
204,853.567,1,9.8246,11.9163,47.7382,63.5166,2.22045e-16,0.106773,0.1726,0.948103,0.29618,0.41528,0.139607,1.13723,0.26463
205,847.024,1,9.79888,12.1617,47.2,53.9869,2.22045e-16,0.109752,0.167091,0.950592,0.288681,0.404765,0.136072,1.10843,0.257929
206,849.026,1,9.71647,12.2707,47.4234,55.565,2.22045e-16,0.109889,0.162617,0.925038,0.28873,0.411502,0.132627,1.16269,0.253662
207,849.385,1,9.76758,12.1629,48.6063,57.0124,2.22045e-16,0.10816,0.166428,0.935788,0.287472,0.401082,0.136978,1.18733,0.252079
208,846.577,1,9.68928,11.7658,48.2647,56.6126,2.22045e-16,0.104983,0.168306,0.934997,0.285066,0.390927,0.141448,1.2013,0.257044
209,847.284,1,9.69339,11.8334,47.0593,54.0469,2.22045e-16,0.109228,0.16387,0.941178,0.277848,0.381028,0.137866,1.2038,0.250535
210,849.404,1,9.76852,11.4283,46.5359,51.4189,2.22045e-16,0.106043,0.170573,0.953058,0.270813,0.37138,0.139528,1.17332,0.260018
211,846.029,1,9.82262,11.8398,46.9106,53.9673,2.22045e-16,0.103439,0.170395,0.930242,0.269546,0.361977,0.151144,1.20948,0.268652
212,843.007,1,9.8404,12.2173,46.6429,55.4903,2.22045e-16,0.103037,0.169704,0.948176,0.275901,0.352811,0.150908,1.19999,0.26185
213,842.987,1,9.85888,12.927,45.9538,55.4283,2.22045e-16,0.105366,0.168191,0.9459,0.274778,0.343878,0.147087,1.19573,0.25522
214,837.999,1,9.88889,13.2063,46.4546,57.4091,2.22045e-16,0.104418,0.162323,0.953476,0.267821,0.336056,0.152758,1.16545,0.257108
215,838.782,1,9.85401,12.3014,45.9672,59.0311,2.22045e-16,0.103871,0.16446,0.947614,0.263375,0.366136,0.14889,1.13594,0.251739
216,845.194,1,9.88054,12.9606,46.3821,58.6658,2.22045e-16,0.104223,0.166763,0.946397,0.266319,0.407627,0.14512,1.12805,0.256127
217,841.456,1,9.98006,12.8243,46.066,60.784,2.22045e-16,0.105776,0.169569,0.95864,0.263218,0.397306,0.141445,1.10694,0.251763
218,829.238,1,10.0467,12.3368,46.2442,51.8582,2.22045e-16,0.100639,0.166086,0.964759,0.258512,0.387255,0.137864,1.07891,0.245388
219,826.301,1,10.0785,12.2652,46.5719,54.4196,2.22045e-16,0.0967665,0.172353,0.949921,0.264347,0.409544,0.134373,1.0928,0.24634
220,834.579,1,10.0365,12.4,46.1067,54.3357,2.22045e-16,0.0984073,0.17239,0.955566,0.260816,0.420886,0.130971,1.086,0.246787
221,840.526,1,9.92225,13.3769,45.7245,49.3255,2.22045e-16,0.100513,0.170077,0.96201,0.266064,0.410229,0.145053,1.11867,0.240538
222,844.875,1,9.95859,14.1148,45.5408,53.3758,2.22045e-16,0.102892,0.171047,0.950542,0.262346,0.43856,0.14138,1.11477,0.253284
223,850.551,1,9.95988,14.372,45.3383,51.7217,2.22045e-16,0.104266,0.170022,0.951858,0.26888,0.452635,0.143887,1.11589,0.255012
224,852.539,1,9.96246,14.0957,45.2673,48.7413,2.22045e-16,0.104123,0.169909,0.954799,0.266512,0.470301,0.140244,1.15348,0.258195
225,850.594,1,10.027,13.4847,45.9028,50.3666,2.22045e-16,0.104519,0.169784,0.958582,0.259764,0.506013,0.140157,1.12427,0.251658
226,841.24,1,10.0256,13.1324,46.1173,56.1428,2.22045e-16,0.101619,0.167518,0.964499,0.254658,0.535083,0.137648,1.10063,0.245286
227,843.578,1,9.981,13.5858,46.105,54.6124,2.22045e-16,0.103709,0.164722,0.957182,0.24821,0.561985,0.134162,1.0884,0.253125
228,849.905,1,9.94215,13.3629,46.0907,52.6012,2.22045e-16,0.105343,0.171542,0.948954,0.243651,0.547756,0.130765,1.13971,0.246715
229,854.842,1,9.94123,13.046,45.826,53.3208,2.22045e-16,0.108902,0.167354,0.936864,0.250268,0.533886,0.145491,1.11085,0.240468
230,841.833,1,9.95675,13.6901,46.2851,52.1288,2.10942e-16,0.103457,0.164881,0.946723,0.263402,0.520368,0.141807,1.14074,0.248962
231,846.823,1,9.94109,13.4797,46.3025,54.9659,2.22045e-16,0.106382,0.16,0.948106,0.265938,0.507192,0.144982,1.13035,0.248899
232,841.733,1,9.9917,13.3264,45.8491,55.7297,2.22045e-16,0.105099,0.161211,0.947327,0.264233,0.527719,0.143195,1.10173,0.242597
233,848.052,1,10.0558,12.9946,45.6508,47.0241,2.22045e-16,0.107217,0.167912,0.952943,0.26593,0.514357,0.13957,1.07383,0.245705
234,853.193,1,9.97569,11.8486,45.4569,51.4869,2.22045e-16,0.104315,0.171566,0.958587,0.264882,0.523819,0.136036,1.06734,0.250146
235,840.135,1,9.99796,12.2939,45.2618,59.8839,2.10942e-16,0.0990991,0.177331,0.933018,0.282477,0.529238,0.132591,1.04032,0.279162
236,843.386,1,9.87065,12.4134,45.3343,61.0482,2.22045e-16,0.102013,0.172731,0.936065,0.282654,0.515837,0.129234,1.01397,0.272093
237,838.688,1,9.93714,13.0043,46.1402,60.6337,2.22045e-16,0.100503,0.165675,0.94261,0.284125,0.55366,0.125961,0.9883,0.278539
238,833.721,1,9.96954,12.8202,45.3519,56.5754,2.22045e-16,0.100239,0.16463,0.926186,0.280422,0.610203,0.122772,0.963276,0.271486
239,834.934,1,10.1366,12.0673,46.1393,56.2595,2.22045e-16,0.0986332,0.171613,0.935638,0.273322,0.624897,0.13041,0.938885,0.264612
240,835.685,1,10.0935,12.0009,45.9794,55.7782,2.22045e-16,0.0972132,0.172085,0.941239,0.266401,0.622553,0.127108,0.915112,0.257912
241,830.004,1,10.0945,12.1594,46.1215,52.13,2.22045e-16,0.0992399,0.168598,0.949365,0.26231,0.654207,0.12389,0.891941,0.251382
242,835.681,1,10.1927,12.2371,46.3468,48.8902,2.22045e-16,0.0998018,0.16817,0.956989,0.258177,0.637642,0.126165,0.869357,0.256796
243,839.864,1,10.141,12.8221,46.6404,52.0066,2.22045e-16,0.100642,0.169165,0.957663,0.254753,0.650169,0.127632,0.847344,0.250294
244,836.162,1,10.142,12.9262,45.1068,50.9908,2.22045e-16,0.102432,0.166701,0.949798,0.253239,0.633707,0.124401,0.825889,0.246427
245,841.957,1,10.0562,12.7005,45.2215,48.7181,2.22045e-16,0.105023,0.165625,0.942388,0.248326,0.617661,0.129339,0.838931,0.24708
246,843.776,1,10.1962,13.2067,45.1261,48.0909,2.22045e-16,0.104497,0.167495,0.95082,0.242038,0.602021,0.141398,0.842865,0.258685
247,855.092,2,10.0553,13.7235,44.7412,54.4273,2.22045e-16,0.10302,0.172275,0.948012,0.240342,0.655137,0.148695,0.870009,0.259151
248,843.447,2,10.1394,12.7902,44.5554,57.0079,2.22045e-16,0.100868,0.172867,0.955382,0.237528,0.638548,0.14493,0.909301,0.252589
249,848.032,2,10.0794,12.4285,44.5987,60.5367,2.22045e-16,0.103913,0.168787,0.963483,0.243788,0.60097,0.130848,0.923317,0.25385
250,842.277,2,10.1326,12.7194,45.626,59.5185,2.22045e-16,0.104002,0.16542,0.963554,0.251255,0.625663,0.126718,0.859907,0.259801
251,840.914,2,10.1067,12.8025,46.4099,62.7108,2.22045e-16,0.103161,0.165063,0.952264,0.263406,0.642471,0.13153,0.831993,0.256498
252,843.462,2,10.1159,13.2475,46.0504,59.4426,2.22045e-16,0.104937,0.165946,0.943411,0.249973,0.645746,0.119611,0.86389,0.272678
253,842.465,2,10.1315,12.8059,46.7974,56.6244,2.22045e-16,0.103064,0.169506,0.942906,0.252308,0.639425,0.129274,0.833362,0.254233
254,848.403,2,10.2171,12.9016,46.2061,57.0002,2.22045e-16,0.109507,0.168628,0.969588,0.246889,0.611737,0.111928,0.757763,0.256601
255,853.544,2,10.158,13.3163,45.8323,57.9719,2.22045e-16,0.110034,0.169308,0.972412,0.251835,0.582991,0.119668,0.774992,0.247917
256,846.156,2,10.1153,13.1137,45.2516,57.2263,2.22045e-16,0.105405,0.166597,0.966959,0.261656,0.647889,0.133044,0.822794,0.23998
257,849.447,2,10.1237,13.9539,45.152,54.0357,2.22045e-16,0.106281,0.167061,0.959782,0.265433,0.665909,0.125648,0.857441,0.238733
258,847.914,2,10.1732,14.512,44.7253,48.0579,2.22045e-16,0.106768,0.168043,0.953234,0.264569,0.667646,0.125993,0.791899,0.235706
259,841.537,2,10.2044,14.2289,44.8263,44.3493,2.22045e-16,0.103993,0.169906,0.954927,0.265402,0.674743,0.124753,0.712706,0.24064
260,842.353,2,10.2061,13.7903,44.7447,44.3731,2.22045e-16,0.102797,0.17113,0.958481,0.26794,0.659134,0.11906,0.739919,0.243069
261,832.912,2,10.2549,14.0798,44.5431,42.9779,2.22045e-16,0.102028,0.169227,0.961859,0.265421,0.617702,0.123039,0.732041,0.236586
262,835.143,2,10.2624,14.2589,44.1668,43.1521,2.22045e-16,0.101246,0.169649,0.956386,0.264315,0.61136,0.130621,0.707125,0.243125
263,830.221,2,10.2427,14.1425,44.3303,44.9143,2.22045e-16,0.100971,0.169915,0.951402,0.261517,0.601187,0.122997,0.700929,0.244499
264,831.642,2,10.2385,13.664,44.4368,45.4776,2.22045e-16,0.1017,0.171715,0.949783,0.260773,0.585856,0.115266,0.699663,0.235667
265,832.399,2,10.2164,13.9017,44.407,47.6317,2.22045e-16,0.101577,0.169892,0.949195,0.259326,0.615297,0.113833,0.727125,0.24246
266,842.508,2,10.1749,14.0277,44.6006,47.988,2.22045e-16,0.1025,0.168935,0.95511,0.263341,0.653216,0.110489,0.741451,0.244723
267,838.983,2,10.1442,14.5718,44.3744,48.5693,2.22045e-16,0.10134,0.170404,0.948868,0.267639,0.675074,0.103259,0.778386,0.254617
268,835.403,2,10.1299,14.0529,44.5777,49.5258,2.22045e-16,0.100863,0.169169,0.940294,0.269027,0.661007,0.106574,0.805528,0.264035
269,840.134,2,10.1238,13.9731,44.7669,49.4501,2.22045e-16,0.100737,0.168161,0.946328,0.275141,0.671648,0.110406,0.808309,0.266188
270,832.447,2,10.1545,14.2967,44.8997,49.291,2.22045e-16,0.100549,0.168602,0.945209,0.280569,0.65667,0.109612,0.815192,0.262124
271,837.274,2,10.1682,14.5403,44.9095,48.5347,2.22045e-16,0.101207,0.167932,0.94804,0.282769,0.658965,0.110443,0.804487,0.258198
272,844.654,2,10.1732,14.8037,44.9585,50.3376,2.22045e-16,0.102382,0.168195,0.949635,0.285477,0.667674,0.108902,0.814703,0.260069
273,839.919,2,10.1512,14.5155,44.8765,50.6065,2.22045e-16,0.10146,0.168503,0.948991,0.284024,0.683398,0.109834,0.821766,0.260644
274,848.18,2,10.1124,14.3513,45.0498,51.2711,2.22045e-16,0.101755,0.168836,0.948524,0.286944,0.699158,0.112633,0.818185,0.255094
275,841.953,2,10.119,14.3453,44.9606,50.6341,2.22045e-16,0.10171,0.169167,0.947399,0.284856,0.714331,0.11161,0.802043,0.256077
276,839.252,2,10.1244,14.4331,45.0096,49.9788,2.22045e-16,0.102261,0.167434,0.949128,0.282435,0.718396,0.110706,0.784545,0.257398
277,829.471,2,10.1339,14.0456,45.0506,49.0964,2.22045e-16,0.100477,0.167695,0.950923,0.276471,0.71032,0.10973,0.798505,0.258154
278,832.756,2,10.1421,13.6772,45.1367,48.7191,2.22045e-16,0.0992918,0.16945,0.950485,0.270095,0.723744,0.107855,0.788456,0.253945
279,835.789,2,10.164,13.7449,45.1231,48.3929,2.22045e-16,0.099678,0.169681,0.950081,0.265817,0.72905,0.103567,0.792212,0.255773
280,835.873,2,10.1705,13.762,45.0771,48.3253,2.22045e-16,0.100388,0.169192,0.949555,0.263826,0.729927,0.100387,0.797337,0.256381
281,835.968,2,10.1707,13.8029,45.1257,48.9043,2.22045e-16,0.100386,0.169217,0.948826,0.263335,0.723785,0.0995491,0.80442,0.259665
282,840.92,2,10.1663,13.767,45.153,49.676,2.22045e-16,0.100378,0.169533,0.948929,0.263401,0.72807,0.100453,0.819831,0.255792
283,835.271,2,10.1538,13.8428,45.1121,50.3245,2.22045e-16,0.100625,0.168476,0.948109,0.263764,0.734568,0.0997445,0.816546,0.258161
284,832.444,2,10.1526,13.9263,45.0643,50.5379,2.22045e-16,0.10056,0.168753,0.948168,0.264259,0.718239,0.0994616,0.812537,0.257767
285,838.222,2,10.1523,14.1001,45.02,51.2503,2.22045e-16,0.100739,0.16825,0.948019,0.265799,0.724219,0.101159,0.808447,0.257003
286,834.867,2,10.1567,14.0516,45.0664,51.3172,2.22045e-16,0.100671,0.168326,0.9479,0.265384,0.722079,0.103297,0.800761,0.255051
287,839.771,2,10.1597,13.9946,45.0243,51.6406,2.22045e-16,0.100671,0.168771,0.948958,0.265439,0.713307,0.104677,0.799732,0.255136
288,830.564,2,10.1676,14.0487,44.9689,52.1994,2.22045e-16,0.100988,0.167972,0.949631,0.26607,0.702923,0.105445,0.79904,0.254521
289,838.7,2,10.178,13.9529,44.9461,52.8742,2.22045e-16,0.101395,0.168155,0.950514,0.265635,0.701519,0.105339,0.791802,0.253838
290,835.668,2,10.1881,13.785,44.9509,52.6044,2.22045e-16,0.10121,0.168647,0.951392,0.264414,0.702945,0.105637,0.789147,0.252894
291,841.266,2,10.1988,13.7655,45.0214,52.5576,2.22045e-16,0.101446,0.169194,0.952168,0.26284,0.703077,0.105577,0.781113,0.252156
292,833.706,2,10.207,13.6788,45.0766,52.6585,2.22045e-16,0.101243,0.169332,0.951735,0.263136,0.704203,0.107227,0.777871,0.251398
293,833.02,2,10.2134,13.6085,45.0635,52.1764,2.22045e-16,0.101088,0.169589,0.95173,0.262688,0.703513,0.107502,0.767874,0.251737
294,838.974,2,10.2176,13.6178,45.0436,51.991,2.22045e-16,0.101314,0.169495,0.953012,0.262651,0.705488,0.107551,0.764372,0.250494
295,834.826,2,10.2187,13.6676,44.9947,51.3816,2.22045e-16,0.101486,0.169275,0.952895,0.26193,0.704407,0.107048,0.761406,0.250153
296,829.947,2,10.2193,13.6189,44.9723,50.961,2.22045e-16,0.101505,0.169163,0.953071,0.261572,0.705537,0.106018,0.756418,0.249452
297,830.84,2,10.2181,13.6235,44.9472,50.5387,2.22045e-16,0.101643,0.168975,0.951818,0.261084,0.703929,0.106336,0.749395,0.249092
298,841.564,2,10.2173,13.6148,44.9536,50.3541,2.22045e-16,0.101734,0.168948,0.951643,0.260859,0.704343,0.106264,0.748836,0.248983
299,838.181,2,10.2195,13.6076,44.9461,50.2759,2.22045e-16,0.101715,0.169032,0.951537,0.260558,0.705415,0.106223,0.748935,0.249164
300,831.847,2,10.2208,13.5952,44.948,50.2906,2.22045e-16,0.101715,0.169006,0.951746,0.260519,0.70656,0.105909,0.749165,0.249087
301,840.311,2,10.2197,13.5716,44.9466,50.2439,2.22045e-16,0.101727,0.169128,0.951462,0.260417,0.708105,0.105665,0.747439,0.249164
302,842.285,2,10.2218,13.5508,44.9402,50.2038,2.22045e-16,0.101797,0.169195,0.951556,0.260051,0.708757,0.105683,0.746208,0.249031
303,833.33,2,10.2227,13.5244,44.9503,50.2269,2.22045e-16,0.101796,0.169167,0.951592,0.259811,0.70947,0.105786,0.744629,0.249197
304,839.747,2,10.2231,13.5049,44.9537,50.1862,2.22045e-16,0.101836,0.169181,0.951518,0.25955,0.711311,0.105778,0.742716,0.249186
305,842.396,2,10.2232,13.4964,44.9347,50.0969,2.22045e-16,0.101843,0.169235,0.951701,0.259328,0.712952,0.105811,0.741238,0.249058
306,844.857,2,10.2235,13.4702,44.9196,50.0598,2.22045e-16,0.101886,0.169375,0.951673,0.259256,0.713291,0.105853,0.738934,0.249054
307,839.512,2,10.2227,13.4462,44.9238,50.0117,2.22045e-16,0.101875,0.169405,0.951518,0.259205,0.715467,0.105893,0.736818,0.249188
308,839.505,2,10.2233,13.4329,44.9165,49.9557,2.22045e-16,0.10189,0.169421,0.951664,0.259064,0.717123,0.105823,0.735496,0.249293
309,843.009,2,10.2232,13.4108,44.9136,49.9706,2.22045e-16,0.101889,0.169591,0.951433,0.25888,0.71837,0.105757,0.734154,0.249184
310,828.544,2,10.2232,13.4004,44.9077,49.9448,2.22045e-16,0.101889,0.16955,0.951312,0.258637,0.719891,0.105639,0.732239,0.249062
311,824.263,2,10.2244,13.4032,44.8999,49.9091,2.22045e-16,0.101797,0.16956,0.951187,0.258586,0.721231,0.105724,0.73071,0.249064
312,823.574,2,10.2255,13.4127,44.8917,49.9106,2.22045e-16,0.10175,0.169492,0.951,0.258625,0.722043,0.105832,0.72904,0.24923
313,833.457,2,10.2243,13.4159,44.8796,49.8909,2.22045e-16,0.101763,0.169447,0.95078,0.258614,0.720943,0.105976,0.728977,0.249292
314,839.544,2,10.2227,13.3969,44.8685,49.8743,2.22045e-16,0.101794,0.169474,0.950671,0.258504,0.72019,0.105948,0.728303,0.249244
315,846.302,2,10.2221,13.3907,44.8522,49.8175,2.22045e-16,0.101892,0.16946,0.950399,0.258358,0.719891,0.105976,0.727473,0.249589
316,843.72,2,10.2219,13.3811,44.8464,49.7398,2.22045e-16,0.101965,0.169421,0.950196,0.258149,0.720599,0.105913,0.727183,0.24988
317,833.433,2,10.2223,13.3587,44.8523,49.7159,2.22045e-16,0.101957,0.169438,0.950081,0.258088,0.721808,0.105877,0.725606,0.249908
318,837.119,2,10.2224,13.3474,44.8539,49.6465,2.22045e-16,0.101946,0.169431,0.950335,0.258061,0.722238,0.105902,0.725731,0.249602
319,849.558,2,10.2223,13.331,44.8518,49.6379,2.22045e-16,0.102029,0.169432,0.950616,0.25806,0.721787,0.105863,0.726061,0.249742
320,844.858,2,10.2221,13.316,44.8648,49.6249,2.22045e-16,0.102094,0.16934,0.950793,0.258037,0.721032,0.106189,0.726528,0.249834
321,839.739,2,10.2215,13.2964,44.8757,49.6683,2.22045e-16,0.102068,0.169358,0.950826,0.258015,0.721049,0.106422,0.726083,0.250039
322,846.03,2,10.2205,13.2796,44.891,49.7226,2.22045e-16,0.102104,0.169378,0.950905,0.258204,0.720335,0.106526,0.726549,0.250065
323,841.801,2,10.2205,13.2763,44.8835,49.7523,2.22045e-16,0.102165,0.169362,0.950791,0.258363,0.719912,0.10664,0.725992,0.250207
324,845.101,2,10.2188,13.2657,44.8883,49.7488,2.22045e-16,0.102188,0.16939,0.950523,0.258712,0.719449,0.106812,0.725679,0.25028
325,837.654,2,10.2182,13.249,44.89,49.7976,2.22045e-16,0.102212,0.169408,0.950396,0.258936,0.720029,0.106739,0.725106,0.250261
326,849.969,2,10.2171,13.2517,44.8808,49.8518,2.22045e-16,0.102258,0.169483,0.950326,0.259196,0.721091,0.106591,0.724601,0.250408
327,842.512,2,10.2151,13.2474,44.8724,49.8383,2.22045e-16,0.102274,0.169497,0.949965,0.259368,0.721849,0.106622,0.724654,0.25049
328,840.39,2,10.2134,13.2404,44.874,49.8182,2.22045e-16,0.102252,0.169491,0.949672,0.259609,0.723137,0.10675,0.72485,0.250536
329,837.716,2,10.2114,13.222,44.877,49.8216,2.22045e-16,0.102172,0.169558,0.949714,0.260021,0.723772,0.106575,0.724852,0.250674
330,831.963,2,10.2102,13.2141,44.8845,49.9242,2.22045e-16,0.102121,0.169505,0.949855,0.260454,0.724323,0.106566,0.72512,0.250681
331,836.206,2,10.2097,13.2123,44.8849,49.9449,2.22045e-16,0.102093,0.169503,0.949898,0.260639,0.725157,0.106537,0.724956,0.250693
332,836.696,2,10.2091,13.2019,44.8984,49.9572,2.22045e-16,0.102044,0.169513,0.950011,0.260772,0.725894,0.106582,0.724901,0.250714
333,838.191,2,10.2095,13.1884,44.9011,49.9407,2.22045e-16,0.102044,0.169518,0.950242,0.260855,0.726399,0.106571,0.724188,0.250679
334,827.798,2,10.2097,13.1849,44.899,49.9747,2.22045e-16,0.102015,0.169484,0.950266,0.260906,0.726833,0.106488,0.723891,0.250688
335,836.844,2,10.2085,13.1808,44.898,49.9795,2.22045e-16,0.102022,0.169487,0.950111,0.260964,0.726819,0.10653,0.724058,0.250514
336,833.529,2,10.2079,13.1778,44.8978,49.9785,2.22045e-16,0.102036,0.169467,0.950084,0.260867,0.726863,0.106504,0.723586,0.250234
337,834.688,2,10.2071,13.1654,44.8985,49.9859,2.22045e-16,0.102047,0.169448,0.949945,0.260775,0.72681,0.106498,0.723201,0.250184
338,830.416,2,10.2073,13.1578,44.9082,50.0172,2.22045e-16,0.102062,0.169421,0.949856,0.260688,0.726769,0.106432,0.722875,0.250136
339,836.201,2,10.2084,13.1603,44.9138,50.0048,2.22045e-16,0.102114,0.169408,0.949762,0.260624,0.727185,0.106287,0.722455,0.250214
340,835.772,2,10.2085,13.1549,44.9162,49.987,2.22045e-16,0.102101,0.169452,0.949642,0.260613,0.727172,0.106272,0.72216,0.250382
341,833.971,2,10.2083,13.1561,44.9039,49.9946,2.22045e-16,0.102091,0.169457,0.949515,0.260515,0.727816,0.106149,0.722082,0.250529
342,842.114,2,10.2083,13.1557,44.9022,49.9666,2.22045e-16,0.102085,0.169488,0.94957,0.260597,0.727736,0.106164,0.722462,0.250506
343,835.211,2,10.2076,13.1491,44.8985,49.9633,2.22045e-16,0.102052,0.169487,0.949383,0.260544,0.727987,0.106256,0.72257,0.250671
344,835.984,2,10.208,13.1525,44.897,49.9725,2.22045e-16,0.102067,0.169479,0.949373,0.26057,0.727378,0.106232,0.723102,0.25061
345,835.118,2,10.2081,13.1569,44.8903,49.9793,2.22045e-16,0.102036,0.16953,0.949289,0.260548,0.726919,0.106342,0.723555,0.250422
346,831.074,2,10.2081,13.1579,44.8945,49.9523,2.22045e-16,0.102025,0.169522,0.949213,0.260623,0.726884,0.106262,0.723015,0.250399
347,834.888,2,10.2086,13.1571,44.8973,49.918,2.22045e-16,0.102045,0.169491,0.949244,0.26062,0.727004,0.106217,0.722072,0.250594
348,834.457,2,10.208,13.1497,44.8975,49.9411,2.22045e-16,0.102025,0.169511,0.949162,0.260678,0.72837,0.106127,0.720896,0.250599
349,841.589,2,10.2087,13.1417,44.893,49.8812,2.22045e-16,0.102018,0.169518,0.949221,0.260716,0.729377,0.106328,0.720664,0.250496
350,850.487,2,10.209,13.1356,44.8948,49.8055,2.22045e-16,0.10204,0.169537,0.949125,0.260743,0.72986,0.10652,0.72107,0.250474
351,837.081,2,10.2087,13.1307,44.8918,49.7503,2.22045e-16,0.102044,0.169566,0.949027,0.26066,0.729798,0.106433,0.720788,0.250435
352,841.992,2,10.2086,13.1242,44.8841,49.7043,2.22045e-16,0.102036,0.169631,0.949,0.260522,0.729974,0.106357,0.720593,0.25052
353,846.254,2,10.2084,13.1224,44.8756,49.6483,2.22045e-16,0.102057,0.169659,0.948985,0.260463,0.731162,0.106252,0.720406,0.250439
354,842.425,2,10.2092,13.1148,44.8755,49.6443,2.22045e-16,0.102051,0.169705,0.949081,0.260554,0.732213,0.106157,0.719994,0.250481
355,838.359,2,10.2099,13.1093,44.8763,49.6575,2.22045e-16,0.10204,0.169697,0.949347,0.260567,0.731925,0.10615,0.719988,0.250564
356,849.508,2,10.211,13.1002,44.8752,49.7192,2.22045e-16,0.102039,0.169754,0.949692,0.260655,0.732017,0.106204,0.71993,0.250574
357,841.855,2,10.2118,13.0994,44.8829,49.7557,2.22045e-16,0.102067,0.169745,0.949791,0.260714,0.732292,0.106216,0.72005,0.250465
358,842.721,2,10.2114,13.1047,44.881,49.7417,2.22045e-16,0.102075,0.169767,0.949768,0.260692,0.732327,0.106302,0.719964,0.250329
359,844.817,2,10.2114,13.1053,44.8859,49.7555,2.22045e-16,0.10208,0.169823,0.949722,0.260823,0.732341,0.10643,0.719631,0.250317
360,851.999,2,10.2118,13.1022,44.891,49.7487,2.22045e-16,0.102112,0.169821,0.9498,0.260857,0.732103,0.106753,0.719594,0.250284
361,830.488,2,10.2123,13.1098,44.8832,49.7036,2.22045e-16,0.102119,0.169806,0.94974,0.260851,0.731424,0.10679,0.719206,0.250227
362,828.187,2,10.2127,13.1136,44.8833,49.6836,2.22045e-16,0.102118,0.169772,0.94973,0.260812,0.731214,0.106861,0.718694,0.250048
363,835.703,2,10.2137,13.1063,44.8844,49.6544,2.22045e-16,0.102141,0.169791,0.949839,0.260673,0.730733,0.10679,0.718312,0.249932
