iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
35,925.564,1,8.47276,11.1449,47.3736,121.425,2.22045e-16,0.102917,0.174282,0.94624,0.627181,0.693778,0.627181,1.1707,0.627181
36,927.734,1,8.36955,10.649,46.9001,124.733,2.22045e-16,0.104705,0.169869,0.945076,0.6113,0.688081,0.6113,1.20832,0.6113
37,929.601,1,8.39218,10.9578,47.3628,117.957,2.22045e-16,0.10436,0.174395,0.939442,0.595821,0.673942,0.595821,1.21402,0.595821
38,924.086,1,8.57216,10.8278,47.7183,104.771,2.22045e-16,0.107246,0.168396,0.94804,0.580735,0.665197,0.580735,1.23623,0.580735
39,926.93,1,8.68206,10.8666,47.2056,109.212,2.22045e-16,0.105737,0.177869,0.943036,0.56603,0.648354,0.56603,1.20493,0.56603
40,924.291,1,8.64597,10.6772,47.6268,115.607,2.22045e-16,0.107914,0.172287,0.945047,0.551698,0.654066,0.551698,1.17874,0.551698
41,922.464,1,8.66076,11.0812,48.299,106.159,2.22045e-16,0.103813,0.178239,0.944089,0.537729,0.651529,0.537729,1.28624,0.537729
42,915.525,1,8.71365,10.8773,46.8012,111.828,2.22045e-16,0.101806,0.17716,0.95061,0.524113,0.652954,0.524113,1.25367,0.524113
43,912.019,1,8.79608,10.8032,47.672,116.015,2.22045e-16,0.106763,0.171341,0.944376,0.510842,0.636421,0.510842,1.22193,0.510842
44,905.489,1,8.71627,10.8569,47.6073,116.673,2.22045e-16,0.107366,0.165042,0.948723,0.497908,0.620306,0.497908,1.19467,0.497908
45,899.527,1,8.81167,10.5399,48.4192,107.031,2.22045e-16,0.109188,0.158186,0.950837,0.4853,0.62313,0.4853,1.23262,0.4853
46,888.708,1,8.7588,10.3995,47.3782,109.099,2.10942e-16,0.103729,0.159134,0.939905,0.473012,0.618864,0.473012,1.20252,0.473012
47,886.218,1,8.78875,11.0328,48.2038,109.785,2.22045e-16,0.106775,0.153047,0.934598,0.461035,0.603194,0.461035,1.18919,0.461035
48,886.317,1,8.87608,10.7948,48.0481,112.806,2.22045e-16,0.106477,0.156653,0.936616,0.449362,0.589271,0.449362,1.18872,0.449362
49,892.427,1,8.97577,10.5867,47.3633,107.061,2.22045e-16,0.106011,0.166272,0.938983,0.437984,0.57435,0.437984,1.1605,0.437984
50,880.891,1,9.01602,10.5174,48.379,102.125,2.22045e-16,0.103745,0.162525,0.937699,0.426894,0.559808,0.426894,1.24282,0.426894
51,880.496,1,9.13583,10.4251,49.277,108.735,2.22045e-16,0.10514,0.163075,0.955109,0.416084,0.545633,0.416084,1.21135,0.416084
52,882.369,1,9.14853,11.1143,48.8781,103.942,2.22045e-16,0.102766,0.163796,0.950347,0.405549,0.609161,0.405549,1.18068,0.405549
53,886.485,1,9.23583,11.1076,48.0948,96.6412,2.22045e-16,0.103437,0.166391,0.964225,0.39528,0.593736,0.39528,1.22969,0.39528
54,882.605,1,9.26392,10.1024,47.7737,97.564,2.22045e-16,0.100128,0.174973,0.952124,0.385271,0.578703,0.385271,1.22252,0.385271
55,875.492,1,9.3155,11.0106,48.2729,90.0041,2.22045e-16,0.0998702,0.173143,0.942464,0.375516,0.564049,0.375516,1.28456,0.375516
56,880.525,1,9.20362,10.5954,47.6736,96.1332,2.22045e-16,0.10187,0.173419,0.947641,0.366008,0.549767,0.366008,1.25204,0.366008
57,871.445,1,9.30744,10.2508,47.1195,87.5437,2.22045e-16,0.0972934,0.169241,0.945034,0.35674,0.597166,0.35674,1.25828,0.35674
58,865.98,1,9.40087,10.4549,47.7957,87.1079,2.22045e-16,0.0978247,0.167871,0.944183,0.347707,0.583426,0.347707,1.22642,0.347707
59,866.037,1,9.35763,10.2887,47.6204,87.8357,2.22045e-16,0.097148,0.168029,0.946196,0.338903,0.581992,0.338903,1.19536,0.338903
60,868.287,1,9.32418,10.5993,47.0386,86.5913,2.22045e-16,0.09876,0.170052,0.92867,0.330322,0.59154,0.330322,1.1651,0.330322
61,876.238,1,9.435,10.5163,46.3534,83.7769,2.22045e-16,0.100438,0.175612,0.947122,0.321958,0.576562,0.321958,1.20687,0.321958
62,878.271,1,9.5463,10.3356,48.1335,73.9709,2.22045e-16,0.101584,0.174647,0.958619,0.313806,0.62559,0.313806,1.18443,0.313806
63,881.414,1,9.45412,10.0052,47.4693,84.4864,2.22045e-16,0.101275,0.17762,0.952692,0.30586,0.609749,0.30586,1.15444,0.30586
64,889.291,1,9.45623,9.83942,46.9151,76.7744,2.22045e-16,0.104457,0.175408,0.953487,0.298116,0.617588,0.298116,1.23721,0.298116
65,873.293,1,9.48502,10.3414,48.0466,77.7843,2.22045e-16,0.104958,0.166638,0.947117,0.290567,0.60195,0.290567,1.20588,0.290567
66,868.544,1,9.6241,10.6946,48.4125,76.3575,2.22045e-16,0.103302,0.165054,0.957586,0.28321,0.586708,0.28321,1.17718,0.28321
67,859.88,1,9.72498,11.254,46.8236,76.3695,2.22045e-16,0.101328,0.166333,0.950006,0.276039,0.571853,0.276039,1.15145,0.276039
68,860.776,1,9.74777,11.0075,46.1433,71.0737,2.22045e-16,0.100058,0.172139,0.957447,0.270522,0.557373,0.269049,1.18207,0.269049
69,864.169,1,9.62527,10.4017,46.3122,73.3233,2.22045e-16,0.0995319,0.172844,0.958541,0.283257,0.54326,0.262237,1.15214,0.262237
70,855.115,1,9.80379,10.5224,46.8133,70.7755,2.22045e-16,0.0998238,0.168641,0.954575,0.276084,0.529898,0.255597,1.12297,0.255597
71,858.203,1,9.79419,10.5486,46.2899,68.8665,2.22045e-16,0.0952232,0.177794,0.941399,0.269094,0.516481,0.249125,1.10373,0.261591
72,856.319,1,9.81689,10.7733,46.0023,74.8928,2.22045e-16,0.0952431,0.177356,0.942498,0.26228,0.534713,0.242817,1.13643,0.260501
73,859.71,1,9.75031,10.5232,46.9542,77.8279,2.22045e-16,0.0966303,0.181548,0.925448,0.261331,0.521174,0.236669,1.13299,0.266546
74,850.099,1,9.79732,10.0667,47.9387,80.9546,2.22045e-16,0.0946448,0.180994,0.937873,0.256594,0.507977,0.230676,1.1043,0.270895
75,852.411,1,9.78292,9.99916,47.7273,82.3689,2.22045e-16,0.0991884,0.172459,0.938941,0.271326,0.495115,0.224835,1.07634,0.266379
76,855.751,1,9.77586,10.1927,47.4595,83.6314,2.22045e-16,0.101291,0.173067,0.943974,0.264456,0.482579,0.219142,1.08026,0.259634
77,849.153,1,9.80977,10.3377,47.5824,82.8297,2.22045e-16,0.100524,0.166524,0.957256,0.257759,0.488122,0.213594,1.05291,0.269534
78,843.08,1,9.75773,10.6619,47.834,80.4449,2.22045e-16,0.100688,0.165048,0.943507,0.264517,0.475762,0.208185,1.02625,0.26271
79,861.139,1,9.80011,10.1279,48.9695,78.6268,2.22045e-16,0.103862,0.171494,0.964971,0.257819,0.497749,0.202914,1.05368,0.261975
80,860.361,1,9.93454,10.5674,49.3156,78.7929,2.22045e-16,0.107586,0.168702,0.976449,0.251291,0.522457,0.197776,1.027,0.255342
81,858.269,1,9.85463,10.1267,49.2313,75.1121,2.22045e-16,0.104344,0.16971,0.963861,0.25253,0.509228,0.192768,1.15802,0.261958
82,863.209,1,9.82232,10.439,48.9418,75.2021,2.22045e-16,0.1085,0.164692,0.959877,0.247638,0.497285,0.19309,1.2137,0.255325
83,857.255,1,9.8894,9.7531,49.5659,68.28,2.22045e-16,0.108738,0.163673,0.947292,0.243112,0.494483,0.188201,1.18297,0.25258
84,859.266,1,9.91458,9.6971,49.1526,64.6357,2.22045e-16,0.110293,0.162864,0.948678,0.247888,0.481962,0.187743,1.15302,0.249486
85,856.853,1,9.87801,9.44218,49.3994,58.9006,2.22045e-16,0.108432,0.168745,0.943476,0.241611,0.469758,0.182989,1.12528,0.249093
86,855,1,9.90005,9.15731,48.8561,53.2226,2.22045e-16,0.106946,0.166179,0.948462,0.243257,0.471255,0.178356,1.23203,0.242785
87,849.581,1,9.85666,9.67976,49.403,55.0955,2.22045e-16,0.10439,0.162758,0.945398,0.258836,0.459323,0.193045,1.20084,0.248734
88,862.809,1,9.83147,10.217,49.0487,56.8021,2.22045e-16,0.10592,0.166761,0.960702,0.272293,0.470424,0.194618,1.17043,0.250617
89,854.849,1,9.8167,10.6948,48.1089,64.3316,2.22045e-16,0.100787,0.170844,0.96,0.269098,0.504981,0.18969,1.1408,0.251501
90,859.364,1,9.81269,10.269,47.6543,60.4057,2.22045e-16,0.102553,0.174753,0.937383,0.271782,0.492194,0.186183,1.14944,0.247471
91,863.876,1,9.82086,10.9997,48.1988,61.6566,2.22045e-16,0.108111,0.170681,0.951485,0.2649,0.479732,0.185074,1.22213,0.243598
92,862.971,1,9.87501,11.6545,47.2937,58.8112,2.22045e-16,0.105243,0.176933,0.948835,0.258193,0.467585,0.183608,1.23446,0.245175
93,862.681,1,9.77622,12.0703,47.4709,65.3635,2.22045e-16,0.107753,0.168659,0.966072,0.270499,0.455745,0.178959,1.26917,0.238967
94,857.322,1,9.98124,11.3964,47.4224,56.6091,2.22045e-16,0.105113,0.171875,0.964434,0.263649,0.444205,0.185054,1.27256,0.232916
95,840.74,1,10.0066,11.6698,47.712,59.4682,2.22045e-16,0.100737,0.167161,0.947578,0.256974,0.432958,0.180368,1.24034,0.256011
96,849.181,1,9.92411,11.4927,47.3803,55.3175,2.22045e-16,0.101501,0.17111,0.946025,0.25478,0.421995,0.194216,1.21992,0.249529
97,847.145,1,10.0082,12.0205,47.7492,48.3531,2.22045e-16,0.100907,0.172273,0.936726,0.260382,0.41131,0.189298,1.18903,0.262689
98,841.89,1,9.92082,11.1045,46.9415,52.751,2.22045e-16,0.0992958,0.172557,0.933383,0.257995,0.400895,0.184505,1.15892,0.272321
99,848.799,1,9.90997,11.8293,46.9992,52.4526,2.22045e-16,0.105759,0.167874,0.93521,0.257751,0.390744,0.179833,1.12958,0.265425
100,845.196,1,9.90791,12.2024,46.3785,51.3201,2.22045e-16,0.104621,0.170326,0.923455,0.26598,0.380851,0.17528,1.11856,0.258705
101,842.729,1,9.99182,11.9311,46.3171,49.3195,2.22045e-16,0.102402,0.171909,0.935204,0.265583,0.371207,0.170842,1.11767,0.256995
102,844.269,1,10.0746,11.5785,47.163,49.9109,2.22045e-16,0.103585,0.170288,0.947201,0.268697,0.37939,0.166516,1.08937,0.266337
103,834.279,1,10.0698,11.8778,46.8934,50.0666,2.22045e-16,0.100421,0.168907,0.946833,0.264154,0.369784,0.1623,1.06179,0.259593
104,837.739,1,10.0811,12.4043,47.303,46.2784,2.22045e-16,0.100092,0.172187,0.950383,0.264653,0.360421,0.15819,1.13477,0.261435
105,835.948,1,10.1063,12.313,46.7652,52.6267,2.22045e-16,0.10074,0.166279,0.956542,0.2744,0.351295,0.160088,1.19349,0.267755
106,836.671,1,9.96263,11.5979,47.0674,52.9072,2.22045e-16,0.101652,0.162184,0.963719,0.273292,0.353019,0.158113,1.16327,0.262624
107,834.912,1,9.9153,11.515,47.8465,55.7875,2.22045e-16,0.105149,0.157609,0.956614,0.281443,0.344081,0.156277,1.20571,0.2568
108,832.015,1,9.91222,11.3473,47.4214,51.0679,2.22045e-16,0.101873,0.162182,0.940167,0.282432,0.335368,0.15232,1.20823,0.262494
109,837.448,1,10.0482,11.9163,48.1464,50.2454,2.22045e-16,0.104485,0.16264,0.947999,0.276522,0.33504,0.158698,1.18851,0.260767
110,848.113,1,10.1108,11.7243,47.8715,46.1088,2.22045e-16,0.108623,0.164875,0.951849,0.26952,0.326557,0.173956,1.15842,0.257948
111,840.223,1,10.1401,12.6092,48.1392,48.6894,2.22045e-16,0.10612,0.161535,0.956244,0.262696,0.339813,0.169551,1.14226,0.251416
112,849.489,1,10.0576,12.2792,47.4967,44.4692,2.22045e-16,0.10367,0.165525,0.951967,0.26613,0.354302,0.194387,1.11601,0.265784
113,837.788,1,10.2117,12.2526,47.0833,48.3466,2.22045e-16,0.101035,0.167775,0.962554,0.265021,0.354475,0.189465,1.08775,0.259055
