rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q_simulated,standEta_V2_simulated,filter
1,1,-2.47164,0.820189,0.992697,0.385424,0
2,1,-2.13334,-1.07966,1.15578,-0.236722,0
3,1,-2.51054,-1.12142,0.120543,-0.203909,0
4,1,-2.60416,-0.437772,-1.30263,0.287222,0
5,1,-2.77871,-0.928326,-0.810998,0.63551,0
6,1,-2.22022,-0.223644,-0.982749,0.130791,0
7,1,-2.70787,-0.476815,-1.2352,0.404432,0
8,1,-2.19508,0.0771972,-0.00722546,-0.0763076,0
9,1,-2.48758,-0.302372,1.1097,0.168593,0
10,1,-2.35998,-0.689616,0.27103,0.0731066,0
1,2,0.991768,-0.0497975,2.11218,-0.220149,0
2,2,0.909061,0.42685,0.263798,0.463525,0
3,2,0.77584,-0.0173279,0.133586,1.43343,0
4,2,1.05984,-0.274458,-1.37854,-0.0738302,0
5,2,1.00919,-0.214857,0.309147,-0.0235836,0
6,2,0.89159,0.277989,0.631825,-0.686859,0
7,2,0.836074,-0.164153,0.464035,0.143251,0
8,2,1.03708,0.862627,1.75671,-0.101795,0
9,2,1.02492,0.320326,-1.77088,0.686653,0
10,2,-0.400122,-0.28545,0.172289,2.41846,0
1,3,0.619872,0.861806,1.80989,0.836736,0
2,3,0.691417,1.55347,-0.342429,1.35237,0
3,3,0.891246,0.692543,-1.77006,0.210278,0
4,3,0.779244,0.0984617,-0.12667,0.815425,0
5,3,0.753333,-0.10568,-0.639838,1.20209,0
6,3,0.29001,0.302744,0.194403,1.63315,0
7,3,0.599163,0.0899556,-1.11657,0.816344,0
8,3,0.776714,0.981826,1.37659,0.587363,0
9,3,0.799432,0.482563,-0.292793,1.15093,0
10,3,0.516421,0.0980548,0.535273,1.3396,0
1,4,0.0713151,-1.29176,0.0364823,-0.233662,0
2,4,-0.417741,-0.841646,-1.00671,0.902564,0
3,4,0.0556251,-0.93417,0.0721725,0.511133,0
4,4,-0.010343,-1.32055,0.109456,-0.591151,0
5,4,0.207146,-0.843494,1.31097,-1.05481,0
6,4,-0.126759,-1.13368,0.0864272,-1.03581,0
7,4,-0.299881,-2.03633,-0.462384,-0.772485,0
8,4,-0.0858272,-1.84004,-1.11828,-0.256247,0
9,4,-0.105815,-1.96682,1.76472,-0.906913,0
10,4,0.143349,-0.391996,-0.754413,0.0966829,0
1,5,-0.596002,-0.0724209,0.0749148,0.336288,0
2,5,-0.427495,0.658335,-0.0954334,0.506707,0
3,5,-0.31427,0.111687,0.685279,0.768519,0
4,5,-1.67218,1.12871,1.93607,2.06922,0
5,5,-0.398429,-0.0955852,0.376839,0.718744,0
6,5,-0.300609,0.486279,-0.922572,-0.417269,0
7,5,-0.606702,0.785901,-1.109,0.989381,0
8,5,-0.629507,-0.0137745,0.0660891,0.11538,0
9,5,-0.209867,-0.0252181,-0.994247,-0.21273,0
10,5,-0.593313,0.501275,-0.171541,-0.021842,0
1,6,0.352156,1.90189,0.767576,0.849848,0
2,6,0.672041,3.20961,0.50996,0.102204,0
3,6,0.201027,2.0222,0.238762,1.30038,0
4,6,-0.105065,2.0294,-0.533185,1.5942,0
5,6,0.509758,2.29797,0.161174,0.628723,0
6,6,0.196863,1.57967,-1.05235,0.0764825,0
7,6,0.47175,2.23968,-1.433,0.462117,0
8,6,-0.111835,2.90873,1.44461,1.976,0
9,6,0.256656,2.32789,0.332631,-0.481658,0
10,6,0.65835,2.01501,0.414596,0.41243,0
1,7,0.810564,0.392303,0.219037,-1.94368,0
2,7,0.567133,-0.0796653,-0.633265,-3.06667,0
3,7,0.741559,0.412945,-1.47609,-2.95065,0
4,7,0.524202,-1.17354,-1.4111,-1.65309,0
5,7,0.910735,-0.0347758,0.806144,-1.7759,0
6,7,0.846313,-0.471898,-0.632787,-1.76176,0
7,7,0.514752,-0.752468,-0.508783,-1.57121,0
8,7,1.00051,0.796986,0.0453185,-2.21525,0
