iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
1,813.884,1,5.2,0.62,21.22,4.99,28.28,1.5,1.5,1,0.62,0.3
2,807.601,1,5.27108,0.0503503,25.4763,6.12998,25.6288,1.46202,1.46202,0.974679,0.62,0.285
3,789.899,1,5.51831,0.444062,20.9904,7.33729,25.2283,1.425,1.425,1.02189,0.62,0.27075
4,787.712,1,5.09132,-0.0445791,20.4756,8.02577,30.4316,1.38892,1.38892,0.996013,0.62,0.257212
5,765.76,1,5.6615,0.397372,20.3834,8.33708,30.3365,1.35375,1.35375,0.970794,0.62,0.244352
6,761.943,1,5.89767,0.712077,21.3068,9.1717,29.6729,1.31947,1.31947,1.08414,0.62,0.232134
7,757.614,1,5.43996,0.477388,18.5924,10.7888,31.1566,1.28606,1.28606,1.05668,0.62,0.220528
8,740.474,1,5.47251,0.225798,17.605,9.75611,34.3696,1.2535,1.2535,1.02993,0.62,0.209501
9,739.651,1,5.50202,0.380821,18.7151,10.7781,31.1474,1.22176,1.22176,1.02754,0.62,0.199026
10,723.813,1,5.52579,0.730834,15.376,11.5781,32.5588,1.19082,1.19082,1.00152,0.62,0.189075
11,698.667,1,5.59543,0.802837,13.2322,13.3459,27.8276,1.16067,1.16067,0.976161,0.62,0.179621
12,682.653,1,5.51512,0.648827,12.6768,13.9826,25.9579,1.13128,1.13128,0.951444,0.62,0.17064
13,682.604,1,5.37953,0.295378,12.7796,15.9043,24.4978,1.10264,1.10264,0.927353,0.62,0.162108
14,675.879,1,5.21313,0.403753,11.4234,15.4543,24.6892,1.07472,1.07472,0.903872,0.62,0.154003
15,662.923,1,5.31997,0.498308,12.5831,13.7514,22.5289,1.04751,1.04751,0.880985,0.62,0.146302
16,656.964,1,5.39148,0.634723,13.9057,15.9494,21.9481,1.02098,1.02098,0.890676,0.62,0.138987
17,630.889,1,5.20862,0.559169,11.6738,15.0954,21.1936,0.995131,0.995131,0.868124,0.62,0.132038
18,624.49,1,5.28548,0.768888,10.9839,15.3869,22.4189,0.969933,0.969933,0.846142,0.62,0.125436
19,617.273,1,5.27223,1.03594,10.8081,13.7509,21.438,0.945374,0.945374,0.824717,0.62,0.119164
20,609.225,1,5.19576,1.01415,10.2288,12.4032,20.9691,0.921437,0.921437,0.803835,0.62,0.113206
21,591.661,1,5.28988,1.04225,10.6954,13.4717,20.6251,0.898105,0.898105,0.783481,0.62,0.107546
22,578.895,1,5.48062,1.15174,12.086,14.3221,20.6573,0.875365,0.875365,0.763643,0.62,0.102168
23,569.606,1,5.29975,1.10034,12.9031,14.6603,20.1893,0.8532,0.8532,0.744307,0.62,0.0970601
24,553.652,1,5.28988,0.919234,11.9766,13.0252,20.8833,0.831597,0.831597,0.725461,0.62,0.0922071
25,551.233,1,5.42174,0.92733,12.5977,13.1196,21.9111,0.81054,0.81054,0.707092,0.62,0.0875967
26,543.405,1,5.333,0.768325,11.9378,11.4962,21.7571,0.790017,0.790017,0.689188,0.62,0.0832169
27,535.448,1,5.35476,0.871053,12.3892,12.5647,21.5106,0.770013,0.770013,0.677994,0.62,0.079056
