parameter,value
Cl_pop,10.5896318529504
beta_Cl_logtCLCRMLMIN,0.644468392209079
beta_Cl_logtWTKG,0.770926623192336
V1_pop,42.8237930134999
beta_V1_logtHCM,1.36332227056746
beta_V1_logtPROGDL,-0.737211988478366
Q_pop,21.0067714018421
beta_Q_ANTU_2,-0.809279120808206
beta_Q_logtAGEA,1.21092233993402
beta_Q_logtSCRMGDL,-0.559680125655746
V2_pop,50.7605325751612
omega_Cl,0.177742238582637
omega_V1,0.217885697389089
omega_Q,0.0172707182419117
omega_V2,0.190393181945871
corr_V2_V1,0.999
a1,0.306317504622666
a2,0.0613392042719995
