standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.71534,0.159472,-2.22479,0.121559,-2.54796,0.0404809,-1.59188,0.208176,All
-2.37568,0.0683452,-1.84285,0.162079,-2.16565,0.141683,-1.22018,0.270629,All
-2.03601,0,-1.4609,0.222858,-1.78334,0.182164,-0.848466,0.208176,All
-1.69635,0.113909,-1.07896,0.222858,-1.40103,0.0607213,-0.476757,0.43717,All
-1.35669,0.113909,-0.697019,0.101299,-1.01873,0.182164,-0.105048,0.457987,All
-1.01703,0,-0.315076,0.202598,-0.636418,0.182164,0.266661,0.395535,All
-0.677365,0.113909,0.0668672,0.425456,-0.254109,0.46553,0.63837,0.228994,All
-0.337702,0.387289,0.44881,0.709094,0.1282,0.384568,1.01008,0.270629,All
0.00196001,0.52398,0.830753,0.384937,0.510508,0.506011,1.38179,0.249811,All
0.341622,0.66067,1.2127,0.121559,0.892817,0.425049,1.7535,0.166541,All
0.681285,0.569543,1.59464,0.0607795,1.27513,0.182164,2.12521,0,All
1.02095,0.478416,1.97658,0.101299,1.65743,0.0809618,2.49692,0.0208176,All
