iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
1,1463.53,1,5.16,21.01,5.51,25.66,1,1,1,1,0.998761,1,1
2,1448.93,1,5.17984,24.7705,7.97761,30.521,0.974679,0.974679,1.03188,0.974679,0.998761,0.974679,0.974679
3,1444.71,1,5.06462,26.328,8.01255,32.6792,0.95,0.95,1.05753,0.95,0.998761,0.95,0.95
4,1428.82,1,4.83119,26.6031,10.7079,32.9566,0.925945,0.925945,1.03075,0.925945,0.998761,0.925945,0.925945
5,1420.19,1,4.81915,29.7518,8.67778,36.7313,0.9025,0.9025,1.00465,0.9025,0.998761,0.9025,0.9025
6,1409.99,1,5.03795,28.1023,8.29723,34.7279,0.879648,0.879648,0.992641,0.879648,0.998761,0.879648,0.879648
7,1388.75,1,5.30675,27.3776,9.13711,33.8498,0.857375,0.857375,0.967507,0.857375,0.998761,0.857375,0.857375
8,1366.22,1,5.14827,26.6395,9.24149,32.6719,0.835666,0.835666,0.943009,0.835666,0.998761,0.835666,0.835666
9,1368.13,1,5.14208,29.9114,7.74537,36.5348,0.814506,0.814506,0.919131,0.814506,0.998761,0.814506,0.814506
10,1351.12,1,5.14251,30.1111,7.73348,37.133,0.793882,0.793882,0.895859,0.793882,0.998761,0.793882,0.793882
11,1340.6,1,5.24262,33.1195,7.2245,40.6594,0.773781,0.773781,0.873175,0.773781,0.998761,0.773781,0.773781
12,1329.46,1,5.08915,29.5315,6.96528,36.1728,0.754188,0.754188,0.898411,0.754188,0.998761,0.754188,0.754188
13,1334.1,1,5.1512,31.2273,7.25462,38.0884,0.735092,0.735092,0.90804,0.735092,0.998761,0.735092,0.735092
14,1318.62,1,5.20008,31.1897,6.8668,37.9967,0.716479,0.716479,0.943268,0.716479,0.998761,0.716479,0.716479
15,1301.67,1,5.38336,30.3703,7.77687,36.9895,0.698337,0.698337,0.919384,0.698337,0.998761,0.698337,0.698337
16,1287.61,1,5.2656,28.8814,8.6436,35.2146,0.680655,0.680655,0.896105,0.680655,0.998761,0.680655,0.680655
17,1278.79,1,5.21851,30.7719,8.38554,37.6358,0.66342,0.66342,0.92985,0.66342,0.998761,0.66342,0.66342
18,1267.82,1,5.3144,30.4405,8.62505,37.3781,0.646622,0.646622,0.906305,0.646622,0.998761,0.646622,0.646622
19,1261.34,1,5.46127,27.7711,8.8427,33.9209,0.630249,0.630249,0.943056,0.630249,0.998761,0.630249,0.630249
20,1245.35,1,5.26787,26.988,8.4035,32.9087,0.614291,0.614291,0.919177,0.614291,0.998761,0.614291,0.614291
21,1226.85,1,5.40854,25.4741,9.01622,31.266,0.598737,0.598737,0.895903,0.598737,0.998761,0.598737,0.598737
22,1222.61,1,5.5571,24.5582,7.91583,30.3451,0.583577,0.583577,0.873218,0.583577,0.998761,0.583577,0.583577
23,1202.02,1,5.46039,27.1154,7.04774,33.7651,0.5688,0.5688,0.851108,0.5688,0.998761,0.5688,0.5688
24,1186.93,1,5.32667,28.8968,6.41703,35.7954,0.554398,0.554398,0.829557,0.554398,0.998761,0.554398,0.554398
25,1184.11,1,5.47619,27.4544,7.11171,33.9249,0.54036,0.54036,0.808553,0.54036,0.998761,0.54036,0.54036
26,1170.31,1,5.37882,27.9287,7.04745,34.5738,0.526678,0.526678,0.78808,0.526678,0.998761,0.526678,0.526678
27,1159.66,1,5.37595,26.7196,8.10531,33.093,0.513342,0.513342,0.768125,0.513342,0.998761,0.513342,0.513342
28,1147.21,1,5.58923,26.1729,9.67408,32.1635,0.500344,0.500344,0.748676,0.500344,0.998761,0.500344,0.500344
29,1134.01,1,5.62523,24.9809,9.02887,30.504,0.487675,0.487675,0.760607,0.487675,0.998761,0.487675,0.487675
30,1119.18,1,5.59756,25.853,8.48509,31.4548,0.475327,0.475327,0.741348,0.475327,0.998761,0.475327,0.475327
31,1116.52,1,5.41895,26.4874,8.03491,32.1945,0.463291,0.463291,0.722576,0.463291,0.998761,0.463291,0.463291
32,1106.78,1,5.42868,25.3654,8.92405,30.8338,0.45156,0.45156,0.70428,0.45156,0.998761,0.45156,0.45156
33,1096.67,1,5.38246,25.5573,7.80309,31.0964,0.440127,0.440127,0.686971,0.440127,0.998761,0.440127,0.440127
34,1087.85,1,5.33295,27.1906,7.29834,33.1199,0.428982,0.428982,0.733105,0.428982,0.998761,0.428982,0.428982
35,1083.6,1,5.55023,26.8743,7.80038,32.7011,0.41812,0.41812,0.795951,0.41812,0.998761,0.41812,0.41812
36,1071.99,1,5.58032,26.6106,8.75285,32.2852,0.407533,0.407533,0.789506,0.407533,0.998761,0.407533,0.407533
37,1065.78,1,5.55392,25.8351,8.56069,31.2179,0.397214,0.397214,0.797615,0.397214,0.998761,0.397214,0.397214
38,1041.7,1,5.47841,23.8115,9.14294,28.7372,0.387157,0.387157,0.777419,0.387157,0.998761,0.387157,0.387157
39,1030.31,1,5.52562,22.8085,10.6031,27.5895,0.377354,0.377354,0.757735,0.377354,0.998761,0.377354,0.377354
40,1032.75,1,5.58955,23.2064,11.1657,28.0958,0.367799,0.367799,0.738548,0.367799,0.998761,0.367799,0.367799
41,1024.12,1,5.65971,23.1322,12.2476,27.9227,0.358486,0.358486,0.719848,0.358486,0.998761,0.358486,0.358486
42,1012.22,1,5.59125,23.0125,12.0278,27.8036,0.349409,0.349409,0.701621,0.349409,0.998761,0.349409,0.349409
43,997.951,1,5.54231,22.2632,13.1713,26.9792,0.340562,0.340562,0.683856,0.340562,0.998761,0.340562,0.340562
44,983.432,1,5.57079,20.7476,15.4652,25.2209,0.331938,0.331938,0.66654,0.331938,0.998761,0.331938,0.331938
45,981.702,1,5.67541,20.5299,15.6393,24.9266,0.323534,0.323534,0.709446,0.323534,0.998761,0.323534,0.323534
46,971.842,1,5.49694,20.5238,13.5934,25.0081,0.315341,0.315341,0.691482,0.315341,0.998761,0.315341,0.315341
47,971.39,1,5.387,21.134,13.3013,25.8497,0.307357,0.307357,0.673974,0.307357,0.998761,0.307357,0.307357
48,960.061,1,5.52143,20.7851,12.3779,25.4154,0.299574,0.299574,0.674891,0.299574,0.998761,0.299574,0.299574
49,948.275,1,5.53726,21.8236,11.8463,26.6413,0.291989,0.291989,0.657802,0.291989,0.998761,0.291989,0.291989
50,943.043,1,5.583,22.8013,10.7367,27.8523,0.284596,0.284596,0.641146,0.284596,0.998761,0.284596,0.284596
51,930.152,1,5.56914,22.9234,9.39956,27.94,0.27739,0.27739,0.624912,0.27739,0.998761,0.27739,0.27739
52,917.007,1,5.52663,23.5169,9.47346,28.6778,0.270366,0.270366,0.609089,0.270366,0.998761,0.270366,0.270366
53,911.101,1,5.49439,22.4047,9.2944,27.428,0.26352,0.26352,0.593666,0.26352,0.998761,0.26352,0.26352
54,903.424,1,5.58513,22.6589,9.30501,27.7303,0.256848,0.256848,0.584417,0.256848,0.998761,0.256848,0.256848
55,896.796,1,5.61702,22.7788,9.31907,27.946,0.250344,0.250344,0.569619,0.250344,0.998761,0.250344,0.250344
56,894.838,1,5.50457,22.1542,9.038,27.1411,0.244005,0.244005,0.588337,0.244005,0.998761,0.244005,0.244005
57,888.599,1,5.44901,22.2101,8.16573,27.2932,0.237827,0.237827,0.591371,0.237827,0.998761,0.237827,0.237827
58,880.556,1,5.47246,22.0562,7.8816,27.1049,0.231805,0.231805,0.576397,0.231805,0.998761,0.231805,0.231805
59,876.827,1,5.41693,21.4424,7.93503,26.2746,0.225936,0.225936,0.561802,0.225936,0.998761,0.225936,0.225936
60,875.268,1,5.43492,21.3174,7.82866,26.088,0.225687,0.220215,0.547577,0.220215,0.998761,0.220215,0.220215
61,871.731,1,5.46236,21.5963,8.11076,26.5423,0.228709,0.214639,0.552412,0.214639,0.998761,0.214639,0.214639
62,860.229,1,5.422,22.0211,7.82215,27.0554,0.222917,0.209204,0.538425,0.209204,0.998761,0.209204,0.209204
63,857.313,1,5.41115,22.6201,7.08793,27.7293,0.226625,0.203907,0.524791,0.203907,0.998761,0.209797,0.203907
64,844.565,1,5.3833,23.4138,6.48477,28.7076,0.220887,0.198744,0.511503,0.198744,0.998761,0.204485,0.198744
65,846.825,1,5.43528,23.4364,6.73322,28.7827,0.217705,0.193711,0.50833,0.193711,0.998761,0.199308,0.193711
66,840.367,1,5.43509,23.4006,6.76627,28.83,0.224437,0.188807,0.495459,0.188807,0.998761,0.206112,0.188807
67,840.53,1,5.44917,23.3061,6.59915,28.7325,0.220957,0.184026,0.504007,0.184026,0.998761,0.211989,0.184026
68,845.125,1,5.46414,24.1012,6.42354,29.7294,0.215362,0.179366,0.527551,0.179366,0.998761,0.207124,0.179366
69,845.809,1,5.42595,23.6925,6.3519,29.2475,0.22526,0.174825,0.53418,0.174825,0.998761,0.209695,0.174825
70,836.4,1,5.40778,24.0615,6.46187,29.7118,0.234859,0.170398,0.520654,0.170398,0.998761,0.206178,0.170398
71,822.859,1,5.43171,24.2299,5.64329,29.9048,0.228912,0.166083,0.507471,0.166083,0.998761,0.207872,0.166083
72,822.547,1,5.44789,24.4135,5.55996,30.0991,0.225292,0.161878,0.494621,0.161878,0.998761,0.216099,0.161878
73,816.088,1,5.43851,24.5683,5.79206,30.2582,0.226335,0.157779,0.482097,0.157779,0.998761,0.219176,0.157779
74,815.953,1,5.41994,24.6336,5.64867,30.3265,0.225556,0.153784,0.46989,0.153784,0.998761,0.224819,0.153784
75,811.196,1,5.40508,24.4462,5.30764,30.1044,0.219845,0.14989,0.503203,0.14989,0.998761,0.233943,0.14989
76,804.671,1,5.35972,24.9166,4.96596,30.7118,0.247322,0.146095,0.500543,0.146095,0.998761,0.242913,0.146095
77,805.116,1,5.38137,25.2944,4.63886,31.1634,0.244509,0.142396,0.503966,0.142396,0.998761,0.242868,0.142396
78,805.585,1,5.37908,25.1742,4.728,31.0167,0.238318,0.13879,0.513633,0.13879,0.998496,0.247678,0.13879
79,798.737,1,5.37423,25.1726,4.85604,30.985,0.232284,0.140779,0.500628,0.141621,0.998987,0.242416,0.135276
80,795.745,1,5.35617,25.3217,4.72251,31.1708,0.234216,0.137214,0.487952,0.138035,0.998987,0.243868,0.131851
81,789.479,1,5.38929,25.7166,4.70282,31.6788,0.233341,0.13374,0.475596,0.13454,0.998644,0.249628,0.128512
82,791.137,1,5.40254,25.6723,4.49497,31.5455,0.23933,0.130354,0.463554,0.131133,0.998729,0.252809,0.125258
83,790.651,1,5.35516,25.7814,4.51963,31.673,0.245506,0.127053,0.451817,0.127813,0.998826,0.251355,0.122087
