iteration,E_Cl,sd_Cl,E_Q,sd_Q,E_V2,sd_V2
1,10.4433,0.0427913,14.4004,0.461711,56.1775,5.56497e-08
2,10.4381,0.0355019,14.4707,0.393277,56.1775,5.12486e-08
3,10.4264,0.0363167,14.525,0.387043,56.1775,4.54378e-08
4,10.4505,0.03684,14.8208,0.383514,56.1775,6.65196e-08
5,10.4472,0.0366152,14.7445,0.372237,56.1775,5.39161e-08
6,10.4476,0.0368576,14.6939,0.370463,56.1775,6.53798e-08
7,10.4351,0.0375454,14.8054,0.373384,56.1775,6.11658e-08
8,10.432,0.0372034,14.757,0.368461,56.1775,7.01527e-08
9,10.4437,0.0377942,14.7235,0.37024,56.1775,6.6433e-08
10,10.454,0.0378133,14.6739,0.37412,56.1775,6.56697e-08
11,10.4624,0.0380295,14.7009,0.373949,56.1775,7.12579e-08
12,10.4715,0.0376755,14.7911,0.367144,56.1775,6.17851e-08
13,10.4765,0.0378162,14.7885,0.364225,56.1775,7.40985e-08
14,10.4791,0.0379039,14.8281,0.366472,56.1775,7.35135e-08
15,10.4851,0.0377894,14.8148,0.365814,56.1775,7.9899e-08
16,10.4908,0.0376643,14.8139,0.362345,56.1775,6.70003e-08
17,10.4943,0.0373481,14.8057,0.358918,56.1775,6.00479e-08
18,10.4982,0.0375062,14.8592,0.358035,56.1775,5.37692e-08
19,10.4991,0.037452,14.8137,0.359239,56.1775,6.16814e-08
20,10.4996,0.0377119,14.759,0.35978,56.1775,5.5545e-08
21,10.5009,0.0375678,14.8868,0.362181,56.1775,7.2866e-08
22,10.5008,0.037424,14.8569,0.362836,56.1775,7.03307e-08
23,10.5032,0.0373861,14.8866,0.3625,56.1775,7.34479e-08
24,10.5048,0.0374868,14.9318,0.362229,56.1775,7.47853e-08
25,10.5062,0.0377614,14.9956,0.360925,56.1775,7.25372e-08
26,10.508,0.0379212,15.0486,0.361278,56.1775,7.5025e-08
27,10.5096,0.0378403,15.0953,0.361481,56.1775,6.71876e-08
28,10.5112,0.0376997,15.1253,0.361797,56.1775,7.49605e-08
29,10.5116,0.0377859,15.148,0.36303,56.1775,7.00702e-08
30,10.5079,0.0378454,15.1432,0.363584,56.1775,6.8581e-08
31,10.5073,0.0381195,15.1078,0.363269,56.1775,6.55598e-08
32,10.5078,0.0382131,15.0593,0.363488,56.1775,6.48954e-08
33,10.5074,0.0382005,15.0455,0.364344,56.1775,7.35086e-08
34,10.507,0.0383139,15.0318,0.364159,56.1775,6.77443e-08
35,10.5077,0.0384379,15.0205,0.364343,56.1775,7.53331e-08
36,10.5059,0.0385331,15.0052,0.365682,56.1775,7.42998e-08
37,10.5053,0.0385597,14.9949,0.366591,56.1775,7.79845e-08
38,10.5037,0.0386064,14.9998,0.367417,56.1775,7.14421e-08
39,10.5043,0.0386434,15.0263,0.367381,56.1775,7.59743e-08
40,10.5043,0.0385306,15.0148,0.366149,56.1775,7.71831e-08
41,10.5043,0.0386241,15.0793,0.367618,56.1775,8.5039e-08
42,10.5053,0.0385722,15.0893,0.366914,56.1775,8.70881e-08
43,10.5042,0.038621,15.1332,0.368005,56.1775,9.40004e-08
44,10.5057,0.0385054,15.1404,0.367418,56.1775,9.41762e-08
45,10.5062,0.0384727,15.1767,0.368572,56.1775,9.51262e-08
46,10.5053,0.0385532,15.1669,0.369191,56.1775,9.20618e-08
47,10.5043,0.0387373,15.1757,0.370589,56.1775,9.38231e-08
48,10.5043,0.0386969,15.1881,0.371685,56.1775,8.70788e-08
49,10.5046,0.0386549,15.1784,0.373593,56.1775,9.14157e-08
50,10.5049,0.0386726,15.1723,0.373042,56.1775,8.36762e-08
51,10.5039,0.0388975,15.1804,0.373786,56.1775,8.75411e-08
52,10.5051,0.0388815,15.2167,0.376032,56.1775,8.58701e-08
53,10.5054,0.0389244,15.1964,0.377612,56.1775,8.92894e-08
54,10.5055,0.0389376,15.1901,0.377939,56.1775,7.88467e-08
55,10.5054,0.0390135,15.1779,0.377544,56.1775,7.92477e-08
56,10.5048,0.0390746,15.1874,0.378933,56.1775,9.17153e-08
57,10.505,0.0390144,15.2364,0.378899,56.1775,8.48285e-08
58,10.5053,0.0389523,15.2339,0.378628,56.1775,8.95729e-08
59,10.5058,0.0388941,15.2478,0.378141,56.1775,8.09781e-08
60,10.5062,0.0389123,15.2268,0.377823,56.1775,9.19302e-08
61,10.5061,0.0389575,15.2083,0.376904,56.1775,9.05536e-08
62,10.507,0.0389185,15.1938,0.377273,56.1775,9.26705e-08
63,10.5078,0.0389506,15.1793,0.37739,56.1775,8.73974e-08
64,10.5088,0.0388847,15.1707,0.377226,56.1775,8.46117e-08
65,10.5093,0.0388887,15.1565,0.377375,56.1775,9.55432e-08
66,10.5096,0.0389856,15.1581,0.377314,56.1775,9.86923e-08
67,10.5092,0.039052,15.1393,0.377578,56.1775,9.22304e-08
68,10.5096,0.0390401,15.1166,0.377339,56.1775,8.03042e-08
69,10.5081,0.0389944,15.0856,0.37699,56.1775,9.36195e-08
70,10.5074,0.0389831,15.0586,0.377569,56.1775,9.6247e-08
71,10.5066,0.039009,15.0409,0.377392,56.1775,8.67193e-08
72,10.5067,0.0389735,15.0487,0.377484,56.1775,8.80048e-08
73,10.5068,0.03894,15.0313,0.377028,56.1775,8.53603e-08
74,10.5064,0.0389163,15.0278,0.377237,56.1775,9.29016e-08
75,10.5062,0.0388827,15.0234,0.377734,56.1775,7.61157e-08
76,10.5059,0.0389288,15.0149,0.378125,56.1775,6.73096e-08
77,10.5063,0.0389177,15.0139,0.378112,56.1775,8.30821e-08
78,10.5069,0.0389422,15.009,0.378707,56.1775,9.03405e-08
79,10.507,0.0389927,15.0144,0.379249,56.1775,9.05038e-08
80,10.5075,0.0390181,15.0111,0.379096,56.1775,9.65897e-08
81,10.5071,0.0391598,15.018,0.379979,56.1775,9.36456e-08
82,10.5056,0.0392739,15.0066,0.380937,56.1775,9.61279e-08
83,10.5049,0.0393015,15.0006,0.380988,56.1775,9.34473e-08
