rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q_simulated,standEta_V2_simulated,filter
1,1,-2.75056,-0.809779,1.11296,0.653783,0
2,1,-2.55727,-2.13142,1.36932,-1.13742,0
3,1,-2.67716,-2.10834,1.05582,-1.67337,0
4,1,-2.64351,-0.250399,0.917376,-0.892732,0
5,1,-2.84123,-1.47464,1.07048,2.26571,0
6,1,-2.71257,-0.87911,0.92811,-0.989402,0
7,1,-2.68689,-1.37841,0.936544,0.591155,0
8,1,-2.57699,-0.479659,1.20608,-0.756637,0
9,1,-2.80466,-1.29087,1.04396,0.127134,0
10,1,-2.59692,-1.13696,1.11076,0.780635,0
1,2,1.10401,-0.656198,1.29782,-2.04425,0
2,2,0.939452,0.819031,0.864225,0.609685,0
3,2,1.01814,0.987295,0.977125,-0.101761,0
4,2,1.22067,-0.997205,1.41404,0.321406,0
5,2,1.17436,-0.0731423,1.28794,-1.07538,0
6,2,0.975143,1.18833,0.741167,-1.34986,0
7,2,0.834603,0.964015,0.766487,-0.669251,0
8,2,1.06692,-0.270798,1.30531,-0.537495,0
9,2,0.936046,1.30042,0.694469,-0.157518,0
10,2,0.635449,0.0725959,0.836926,0.923056,0
1,3,0.71465,0.674272,1.15062,-0.678138,0
2,3,0.757533,1.32403,0.858631,0.496619,0
3,3,0.683593,0.795532,0.874891,-1.08464,0
4,3,0.810262,0.984757,0.932236,-0.217,0
5,3,0.764966,0.690705,0.950771,0.871743,0
6,3,0.76458,0.281223,1.11504,-0.0716595,0
7,3,0.707744,0.742505,0.904309,0.785273,0
8,3,0.692194,0.688568,1.07703,-0.401588,0
9,3,0.874624,-0.380906,1.20945,1.96593,0
10,3,0.796033,1.10544,0.913731,-0.558832,0
1,4,0.0396151,-0.177109,0.886559,1.30317,0
2,4,-0.177733,0.0869485,0.51648,0.0716623,0
3,4,-0.118106,-0.566061,0.761654,-1.0166,0
4,4,-0.178822,-0.417964,0.612049,0.953865,0
5,4,0.0843736,0.0406042,0.817137,-2.30251,0
6,4,-0.124519,0.0704337,0.637051,0.15652,0
7,4,-0.224554,-0.516414,0.629021,0.407875,0
8,4,-0.234207,-0.298772,0.63415,0.315463,0
9,4,0.142247,-0.179416,0.832986,-1.61545,0
10,4,0.0362399,0.559765,0.695585,-0.163948,0
1,5,-0.544681,0.826747,0.877343,-0.311433,0
2,5,-0.566392,0.960823,0.983066,1.54275,0
3,5,-0.321237,0.216616,1.11343,1.71259,0
4,5,-0.44469,0.741613,1.00158,1.60117,0
5,5,-0.524218,0.0138439,1.19943,1.18412,0
6,5,-0.356488,0.261315,1.24947,0.835088,0
7,5,-0.302674,-0.0206265,1.33512,0.531878,0
8,5,-0.552333,-1.42732,1.46376,-0.341763,0
9,5,-0.324754,-0.248334,1.27728,0.641112,0
10,5,-0.553449,-0.562347,1.27566,-0.617111,0
1,6,0.426785,1.02978,1.57026,0.294101,0
2,6,0.608522,1.69238,1.47669,-0.489371,0
3,6,0.546011,1.47405,1.64707,0.972997,0
4,6,0.602716,1.73467,1.47703,-1.25306,0
5,6,0.638505,2.24486,1.26979,0.723118,0
6,6,0.333277,0.638155,1.8933,0.272951,0
7,6,0.60866,1.59456,1.48158,-0.216581,0
8,6,0.660749,1.90624,1.64072,0.919077,0
9,6,0.430863,1.59067,1.3559,-1.21028,0
10,6,0.530158,2.50269,1.31051,-0.928216,0
1,7,0.278489,-2.52601,0.597596,0.239751,0
2,7,0.417785,-1.75566,0.591705,0.465241,0
3,7,0.392774,-1.64769,0.538951,-1.64798,0
4,7,0.369181,-1.6912,0.596866,1.64852,0
5,7,0.39298,-1.63352,0.522151,-0.514824,0
6,7,0.287674,-2.09399,0.577401,-0.319938,0
7,7,0.308655,-2.40166,0.574673,1.4325,0
8,7,0.547442,-1.91451,0.64601,-0.587049,0
9,7,0.400413,-1.97784,0.557491,0.921882,0
10,7,0.332192,-2.34984,0.641822,1.58725,0
1,8,0.781956,-0.0752776,0.895776,0.88894,0
2,8,0.877037,0.400279,0.866823,0.620267,0
3,8,0.957965,0.714988,0.876954,-3.10227,0
4,8,1.0443,0.153736,1.08602,0.153905,0
5,8,1.0005,0.75606,0.816838,0.00796106,0
6,8,0.831794,0.264416,0.824315,0.981986,0
7,8,0.923991,0.395895,0.837829,0.415875,0
8,8,0.745056,-0.000667556,0.767781,-0.288159,0
9,8,0.856914,0.553148,0.752722,0.577111,0
10,8,0.94818,0.353963,0.792883,0.0220721,0
1,9,-0.183552,-0.661562,1.22067,0.102278,0
