standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.66923,0.161938,-3.35496,0.0158083,-2.06642,0.17431,-2.99247,0.0171163,All
-2.33475,0.0694022,-2.86546,0.0158083,-1.71127,0.108944,-2.54038,0,All
-2.00026,0.0231341,-2.37597,0.0316167,-1.35613,0.239676,-2.08829,0.0684652,All
-1.66577,0.161938,-1.88648,0.09485,-1.00099,0.217887,-1.6362,0.102698,All
-1.33128,0.0462681,-1.39698,0.142275,-0.645847,0.152521,-1.18412,0.188279,All
-0.996789,0,-0.907486,0.221317,-0.290705,0.261465,-0.732026,0.273861,All
-0.662299,0.0694022,-0.417991,0.268742,0.0644373,0.413986,-0.279936,0.46214,All
-0.32781,0.347011,0.0715041,0.3794,0.419579,0.697239,0.172153,0.342326,All
0.00667885,0.717156,0.560999,0.66395,0.774721,0.261465,0.624243,0.376558,All
0.341168,0.393279,1.05049,0.28455,1.12986,0.283254,1.07633,0.359442,All
0.675657,0.809692,1.53999,0.047425,1.48501,0.17431,1.52842,0.171163,All
1.01015,0.439547,2.02948,0.047425,1.84015,0.0653662,1.98051,0.0342326,All
