iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2
1,10.616,0.0290307,41.4916,0.146546,15.5041,0.434139,50.7322,0.29048
2,10.6117,0.0285325,41.4308,0.126794,15.5186,0.381476,50.4571,0.249985
3,10.6092,0.0272339,41.3777,0.120352,15.4921,0.363522,50.5962,0.233883
4,10.609,0.0258775,41.4114,0.115823,15.534,0.351572,50.2342,0.225148
5,10.6076,0.0255273,41.3458,0.120275,15.765,0.354015,50.034,0.220852
6,10.61,0.0248389,41.3195,0.123075,15.875,0.353431,49.9987,0.218304
7,10.6047,0.024902,41.2694,0.121554,15.8603,0.346381,49.9171,0.21555
8,10.6015,0.0247754,41.2552,0.122139,15.8274,0.339349,49.8488,0.21488
9,10.6017,0.0249577,41.3,0.122569,15.761,0.337053,49.6701,0.218967
10,10.6001,0.0252839,41.3355,0.120476,15.677,0.33282,49.5825,0.220336
11,10.5995,0.0252338,41.3748,0.120542,15.6803,0.329656,49.6367,0.221514
12,10.5994,0.0250548,41.4224,0.119941,15.615,0.331634,49.7331,0.220934
13,10.6013,0.0250402,41.3889,0.121745,15.6519,0.33166,49.6918,0.217596
14,10.6037,0.0251348,41.3815,0.122496,15.6928,0.33284,49.6716,0.218389
15,10.6075,0.0251854,41.3956,0.122948,15.6868,0.332656,49.7035,0.218031
16,10.6083,0.0251865,41.3839,0.123123,15.7262,0.334447,49.6912,0.21728
17,10.6077,0.025294,41.3672,0.123415,15.6838,0.334489,49.6218,0.217903
18,10.6103,0.0252003,41.3669,0.123628,15.7081,0.334789,49.5025,0.217193
19,10.6098,0.0251388,41.4025,0.1237,15.7461,0.336469,49.5304,0.216803
20,10.6104,0.0249745,41.4245,0.123821,15.8069,0.338249,49.642,0.215975
21,10.6121,0.0249921,41.4108,0.123914,15.8303,0.339053,49.6908,0.215806
22,10.6148,0.0250378,41.4387,0.124373,15.8763,0.341231,49.7802,0.217418
23,10.6157,0.0251032,41.4447,0.124697,15.9261,0.343279,49.7178,0.218164
24,10.6159,0.0252219,41.4443,0.125603,15.9092,0.342809,49.7403,0.219125
25,10.6146,0.0252982,41.4319,0.125656,15.914,0.34275,49.6672,0.218681
26,10.6142,0.0253162,41.4206,0.126262,15.8979,0.342613,49.6564,0.217522
27,10.6163,0.0253192,41.4273,0.126109,15.8979,0.341386,49.6923,0.216807
28,10.6175,0.0252056,41.4473,0.12579,15.8811,0.341038,49.7734,0.217566
29,10.6174,0.0251186,41.4912,0.125315,15.8665,0.341193,49.8638,0.218535
30,10.6169,0.0251796,41.5007,0.125359,15.8536,0.341242,49.8464,0.219483
31,10.6157,0.0250608,41.4958,0.125262,15.8375,0.340815,49.8176,0.220914
