rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q_simulated,standEta_V2_simulated,filter
1,1,-2.87478,-0.717644,0.2698,0.249233,0
2,1,-2.43451,-0.512092,-0.285246,0.0110197,0
3,1,-2.69315,-1.52739,0.471008,0.441207,0
4,1,-2.5789,-1.24142,0.868992,1.49303,0
5,1,-2.64075,-1.04747,0.178113,1.80362,0
6,1,-2.73409,-1.02751,0.670696,0.319671,0
7,1,-2.66574,-3.18843,1.34731,-0.17768,0
8,1,-2.71081,-1.48369,0.254662,-0.778316,0
9,1,-2.67847,-0.794498,0.723859,0.212425,0
10,1,-2.63743,-1.15666,1.363,-0.0498115,0
1,2,1.04215,1.03805,-0.372085,2.18426,0
2,2,1.0286,0.563953,-0.353994,0.444538,0
3,2,0.857874,0.344288,-0.0966265,-0.240429,0
4,2,0.909395,-0.0841525,0.106323,0.724421,0
5,2,0.898869,0.942865,-0.673657,0.893806,0
6,2,0.863405,0.558423,-0.639272,0.81314,0
7,2,0.919351,1.24281,-0.782284,0.853122,0
8,2,1.12285,0.216146,0.682419,-0.756932,0
9,2,1.05494,0.283061,0.330426,-2.34187,0
10,2,0.967241,0.697273,0.400429,0.533796,0
1,3,0.751249,0.555213,-0.154198,-1.07201,0
2,3,0.650607,0.806039,0.120576,-0.831093,0
3,3,0.910518,0.643726,0.626313,-0.255974,0
4,3,0.721846,0.676502,0.316341,-0.380897,0
5,3,0.760913,-0.0315289,1.0917,0.400106,0
6,3,0.67282,0.259967,0.227665,0.376886,0
7,3,0.655794,0.111136,0.242378,-0.95796,0
8,3,0.721231,0.408992,0.108125,-0.392987,0
9,3,0.640031,0.874673,0.401116,0.0795626,0
10,3,0.830961,1.25978,-0.0162758,0.751967,0
1,4,0.0400324,-0.277828,-0.266099,-0.432783,0
2,4,-0.0882802,-0.156184,-0.859611,1.82741,0
3,4,-0.101441,-0.359607,-0.583607,-0.269752,0
4,4,-0.0436188,0.050577,-1.24685,0.328822,0
5,4,-0.0866534,-0.334608,-0.833368,0.362574,0
6,4,-0.0605611,0.201941,-1.08963,-0.653754,0
7,4,-0.0610915,-0.299156,-1.11772,0.140641,0
8,4,0.00581442,0.0223321,-0.993855,0.770115,0
9,4,-0.0656129,-0.252622,-0.505067,1.0918,0
10,4,-0.220768,-0.010251,-1.36959,1.50621,0
1,5,-0.469948,0.023553,0.524281,-0.264343,0
2,5,-0.394412,0.436678,0.99019,-0.727894,0
3,5,-0.424115,0.6363,0.840038,-0.916727,0
4,5,-0.51233,0.872793,0.625062,0.549254,0
5,5,-0.44061,-1.09223,1.16708,-0.591587,0
6,5,-0.545122,-0.0884769,0.725009,-0.616623,0
7,5,-0.35947,0.0735677,0.782037,1.03597,0
8,5,-0.471258,0.124619,0.409013,-0.137149,0
9,5,-0.603524,0.436497,0.263966,-0.762933,0
10,5,-0.473573,0.389957,0.6317,1.15347,0
1,6,0.522383,1.79742,1.71565,-1.70191,0
2,6,0.340228,1.01751,0.925515,-1.59476,0
3,6,0.542369,2.22061,1.17331,-0.42586,0
4,6,0.403428,1.57508,1.50568,-0.34566,0
5,6,0.508855,1.98966,1.41756,1.6019,0
6,6,0.327787,1.58996,0.800555,-1.41793,0
7,6,0.343133,1.67296,1.70818,-0.252474,0
8,6,0.468935,2.48289,0.4138,-0.775852,0
9,6,0.40222,1.25647,1.14736,0.643307,0
10,6,0.703178,1.90708,0.929432,-1.46466,0
1,7,0.336023,-1.84815,-1.28051,1.28043,0
2,7,0.349549,-2.19278,-1.26004,1.58159,0
3,7,0.535868,-1.53635,-1.17219,1.50214,0
4,7,0.528982,-1.60313,-1.21227,-1.24356,0
5,7,0.433458,-1.83375,-1.09705,0.545617,0
6,7,0.220866,-2.04401,-1.52176,-0.331117,0
7,7,0.336537,-2.01864,-1.06027,1.34652,0
8,7,0.456805,-1.62154,-1.14536,-0.0474419,0
9,7,0.398202,-2.49231,-1.06102,-1.27618,0
10,7,0.26847,-1.94618,-1.23205,-0.886151,0
1,8,0.9194,0.00197467,0.112624,1.49074,0
2,8,0.751933,-0.520073,-0.0463245,0.685344,0
3,8,0.92491,0.625144,-0.331009,0.04935,0
4,8,1.0194,0.0252123,-0.0989268,0.217061,0
5,8,0.677285,-0.403123,-0.353288,-0.738931,0
6,8,0.793503,0.0741935,-0.355489,-0.935824,0
7,8,0.875676,-0.142352,-0.0915954,0.290024,0
8,8,0.874259,0.328783,-0.662598,-0.308224,0
9,8,0.764565,-0.213107,-0.180183,-0.918941,0
10,8,0.883593,0.432315,-0.349471,0.0943795,0
1,9,-0.066724,-0.909036,1.55294,0.496031,0
2,9,-0.262488,-0.120166,0.894153,1.64245,0
3,9,-0.198409,-0.438159,0.245104,-0.454083,0
4,9,-0.245749,-0.3029,0.629219,0.267544,0
5,9,-0.181785,-1.79232,1.38249,1.82631,0
6,9,-0.171819,-0.246264,0.305628,-1.87488,0
7,9,-0.119759,-0.231739,0.421264,0.26584,0
8,9,-0.170007,-0.814881,0.991284,-1.03707,0
9,9,-0.163528,-0.97055,1.29178,-1.31749,0
10,9,-0.219012,-0.0362077,0.48454,-1.69034,0
1,10,-1.61854,-1.04259,-0.920294,-0.873945,0
2,10,-1.8981,-0.746264,-1.82757,-0.0469468,0
3,10,-1.40979,0.111136,-1.2729,1.26538,0
4,10,-1.70685,-0.726626,-1.2579,-1.09765,0
5,10,-1.71985,-1.06562,-1.38505,0.212867,0
6,10,-1.53441,-0.389486,-1.26258,0.623649,0
7,10,-1.72846,-0.395894,-1.38908,0.783147,0
8,10,-1.68749,-0.849495,-1.33136,-1.38362,0
9,10,-1.48404,-0.526651,-0.779431,0.34577,0
10,10,-1.63381,-0.345772,-1.46439,-0.772292,0
1,11,0.7505,0.305045,-0.193684,0.533447,0
2,11,1.01343,-0.115628,1.8055,0.319801,0
3,11,0.650409,0.407499,-0.479623,-0.557999,0
4,11,0.89467,0.701867,0.269725,-2.51663,0
5,11,0.9211,0.0451851,1.08606,-1.57531,0
6,11,0.850872,1.2163,-0.463766,0.226674,0
7,11,0.630797,0.710647,-0.614641,-0.930274,0
8,11,0.746439,1.25374,-0.580491,-0.331468,0
9,11,0.928669,1.05038,-0.0828352,-0.275751,0
10,11,0.885667,-0.0737659,1.46937,-0.816145,0
1,12,-0.0814937,1.14246,0.399724,0.382836,0
2,12,-0.163107,1.01682,0.78508,0.479545,0
3,12,-0.226234,0.645698,0.518463,0.987786,0
4,12,0.0314955,1.07514,0.85215,-0.975345,0
5,12,-0.131191,1.29129,-0.0942299,-1.33331,0
6,12,-0.187293,0.190709,0.610442,1.04472,0
7,12,-0.216399,1.00501,-0.0806862,-0.872339,0
8,12,-0.101774,0.304889,0.724472,1.13502,0
9,12,-0.218859,0.352071,0.237954,1.02313,0
10,12,-0.20451,1.06593,-0.125647,1.72103,0
1,13,0.211075,0.77429,0.123225,-0.597189,0
2,13,0.31924,-1.99116,2.48876,2.74393,0
3,13,0.182056,0.494811,0.426869,0.324063,0
4,13,-0.0449963,0.530112,-0.597779,-1.17354,0
5,13,0.0548749,0.211227,0.301544,1.29356,0
6,13,0.125078,0.61627,0.27026,-1.14709,0
7,13,0.239377,-0.0630907,1.28461,1.70069,0
8,13,0.051714,0.180494,0.456403,-0.298458,0
9,13,0.159932,-0.0269611,0.59515,-0.304575,0
10,13,0.144678,0.432966,0.294941,0.879505,0
1,14,0.577424,0.792343,-1.56046,0.0966236,0
2,14,0.654626,0.770269,-2.1643,0.817788,0
3,14,0.535769,0.114881,-1.03236,1.0989,0
4,14,0.486134,0.312194,-1.87936,-2.75901,0
5,14,0.538048,0.642807,-2.08478,1.26514,0
6,14,0.727277,0.794281,-1.35367,0.456352,0
7,14,0.541478,0.841463,-1.90646,1.04275,0
8,14,0.775292,0.76062,-1.03297,1.10901,0
9,14,0.402097,0.535327,-2.15156,-1.09328,0
10,14,0.61514,0.447061,-1.38669,-0.434071,0
