standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.81527,0.0783859,-1.92918,0.173951,-2.38991,0.0576614,-1.52101,0.02892,All
-2.4204,0.0979824,-1.52882,0.212606,-1.98731,0.0384409,-1.25344,0.0867601,All
-2.02553,0.039193,-1.12846,0.231934,-1.58471,0.172984,-0.985876,0.11568,All
-1.63066,0,-0.728103,0.115967,-1.18211,0.153764,-0.718307,0.05784,All
-1.23578,0.274351,-0.327743,0.251262,-0.779518,0.288307,-0.450739,0.0867601,All
-0.840912,0.0979824,0.0726169,0.657147,-0.376921,0.42285,-0.18317,0.11568,All
-0.446041,0.176368,0.472977,0.425213,0.0256757,0.365189,0.0843989,0.05784,All
-0.0511692,0.431123,0.873336,0.328574,0.428273,0.442071,0.351968,0.23136,All
0.343702,0.529105,1.2737,0.135295,0.830869,0.384409,0.619536,0.52056,All
0.738574,0.607491,1.67406,0.0386557,1.23347,0.211425,0.887105,1.27248,All
1.13345,0.352737,2.07442,0.0773114,1.63606,0.0768818,1.15467,0.983281,All
1.52832,0.0587895,2.47478,0.0579836,2.03866,0.0768818,1.42224,0.49164,All
