simulations,OFV
500,940.495
1000,942.281
1500,941.675
2000,939.882
2500,940.599
3000,941.02
3500,940.391
4000,940.402
4500,940.788
5000,940.811
5500,940.82
6000,941.195
6500,940.153
7000,940.232
7500,939.732
8000,939.823
8500,940.097
9000,939.722
9500,939.449
10000,939.131
10500,939.08
11000,939.091
11500,938.811
12000,938.527
12500,938.701
13000,938.633
13500,938.471
14000,938.461
14500,938.378
15000,938.403
15500,938.363
16000,938.443
16500,938.257
17000,938.393
17500,938.447
18000,938.289
18500,938.402
19000,938.361
19500,938.373
20000,938.313
20500,938.326
21000,938.233
21500,938.291
22000,938.338
22500,938.332
23000,938.077
23500,937.864
24000,937.876
24500,937.961
25000,937.997
25500,937.972
26000,937.865
26500,937.858
27000,937.826
27500,937.882
28000,937.99
28500,937.966
29000,938.056
29500,938.123
30000,938.186
