parameter,value
Cl_pop,10.5642846156461
beta_Cl_logtCLCRMLMIN,0.657171095940076
beta_Cl_logtWTKG,0.784967851744293
V1_pop,43.7688345404985
Q_pop,20.1534177306466
beta_Q_ANTU_2,-0.667723423602825
beta_Q_SEXF_1,-0.133153394442516
beta_Q_logtAGEA,1.38736216018044
beta_Q_logtCLCRMLMIN,1.03529922313982
V2_pop,52.7638620683373
omega_Cl,0.178657108656425
omega_V1,0.259055428833492
omega_Q,0.00275627217753416
omega_V2,0.159762245634008
corr_V2_V1,0.99876385327989
a1,0.306529006455765
a2,0.0598617956226379
