simulations,OFV
500,970.87
1000,970.917
1500,971.329
2000,970.744
2500,971.883
3000,972.045
3500,971.363
4000,971.514
4500,971.963
5000,971.344
5500,971.511
6000,971.895
6500,971.367
7000,971.399
7500,971.676
8000,971.853
8500,972.204
9000,971.806
9500,971.702
10000,971.473
10500,970.966
11000,971.186
11500,971.368
12000,970.891
12500,969.895
13000,969.934
13500,969.973
14000,970.117
14500,970.089
15000,970.102
15500,970.19
16000,970.337
16500,970.25
17000,970.275
17500,970.311
18000,970.293
18500,970.467
19000,970.495
19500,970.427
20000,970.357
20500,970.335
21000,970.214
21500,970.252
22000,970.357
22500,970.345
23000,970.263
23500,970.312
24000,970.346
24500,970.404
25000,970.44
25500,970.384
26000,970.047
26500,970.041
27000,970
27500,970.025
28000,970.083
28500,970.096
29000,970.19
29500,970.215
30000,970.305
