P,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
CLHat,5.281651049155696,0.008227697129974393,0.4293754458849034,4.445483346631662,4.996011689648745,5.278785883445957,5.5609189795903315,6.14535246608879,2723.4400377930806,1.0007983480834524
QHat,5.6885959682649485,0.020776256455638027,0.8874491861278637,3.978636188338676,5.080453728717652,5.691507034974475,6.306503936127723,7.402791208650318,1824.5358283496616,1.0000957142328395
V1Hat,25.853731769979497,0.036605226751596415,1.956842859267834,22.036373663344758,24.540448628208956,25.87521905845212,27.12149879587658,29.75678963866159,2857.759655445212,1.000831768415867
V2Hat,24.959467853219692,0.05651543389824789,2.9377686217338184,19.053482374307187,22.98144303719716,24.995364591893647,26.930403352669295,30.62493047427691,2702.097671057193,1.0008514367767882
omega[1],0.10198709147956768,0.0010220547393310646,0.055077126083462484,0.037720750547878976,0.06591622100897321,0.0890815975742211,0.12345317164904034,0.23540245359481787,2903.984063219421,0.99929702462941
omega[2],0.5274187787712855,0.017127012855067947,0.5731552070399704,0.009828122894912887,0.1261780045849847,0.34563422578801967,0.7475368615709621,2.0277920025412164,1119.9051380094281,1.0020420340254856
omega[3],0.09966759104398808,0.0011997883275345507,0.06649459623292973,0.025909807121893853,0.05683587929733309,0.08348002927779904,0.12284578819207677,0.2743193504803883,3071.5913900907854,0.9995799119904246
omega[4],0.9491495878134713,0.018596358978790133,0.8051664581565108,0.041047200901140855,0.41534168436349433,0.7550536565387621,1.2582037480137898,3.0739024991477133,1874.6297594232117,1.0010323509980683
b,0.12190285983058972,2.2722710520106876e-4,0.011804266897173519,0.10191274382068873,0.11355874680996972,0.12100806734651104,0.12928444728759275,0.1484538918298948,2698.719638371566,0.9997899429239718
"logtheta[1,1]",1.7105114779649877,0.002033959956462315,0.10588969979756138,1.4427731963936885,1.6739971067545947,1.7291596377349312,1.772301144296379,1.846524856723999,2710.332901218124,0.9995661291163087
"logtheta[1,2]",1.7167917051481605,0.012507634759606015,0.6421052695092826,0.3783450651812845,1.3791639934853124,1.7390427451955093,2.03234134971276,3.0678768546601485,2635.4943319559115,0.9999627441165905
"logtheta[1,3]",3.4203294034403204,0.0030679061764583094,0.16521650215811273,3.058562485724771,3.3206339099390902,3.427351838376815,3.5307210657007992,3.7206676890481662,2900.1649474602036,1.000052254019194
"logtheta[1,4]",3.097026090046095,0.017235549402066504,0.9379370046829688,1.2226578899827,2.522114750951093,3.09062824947991,3.6578799322104922,5.012594762512295,2961.400039990047,0.9996008134547013
"logtheta[2,1]",1.8082584943940394,0.0022049446033389785,0.11437167545074924,1.4936769341401908,1.781511559690996,1.8334285936591925,1.8741960679848721,1.939088223564797,2690.553305953188,0.9999440219640718
"logtheta[2,2]",1.8800665356265667,0.008095891120909542,0.4446453410521996,1.0292623693841734,1.6376604447248624,1.8704728673098434,2.0983809956365334,2.8339389641725665,3016.4641950413525,0.9996646132257726
"logtheta[2,3]",3.455556522431923,0.0030026054486121914,0.16081662630935276,3.113901268776573,3.357561760926618,3.463428705522051,3.5645532563576854,3.7498673745423856,2868.5693737855445,0.9993373398538947
"logtheta[2,4]",3.7251317508646165,0.014921962418348606,0.7331516571795689,2.492681694106722,3.2496840984280846,3.6185244802276832,4.135278565674302,5.350543044202151,2413.9916159071645,1.0001612655549232
"logtheta[3,1]",1.8432061716330423,0.002096510106012493,0.10865555121454014,1.5530023785311127,1.8153126115882119,1.8658366176037835,1.9057631396033212,1.9698157284762037,2686.0241819000794,0.999152886177001
"logtheta[3,2]",1.7592591681787593,0.006967131544764621,0.3880977293875589,1.0227797921130903,1.551019736768369,1.7612497894171881,1.9505961092559425,2.614660596348636,3102.945751082406,1.0002775547915157
