iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q
1,1.65658,0.292887,24.12,0.132197,6.31114,0.150986
2,1.65563,0.278379,24.2267,0.116291,6.3424,0.141054
3,1.64903,0.272773,24.1303,0.108471,6.35678,0.138716
4,1.64347,0.270238,24.1829,0.10335,6.38976,0.139469
5,1.6421,0.266255,24.1496,0.10103,6.38575,0.14089
6,1.63776,0.268579,24.1793,0.0987623,6.39162,0.139387
7,1.63011,0.276648,24.1478,0.0968353,6.40198,0.139336
8,1.62595,0.277081,24.1174,0.096175,6.40423,0.137573
9,1.6251,0.27134,24.0888,0.0956008,6.40999,0.135194
10,1.62331,0.268458,24.0596,0.0948101,6.41246,0.134835
11,1.62441,0.264287,24.0304,0.0953607,6.41104,0.133148
12,1.6275,0.261355,24.0323,0.0951266,6.40354,0.131702
13,1.6304,0.258976,24.0531,0.0937674,6.40284,0.131638
14,1.63162,0.257192,24.0496,0.0933173,6.39467,0.130667
15,1.63471,0.258295,24.0604,0.0925656,6.38919,0.130939
16,1.63672,0.260596,24.0868,0.0923659,6.38447,0.130613
17,1.64048,0.260153,24.0908,0.0927025,6.37199,0.130022
18,1.64328,0.260934,24.0911,0.0930728,6.36032,0.129802
19,1.64608,0.26013,24.0804,0.0937978,6.34723,0.129841
20,1.64824,0.260483,24.0787,0.0938239,6.33832,0.129936
21,1.64973,0.260307,24.1139,0.0946635,6.3362,0.129957
22,1.65031,0.261137,24.1347,0.0951118,6.33591,0.13009
23,1.6512,0.260423,24.142,0.0950712,6.33433,0.129954
24,1.65044,0.261053,24.1589,0.0952993,6.33943,0.130387
25,1.65085,0.260454,24.1599,0.0951417,6.34032,0.130703
26,1.65092,0.260663,24.1635,0.0945888,6.34527,0.131498
27,1.64979,0.260305,24.1724,0.0942849,6.34961,0.13164
28,1.64882,0.261455,24.1943,0.0940459,6.35918,0.131905
29,1.648,0.261347,24.1968,0.0937968,6.35987,0.131786
30,1.6463,0.261962,24.1942,0.0933911,6.36459,0.131847
31,1.64622,0.261425,24.1944,0.0928722,6.36734,0.132517
32,1.64694,0.260335,24.1894,0.0924777,6.3674,0.132322
33,1.64756,0.259135,24.194,0.0932778,6.36775,0.132198
34,1.64803,0.259431,24.2004,0.0929519,6.37151,0.132412
35,1.64815,0.259545,24.2008,0.0925918,6.37479,0.132448
36,1.64787,0.258598,24.1968,0.0922653,6.37551,0.132236
37,1.64833,0.257664,24.1905,0.0922652,6.37598,0.131894
38,1.6485,0.257679,24.2035,0.0927032,6.37844,0.131277
39,1.6497,0.256997,24.2088,0.0930108,6.37738,0.130695
40,1.65035,0.25568,24.2046,0.0927458,6.3773,0.13046
41,1.65069,0.255732,24.2118,0.0929515,6.37842,0.130515
42,1.65051,0.256595,24.2198,0.093101,6.37954,0.130549
43,1.65036,0.25784,24.2257,0.0932717,6.38183,0.130511
44,1.65011,0.25864,24.2312,0.0936295,6.3861,0.130946
45,1.64951,0.258852,24.2417,0.0937086,6.39152,0.131583
46,1.64915,0.259026,24.246,0.0937943,6.39436,0.132211
47,1.64852,0.258818,24.2406,0.0938062,6.39875,0.132311
48,1.64829,0.258171,24.2456,0.0938909,6.40197,0.132449
49,1.64828,0.258459,24.2458,0.0938953,6.40403,0.13278
50,1.64762,0.259542,24.2523,0.0936739,6.40646,0.132986
51,1.64692,0.259457,24.2499,0.0936427,6.40834,0.132988
52,1.64649,0.259979,24.2468,0.0936475,6.41114,0.133112
53,1.64575,0.261239,24.2367,0.0937715,6.41403,0.132987
54,1.64402,0.263722,24.2284,0.0938917,6.41822,0.132918
55,1.64309,0.264511,24.2237,0.0937355,6.42029,0.132893
56,1.6421,0.264261,24.2268,0.0939455,6.42681,0.132919
57,1.64065,0.26411,24.2197,0.0944125,6.43213,0.132756
58,1.63959,0.263706,24.2163,0.0945005,6.43576,0.132715
59,1.63851,0.264876,24.2136,0.0947877,6.43833,0.1334
60,1.63763,0.265394,24.2077,0.0949357,6.44197,0.13345
61,1.63802,0.265252,24.2085,0.0949096,6.44014,0.133472
62,1.63868,0.265478,24.2048,0.0947381,6.44006,0.133429
63,1.63923,0.26504,24.208,0.0945946,6.44029,0.133297
64,1.63938,0.264415,24.2109,0.0945324,6.44037,0.133062
65,1.63885,0.264088,24.2043,0.0944485,6.4436,0.133046
66,1.63878,0.263421,24.2103,0.0944286,6.44682,0.132698
67,1.63872,0.262744,24.2093,0.094291,6.44833,0.132541
68,1.63881,0.262006,24.2119,0.0940908,6.44936,0.132246
