iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
1,1238.04,1,10.2275,11.1604,43.2233,60.344,1,1,0.3,0.3,0.8,1,1,1,1,1
2,1226.72,1,8.9805,13.055,44.2199,74.6426,0.95,0.95,0.285,0.285,0.911458,0.974679,1.10289,0.974679,0.974679,0.974679
3,1218.5,1,9.01441,13.6315,42.9195,73.3895,0.9025,0.9025,0.27075,0.27075,0.936182,0.95,1.15325,0.95,0.95,0.95
4,1198.48,1,9.20085,14.3278,42.0292,68.1587,0.857375,0.857375,0.257212,0.257212,0.910436,0.925945,1.12405,0.925945,0.925945,0.925945
5,1178.63,1,9.00553,11.9288,42.4952,77.9069,0.814506,0.814506,0.244352,0.244352,0.882752,0.9025,1.10903,0.9025,0.9025,0.9025
6,1148,1,8.83455,12.537,40.0026,82.2701,0.773781,0.773781,0.232134,0.232134,0.892779,0.879648,1.08095,0.879648,0.879648,0.879648
7,1148.06,1,8.77898,11.564,41.8569,78.5671,0.735092,0.735092,0.220528,0.220528,0.895084,0.857375,1.07172,0.857375,0.857375,0.857375
8,1131.66,1,8.87605,11.1828,43.7626,76.5819,0.698337,0.698337,0.209501,0.209501,0.91079,0.835666,1.09131,0.835666,0.835666,0.835666
9,1109.38,1,8.85946,10.8321,44.4677,76.9407,0.66342,0.66342,0.199026,0.199026,0.909229,0.814506,1.06368,0.814506,0.814506,0.814506
10,1086.13,1,8.82533,12.3255,42.3634,73.8406,0.630249,0.630249,0.189075,0.189075,0.89474,0.793882,1.03674,0.793882,0.793882,0.793882
11,1080,1,8.89511,12.8015,43.9223,73.395,0.598737,0.598737,0.179621,0.179621,0.917024,0.773781,1.01049,0.773781,0.773781,0.773781
12,1064.03,1,8.82297,12.8121,41.1163,68.5653,0.5688,0.5688,0.17064,0.17064,0.893459,0.754188,0.984907,0.754188,0.754188,0.754188
13,1043.77,1,8.88751,12.2746,44.2839,71.3718,0.54036,0.54036,0.162108,0.162108,0.893473,0.735092,0.959969,0.735092,0.735092,0.735092
14,1030.61,1,8.81666,13.3716,39.8525,68.855,0.513342,0.513342,0.154003,0.154003,0.901951,0.716479,0.952189,0.716479,0.716479,0.716479
15,1010.15,1,8.89624,14.2513,43.3418,82.6834,0.487675,0.487675,0.146302,0.146302,0.913575,0.698337,0.952189,0.698337,0.698337,0.698337
16,1007.96,1,8.91115,13.9571,41.4881,87.7537,0.463291,0.463291,0.138987,0.138987,0.909511,0.680655,0.98569,0.680655,0.680655,0.680655
17,990.134,1,8.74627,14.003,41.3528,85.0315,0.440127,0.440127,0.132038,0.132038,0.901632,0.66342,0.960732,0.66342,0.667568,0.66342
18,987.113,1,8.78998,12.6277,42.9798,76.9171,0.41812,0.41812,0.125436,0.125436,0.913037,0.646622,0.99175,0.646622,0.672638,0.646622
19,980.008,1,8.69677,11.7973,41.1795,78.3207,0.397214,0.53711,0.119164,0.116094,0.903386,0.630249,0.985457,0.630249,0.686456,0.630249
20,971.256,1,8.79261,13.0404,42.0657,77.8432,2.22045e-16,0.55003,0.135092,0.113699,0.911305,0.614291,0.960504,0.614291,0.789964,0.614291
21,956.624,1,8.94184,13.557,42.4054,76.6015,2.10942e-16,0.658344,0.128337,0.10924,0.916266,0.598737,0.936184,0.598737,0.769962,0.598737
22,952.412,1,8.94861,13.778,40.5476,78.6339,2.22045e-16,0.548444,0.125817,0.117497,0.930482,0.583577,0.912479,0.583577,0.750466,0.583577
23,940.27,1,9.07531,14.3268,39.5943,73.397,2.10942e-16,0.64587,0.119526,0.115128,0.936979,0.5688,0.889375,0.5688,0.731464,0.5688
24,935.755,1,9.10405,14.2833,40.2273,73.8073,2.22045e-16,0.682358,0.113806,0.116299,0.920054,0.554398,0.866855,0.554398,0.712943,0.554398
25,934.893,1,9.1558,13.737,40.5034,68.5347,2.22045e-16,0.580685,0.111651,0.129462,0.919487,0.54036,0.844906,0.54036,0.694891,0.54036
26,932.172,1,9.10562,13.3649,38.8882,66.1445,2.22045e-16,0.690034,0.108627,0.120187,0.924241,0.526678,0.823512,0.526678,0.677296,0.526678
27,926.323,1,9.19555,13.5043,39.8899,66.8577,2.22045e-16,0.715914,0.109395,0.117209,0.916533,0.513342,0.837341,0.513342,0.660146,0.513342
28,926.407,1,9.08066,13.7096,39.7663,67.8205,2.22045e-16,0.608875,0.110365,0.123082,0.915779,0.500344,0.84511,0.500344,0.643431,0.500344
29,926.287,1,8.96788,13.1377,39.6519,68.8066,2.22045e-16,0.481194,0.107428,0.135968,0.913201,0.487675,0.887562,0.487675,0.627139,0.487675
30,924.072,1,8.93527,13.4833,38.7604,68.8361,2.22045e-16,0.492658,0.102573,0.142351,0.915363,0.475327,0.865088,0.475327,0.617776,0.475327
31,917.419,1,8.96704,12.9527,38.8817,67.46,0.00556965,0.500874,0.102391,0.136476,0.909793,0.463291,0.910103,0.463291,0.602134,0.463291
32,911.91,1,8.99714,12.4472,39.1913,68.5737,2.22045e-16,0.500456,0.100573,0.140051,0.909992,0.45156,0.930709,0.45156,0.586888,0.45156
33,903.224,1,9.09697,12.5435,39.9659,65.7973,2.22045e-16,0.618306,0.101361,0.126939,0.909907,0.440127,0.913234,0.440127,0.572027,0.440127
34,906.305,1,9.03064,12.3155,39.6098,66.3223,2.22045e-16,0.569732,0.101017,0.131479,0.908872,0.428982,0.900045,0.428982,0.557543,0.428982
35,893.517,1,9.06207,12.8919,39.6286,63.9212,2.22045e-16,0.72356,0.0985531,0.120303,0.904741,0.41812,0.904508,0.41812,0.543426,0.41812
36,895.943,1,9.06668,11.9149,38.83,65.5781,2.22045e-16,0.698318,0.100225,0.119824,0.909838,0.407533,0.92652,0.407533,0.529666,0.407533
37,888.235,1,9.13237,12.5606,39.4625,64.8938,2.22045e-16,0.484738,0.0967783,0.138861,0.903766,0.397214,0.912968,0.397214,0.516255,0.397214
38,882.757,1,9.24486,12.0001,40.5415,58.0631,2.22045e-16,0.451601,0.0928422,0.147775,0.92107,0.387157,0.889851,0.387157,0.503183,0.387157
39,884.848,1,9.13615,11.7251,41.0069,58.523,2.22045e-16,0.368068,0.0963086,0.14941,0.909962,0.377354,0.867319,0.377354,0.490442,0.377354
40,882.633,1,9.13521,11.3159,41.0095,59.0632,2.22045e-16,0.375295,0.0935993,0.14986,0.915666,0.367799,0.87521,0.367799,0.478024,0.367799
41,888.734,1,9.10727,11.605,41.7193,56.7612,2.22045e-16,0.403804,0.0958174,0.150602,0.933126,0.358486,0.853049,0.358486,0.46592,0.358486
42,877.453,1,9.17305,12.4726,40.2356,59.6925,2.22045e-16,0.487624,0.0955952,0.141372,0.918002,0.349409,0.831449,0.349409,0.454122,0.349409
43,880.65,1,9.15603,12.7798,41.0808,62.9613,2.22045e-16,0.377126,0.0997647,0.14369,0.928266,0.340562,0.810396,0.340562,0.442624,0.340562
44,885.414,1,9.16517,13.1383,40.709,61.2683,2.22045e-16,0.32623,0.104838,0.140862,0.938453,0.331938,0.789877,0.331938,0.431416,0.331938
