iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,1506.18,1,5.25947,3.05437,30.7597,32.5461,1,1,0.624405,0.998761,1.5,1.5,1.5,1.2
2,1496.72,1,4.35874,5.58246,41.0927,41.3048,0.974679,0.974679,0.41177,0.998761,1.46202,1.69282,1.46202,1.16962
3,1488.55,1,4.81222,5.6924,37.8857,39.1219,0.95,0.95,0.834681,0.998761,1.425,1.64996,1.425,1.14
4,1473.33,1,4.3588,6.76794,34.4328,36.6541,0.925945,0.925945,0.607497,0.998761,1.38892,1.60818,1.38892,1.11113
5,1469.86,1,4.25096,4.9174,38.4674,39.8384,0.9025,0.9025,0.904179,0.998761,1.35375,1.56746,1.35375,1.083
6,1452.68,1,4.52169,6.65805,39.36,40.8834,0.879648,0.879648,1.12099,0.998761,1.31947,1.54761,1.31947,1.05558
7,1448,1,4.40601,6.28195,40.094,41.2414,0.857375,0.857375,1.00437,0.998761,1.28606,1.54879,1.28606,1.02885
8,1415.37,1,4.92284,5.99511,33.0868,35.14,0.835666,0.835666,0.564272,0.998761,1.2535,1.50958,1.2535,1.0028
9,1411.36,1,4.96013,4.7704,38.6789,40.0869,0.814506,0.814506,0.634922,0.998761,1.22176,1.47135,1.22176,0.977407
10,1396.63,1,5.59046,4.88808,34.163,36.44,0.793882,0.793882,0.520491,0.998761,1.19082,1.4341,1.19082,0.952659
11,1400.56,1,5.19525,4.83869,38.6053,40.0456,0.773781,0.773781,0.439306,0.998761,1.16067,1.50851,1.16067,0.928537
12,1379.44,1,4.94146,4.8184,33.5944,35.7789,0.754188,0.754188,0.301892,0.998761,1.13128,1.47031,1.13128,0.905026
13,1368.8,1,5.05813,7.76936,30.7764,33.2373,0.735092,0.735092,0.546639,0.998761,1.10264,1.44587,1.10264,0.88211
14,1356.54,1,4.91103,6.32034,28.8609,31.5029,0.716479,0.716479,0.433876,0.998761,1.07472,1.44511,1.07472,0.859775
15,1348.57,1,4.99076,7.80546,28.218,31.0866,0.698337,0.698337,0.746313,0.998761,1.04751,1.55621,1.04751,0.838005
16,1346.19,1,4.86214,8.98741,26.943,29.7604,0.680655,0.680655,0.861432,0.998761,1.02098,1.64689,1.02098,0.816786
17,1335.03,1,4.92165,8.74238,25.742,29.0134,0.66342,0.66342,0.569034,0.998761,0.995131,1.60519,0.995131,0.796105
18,1321.59,1,5.26977,10.5116,27.7511,30.6807,0.646622,0.646622,0.570632,0.998761,0.969933,1.56455,0.969933,0.775947
19,1304.68,1,4.98335,12.5599,27.2091,30.0866,0.630249,0.630249,0.755731,0.998761,0.945374,1.61039,0.945374,0.756299
20,1296.54,1,5.1735,11.6323,25.3344,28.447,0.614291,0.614291,0.59994,0.998761,0.921437,1.56961,0.921437,0.737149
21,1283.16,1,5.30524,13.2808,24.4057,27.9138,0.598737,0.598737,0.317575,0.998761,0.898105,1.52987,0.898105,0.718484
22,1271.2,1,5.12252,10.9277,25.7503,29.3435,0.583577,0.583577,0.147385,0.998761,0.875365,1.49113,0.875365,0.700292
23,1257.14,1,5.08426,7.86991,26.2528,29.9841,0.5688,0.5688,0.5609,0.998761,0.8532,1.45338,0.8532,0.68256
24,1239.05,1,5.40962,7.11416,25.8885,29.5015,0.554398,0.554398,0.594799,0.998761,0.831597,1.41658,0.831597,0.665277
25,1238.94,1,5.44432,6.95056,27.0063,30.3797,0.54036,0.54036,0.599991,0.998761,0.81054,1.38071,0.81054,0.648432
26,1224.76,1,5.42703,7.39493,29.0421,32.3553,0.526678,0.526678,0.409989,0.998761,0.790017,1.34575,0.790017,0.632013
27,1219.14,1,5.54145,9.01197,30.2876,33.2658,0.513342,0.513342,0.442064,0.998761,0.770013,1.31167,0.770013,0.61601
28,1197.52,1,5.58906,8.99722,29.2012,32.025,0.500344,0.500344,0.572384,0.998761,0.750516,1.27846,0.750516,0.600413
29,1186.62,1,5.57364,10.4669,27.4099,30.3599,0.487675,0.487675,0.47083,0.998761,0.731512,1.28274,0.731512,0.58521
30,1167.43,1,5.51626,8.85399,26.238,29.1771,0.475327,0.475327,0.547507,0.998761,0.71299,1.25026,0.71299,0.570392
31,1163.94,1,5.56077,7.68012,27.6105,30.2967,0.463291,0.463291,0.550196,0.998761,0.694937,1.2186,0.694937,0.555949
32,1147.36,1,5.40153,5.73007,24.5893,27.5479,0.45156,0.45156,0.681736,0.998761,0.677341,1.18774,0.677341,0.541873
33,1143.54,1,5.27794,5.60092,24.2793,27.1333,0.440127,0.440127,0.635638,0.998761,0.66019,1.15767,0.66019,0.528152
34,1130.23,1,5.21268,5.82062,24.5885,27.2883,0.428982,0.428982,0.823587,0.998761,0.643474,1.12836,0.643474,0.514779
