simulations,OFV
500,939.846
1000,941.194
1500,939.667
2000,938.861
2500,939.839
3000,939.948
3500,939.492
4000,939.549
4500,939.744
5000,939.704
5500,939.545
6000,939.663
6500,939.388
7000,939.549
7500,939.364
8000,939.506
8500,939.705
9000,939.428
9500,939.207
10000,939.148
10500,939.062
11000,939.134
11500,939.011
12000,938.877
12500,938.934
13000,938.737
13500,938.656
14000,938.597
14500,938.593
15000,938.648
15500,938.613
16000,938.708
16500,938.543
17000,938.627
17500,938.755
18000,938.668
18500,938.764
19000,938.629
19500,938.523
20000,938.384
20500,938.321
21000,938.182
21500,938.212
22000,938.305
22500,938.335
23000,938.169
23500,938.065
24000,938.089
24500,938.091
25000,938.134
25500,938.083
26000,938.034
26500,938.03
27000,937.974
27500,938.019
28000,938.097
28500,938.072
29000,938.162
29500,938.209
30000,938.245
