iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,p_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
1,1565.54,1,5,25,5,25,0.5,1,1,1,1,1,1
2,1528.71,1,5.07901,35.328,7.3163,24.8475,0.00078125,0.974679,0.974679,0.987965,0.974679,0.95,0.95
3,1502.43,1,5.26591,32.3403,7.84142,28.6487,2.22045e-16,0.95,0.95,0.962949,0.95,0.9025,0.9025
4,1488.71,1,4.99374,34.0778,9.7671,37.0459,2.22045e-16,0.925945,0.925945,0.938567,0.925945,0.857375,0.857375
5,1469.21,1,5.3,36.4083,8.58805,39.0059,2.22045e-16,0.9025,0.9025,0.914802,0.9025,0.814506,0.814506
6,1459.22,1,4.69939,37.6776,6.73516,47.3437,2.22045e-16,0.879648,0.879648,0.932875,1.01277,0.773781,0.773781
7,1423.44,1,4.67993,33.1229,7.61296,55.8806,2.22045e-16,0.857375,0.857375,0.909255,0.987126,0.735092,0.735092
8,1395.9,1,4.96569,28.176,6.37791,49.1239,2.22045e-16,0.835666,0.835666,0.886232,0.989394,0.698337,0.698337
9,1393.63,1,4.6644,26.1662,5.22881,53.0942,2.22045e-16,0.814506,0.814506,0.920726,0.964619,0.66342,0.66342
10,1369.89,1,4.66983,27.8896,5.81898,59.3723,2.22045e-16,0.793882,0.793882,0.938939,0.940194,0.630249,0.630249
11,1356.91,1,4.85727,25.2779,5.93938,65.8866,2.22045e-16,0.773781,0.773781,0.986615,0.96499,0.598737,0.598737
12,1336.62,1,4.52129,25.6569,7.05724,64.3798,2.22045e-16,0.754188,0.754188,1.02223,0.953377,0.5688,0.5688
13,1320.73,1,4.72276,21.3542,9.17705,70.8424,2.22045e-16,0.735092,0.735092,0.996347,0.955778,0.54036,0.54036
14,1294.32,1,4.69597,24.4156,7.96159,65.3977,2.22045e-16,0.716479,0.716479,0.971118,0.931577,0.513342,0.513342
15,1273.84,1,4.77703,21.5394,9.55749,62.8759,2.22045e-16,0.698337,0.698337,0.946529,0.913403,0.487675,0.487675
16,1262.11,1,4.7662,24.0887,10.2188,55.9712,2.22045e-16,0.680655,0.680655,0.922563,0.911407,0.463291,0.463291
17,1238.08,1,5.05552,19.7638,10.9244,54.6759,2.22045e-16,0.66342,0.66342,0.899203,0.88833,0.440127,0.440127
18,1226.59,1,5.06674,18.8794,10.3807,43.7188,2.22045e-16,0.646622,0.646622,0.989184,0.919519,0.41812,0.41812
19,1203.71,1,4.9419,21.2035,8.75984,40.11,2.22045e-16,0.630249,0.630249,0.964138,0.896236,0.397214,0.397214
20,1187.28,1,4.95494,20.9756,10.1344,33.1524,2.22045e-16,0.614291,0.614291,0.939725,1.04257,0.377354,0.377354
21,1166.27,1,5.24405,20.7222,11.4679,26.1385,2.22045e-16,0.598737,0.598737,0.915931,1.01617,0.358486,0.358486
22,1137.31,1,5.21164,20.5139,10.2851,25.7776,2.22045e-16,0.583577,0.583577,0.892739,0.990439,0.340562,0.340562
23,1126.04,1,5.22991,21.6614,8.948,30.097,2.22045e-16,0.5688,0.5688,0.870134,0.96536,0.323534,0.323534
24,1110.33,1,5.24621,21.6064,8.20242,29.1931,2.22045e-16,0.554398,0.554398,0.848102,0.940917,0.307357,0.307357
25,1104.35,1,5.33324,21.0013,8.35284,30.2748,2.22045e-16,0.54036,0.54036,0.826628,0.917092,0.291989,0.291989
26,1090.4,1,5.23849,20.1172,8.13098,29.7864,2.22045e-16,0.526678,0.526678,0.899377,0.893871,0.27739,0.27739
27,1071.04,1,5.26622,20.615,8.15417,29.4445,2.22045e-16,0.513342,0.513342,0.876604,0.871238,0.26352,0.26352
28,1053.56,1,5.34745,21.7252,8.1549,24.24,2.22045e-16,0.500344,0.500344,0.854408,0.849178,0.250344,0.250344
29,1045.89,1,5.33382,21.4173,8.12646,24.7375,2.22045e-16,0.487675,0.487675,0.837565,0.827676,0.237827,0.237827
30,1030.03,1,5.2433,22.157,7.99865,22.539,2.22045e-16,0.475327,0.475327,0.816357,0.806719,0.225936,0.225936
31,1025.13,1,5.33423,22.6929,6.61562,22.8836,2.22045e-16,0.463291,0.463291,0.795687,0.786292,0.214639,0.214639
32,1018.9,1,5.27875,23.5454,6.17536,22.2072,2.22045e-16,0.45156,0.45156,0.77554,0.766383,0.203907,0.203907
33,1021.22,1,5.29303,24.0532,6.53629,20.7845,2.22045e-16,0.440127,0.440127,0.755903,0.746978,0.19976,0.193711
34,1014.53,1,5.26637,23.8629,7.33203,21.9696,2.33147e-16,0.428982,0.428982,0.748863,0.739234,0.204709,0.184026
35,1005.37,1,5.30745,23.3522,7.21099,24.6737,2.33147e-16,0.41812,0.41812,0.729902,0.74437,0.205257,0.174825
36,989.589,1,5.278,23.0196,7.59122,25.5265,2.33147e-16,0.407533,0.407533,0.71142,0.725522,0.210933,0.166083
37,991.844,1,5.23947,22.1091,7.2503,22.7891,2.33147e-16,0.397214,0.397214,0.693406,0.707151,0.220886,0.157779
38,990.882,1,5.3011,21.9787,7.08455,22.5702,2.33147e-16,0.387157,0.387157,0.675849,0.689246,0.225281,0.153792
39,982.302,1,5.29766,21.9737,6.97189,23.2133,2.33147e-16,0.377354,0.377354,0.658736,0.671794,0.231528,0.146103
40,973.571,1,5.2836,22.1348,7.04185,21.3394,2.33147e-16,0.367799,0.367799,0.642057,0.654784,0.240236,0.138798
41,962.894,1,5.27498,20.6422,7.24638,23.6154,2.33147e-16,0.358486,0.358486,0.671196,0.638204,0.258292,0.131858
42,950.014,1,5.24682,20.5577,6.86897,23.1519,2.33147e-16,0.349409,0.349409,0.654201,0.622044,0.265511,0.125265
43,943.602,1,5.23539,21.3405,6.75412,21.3284,2.33147e-16,0.340562,0.340562,0.637636,0.606294,0.263514,0.119002
44,937.18,1,5.1865,21.1594,6.63785,23.4659,2.33147e-16,0.331938,0.331938,0.621491,0.590942,0.273066,0.113052
45,934.957,1,5.13097,20.8236,6.6109,24.0552,2.33147e-16,0.323534,0.323534,0.605754,0.601553,0.289892,0.107399
46,920.379,1,5.13082,20.7624,6.58019,24.1828,2.33147e-16,0.315341,0.315341,0.590416,0.586321,0.283706,0.102029
47,919.41,1,5.11842,20.1174,6.51594,24.3083,2.33147e-16,0.307357,0.307357,0.575467,0.575861,0.287317,0.0969276
48,906.956,1,5.10906,20.4173,6.22655,23.8458,2.33147e-16,0.299574,0.299574,0.560895,0.56128,0.295327,0.0920812
49,897.354,1,5.12032,21.05,6.57726,25.9615,2.33147e-16,0.291989,0.291989,0.546693,0.547068,0.292615,0.0874771
50,897.167,1,5.10947,20.6422,6.44698,24.4838,2.33147e-16,0.284596,0.299399,0.532851,0.549893,0.297336,0.0831033
51,897.344,1,5.08844,20.8205,6.16228,24.3364,2.33147e-16,0.28383,0.293408,0.519359,0.587222,0.298348,0.0789481
52,884.845,1,5.09431,20.2565,6.14641,23.131,2.33147e-16,0.276643,0.285979,0.520098,0.586701,0.295922,0.0750007
53,892.921,1,5.09991,20.0871,6.1541,24.4043,2.33147e-16,0.269638,0.278738,0.521466,0.608067,0.296541,0.0756783
54,887.796,1,5.11347,20.3745,5.98012,24.4667,2.33147e-16,0.262811,0.27168,0.508262,0.628882,0.301209,0.0733262
55,884.625,1,5.07388,20.7359,5.99327,25.3904,2.44804e-16,0.256156,0.286716,0.499653,0.621735,0.307028,0.0696599
56,885.437,1,5.0996,20.4202,5.9528,24.6903,2.44804e-16,0.255976,0.28924,0.49939,0.616241,0.303141,0.07064
57,881.98,1,5.09303,20.4715,6.04466,26.6915,2.44804e-16,0.256126,0.281916,0.529182,0.6301,0.29971,0.0696423
58,888.349,1,5.05797,20.614,6.02637,26.0135,2.44804e-16,0.249641,0.306838,0.550815,0.647438,0.301674,0.070267
59,884.007,1,5.06503,20.482,6.04853,26.6222,2.44804e-16,0.254198,0.299069,0.551488,0.631044,0.303663,0.0692691
60,880.91,1,5.108,20.2529,6.13356,25.5082,2.44804e-16,0.260223,0.291496,0.575844,0.637165,0.302718,0.0673602
61,878.979,1,5.10232,20.4989,6.07031,25.4194,2.44804e-16,0.260123,0.284115,0.615249,0.621032,0.307505,0.0658208
62,877.063,1,5.08904,20.6732,5.80444,25.7303,2.44804e-16,0.253536,0.28576,0.599671,0.605307,0.294566,0.0688604
63,874.841,1,5.09408,20.6576,5.48291,25.2391,2.44804e-16,0.248363,0.279954,0.595296,0.58998,0.300183,0.0668516
64,871.371,1,5.10456,21.0353,5.56365,27.4517,2.44804e-16,0.248182,0.285856,0.580222,0.611684,0.299095,0.0656713
65,871.945,1,5.11404,20.9121,5.82628,27.1505,2.57044e-16,0.248564,0.279328,0.589523,0.596196,0.305069,0.0649466
66,864.637,1,5.09695,20.9426,5.85405,27.5696,2.57044e-16,0.265015,0.276759,0.574596,0.5811,0.310391,0.0617437
67,859.953,1,5.09141,21.0485,5.68425,26.5625,2.57044e-16,0.261814,0.278715,0.569682,0.596848,0.308224,0.0600871
68,852.645,1,5.10646,21.1259,5.88556,27.5478,2.57044e-16,0.260172,0.272374,0.594337,0.581735,0.306557,0.0585032
69,854.099,1,5.09886,20.6823,5.95053,28.7751,2.57044e-16,0.273219,0.276331,0.599963,0.567005,0.312777,0.0574971
70,847.932,1,5.07846,20.968,5.85238,30.507,2.69897e-16,0.26839,0.286987,0.60144,0.552648,0.307544,0.0563294
71,854.386,1,5.06345,21.2429,5.34123,30.9918,2.69897e-16,0.265865,0.291289,0.617907,0.562801,0.306814,0.0579415
72,856.95,1,5.09216,21.6477,4.92793,28.7255,2.69897e-16,0.265425,0.293965,0.602261,0.54855,0.312254,0.0583595
73,855.704,1,5.05876,21.4358,4.9919,27.8031,2.69897e-16,0.261506,0.286522,0.651253,0.534661,0.307132,0.0590281
74,867.418,1,5.07827,21.5567,5.19366,27.1525,2.69897e-16,0.265094,0.279267,0.670352,0.551989,0.305646,0.0622038
75,868.668,1,5.08667,21.5221,5.27603,26.9176,2.69897e-16,0.262796,0.272196,0.653379,0.633517,0.304447,0.0637726
76,860.755,1,5.06147,21.3485,5.44448,26.9205,2.69897e-16,0.257476,0.267219,0.636835,0.617476,0.308803,0.0606682
77,853.984,1,5.06682,21.517,5.2654,27.5053,2.83391e-16,0.260505,0.261328,0.62071,0.601841,0.306036,0.0593716
78,851.379,1,5.08665,21.39,5.24811,27.4272,2.83391e-16,0.25955,0.267884,0.604993,0.586602,0.305489,0.0591759
79,850.343,1,5.07375,21.0638,5.51688,29.6824,2.83391e-16,0.256183,0.27251,0.589674,0.571749,0.306645,0.058355
80,856.044,1,5.08607,21.0299,5.50218,30.482,2.83391e-16,0.258426,0.26561,0.574743,0.557272,0.311676,0.060773
81,853.242,1,5.08997,21.1178,5.40789,29.6959,2.83391e-16,0.256038,0.276473,0.56019,0.544046,0.310073,0.059455
82,851.163,1,5.06703,21.2455,5.51972,29.077,2.83391e-16,0.262233,0.269473,0.574336,0.549553,0.312955,0.0581476
83,855.822,1,5.09447,21.208,5.58271,29.1188,2.97561e-16,0.255593,0.262649,0.560507,0.556417,0.302526,0.0619658
84,862.913,1,5.08941,21.1356,5.85928,28.4401,2.97561e-16,0.261497,0.255999,0.593568,0.607253,0.304294,0.0621437
85,866.925,1,5.12358,21.5629,5.81641,30.5689,2.97561e-16,0.263949,0.280979,0.578538,0.591877,0.302432,0.0634299
86,866.369,1,5.10092,21.2203,5.7064,28.8187,2.97561e-16,0.258917,0.273865,0.613516,0.61752,0.307209,0.0617932
87,860.482,1,5.10788,21.2926,5.60969,26.993,2.97561e-16,0.25684,0.26693,0.627951,0.601884,0.303829,0.0621221
88,857.865,1,5.14863,21.0409,5.55144,26.1132,3.12439e-16,0.25209,0.280318,0.645755,0.586644,0.303239,0.061125
89,857.904,1,5.14178,21.2633,5.83669,25.6311,3.12439e-16,0.255893,0.2781,0.629404,0.571789,0.301337,0.0618324
90,856.184,1,5.14745,21.0108,5.739,24.6816,3.12439e-16,0.249414,0.274011,0.613467,0.557311,0.303703,0.0613684
91,853.559,1,5.12776,20.7782,5.62821,24.1734,3.12439e-16,0.253754,0.294893,0.597934,0.5432,0.307626,0.0595565
92,852.522,1,5.13895,20.7469,5.67256,23.4082,3.12439e-16,0.254096,0.292315,0.618866,0.529446,0.310987,0.058229
93,855.964,1,5.15107,20.9148,5.72176,22.5724,3.12439e-16,0.2536,0.316023,0.603196,0.51604,0.305755,0.0616404
94,854.966,1,5.14625,20.738,5.87649,22.6374,3.12439e-16,0.251877,0.308021,0.587923,0.502974,0.309819,0.061115
95,858.361,1,5.15014,20.9621,5.88207,23.6417,3.12439e-16,0.254805,0.300222,0.573036,0.490238,0.307882,0.0622242
96,850.88,1,5.16258,21.1919,5.66686,22.9896,3.12439e-16,0.25642,0.29262,0.558527,0.477825,0.306024,0.0599646
97,847.529,1,5.13089,20.7658,5.75079,24.3302,3.12439e-16,0.25401,0.285211,0.544384,0.476736,0.305034,0.0597412
98,849.551,1,5.14992,21.0845,5.68912,23.1741,3.12439e-16,0.256469,0.277989,0.589364,0.513832,0.304692,0.0591428
99,850.994,1,5.17124,20.9941,6.14347,23.3238,3.12439e-16,0.255391,0.293648,0.574441,0.504089,0.303414,0.0601616
100,858.739,1,5.15921,20.8463,5.78445,23.056,3.12439e-16,0.253692,0.316304,0.559896,0.498119,0.303698,0.0618624
101,856.717,1,5.12057,20.8717,5.84596,24.2942,3.12439e-16,0.260593,0.308295,0.577762,0.496724,0.310753,0.0598391
102,854.746,1,5.09521,20.6439,5.88243,24.2532,3.12439e-16,0.261857,0.300488,0.581053,0.484146,0.306998,0.0610424
103,853.667,1,5.12463,20.6902,5.88563,27.417,3.28061e-16,0.25548,0.29387,0.572177,0.471888,0.303306,0.0619425
104,853.539,1,5.1283,20.7897,5.76051,28.3854,3.28061e-16,0.260346,0.291993,0.559049,0.459939,0.303934,0.0617019
105,853.348,1,5.13558,20.889,5.87305,28.2083,3.28061e-16,0.253754,0.284599,0.615316,0.45999,0.301117,0.061771
106,856.007,1,5.13845,20.4453,6.04414,28.034,3.44464e-16,0.262685,0.277393,0.620026,0.448343,0.307198,0.0612692
107,851.907,1,5.12063,20.535,5.79344,29.1122,3.61687e-16,0.260654,0.270369,0.605752,0.449623,0.308208,0.0599329
108,855.112,1,5.07237,20.7102,5.64823,28.2215,3.61687e-16,0.265439,0.263523,0.64483,0.474307,0.308301,0.0602314
109,851.297,1,5.10118,20.6339,5.74337,26.3138,3.61687e-16,0.261718,0.265817,0.666697,0.475349,0.305582,0.0589401
110,854.864,1,5.07857,20.7161,5.71702,27.149,3.79772e-16,0.266213,0.259086,0.649816,0.474404,0.306582,0.0606039
111,855.112,1,5.09967,20.7194,5.659,27.4203,3.9876e-16,0.266587,0.264356,0.633362,0.476779,0.304235,0.0609804
112,848.164,1,5.1204,20.7802,5.76033,27.5258,3.9876e-16,0.268959,0.257662,0.617325,0.464706,0.309337,0.0589828
113,838.787,1,5.11164,20.6316,5.88732,27.9911,3.9876e-16,0.265321,0.251138,0.656353,0.45294,0.308226,0.0565846
114,842.278,1,5.10638,20.3403,6.02046,27.4228,3.9876e-16,0.264567,0.254085,0.715701,0.441471,0.31225,0.0563784
115,851.775,1,5.1195,20.2555,6.1878,27.8702,3.9876e-16,0.265234,0.266402,0.728731,0.430293,0.307263,0.0596633
116,854.418,1,5.1206,20.2844,5.88706,27.5954,3.9876e-16,0.266618,0.259656,0.71977,0.419398,0.302341,0.061498
117,857.21,1,5.14367,20.6873,6.11662,27.6034,3.9876e-16,0.259867,0.266618,0.71058,0.420388,0.30904,0.0608366
118,856.04,1,5.14606,20.3462,6.14693,27.8869,4.18698e-16,0.258608,0.274128,0.72771,0.409744,0.308372,0.0603628
119,860.354,1,5.1448,20.724,5.94584,27.144,4.18698e-16,0.257512,0.277175,0.709284,0.404022,0.307096,0.0623616
120,847.833,1,5.14152,20.3113,6.24147,25.42,4.18698e-16,0.256192,0.285004,0.691325,0.396657,0.306964,0.0592435
121,858.292,1,5.16143,19.9956,6.29211,25.6016,4.18698e-16,0.25621,0.277787,0.67382,0.414912,0.302302,0.0632919
122,854.318,1,5.16592,20.2576,6.59022,24.6862,4.39633e-16,0.261867,0.270754,0.674226,0.404406,0.306877,0.0615438
123,861.267,1,5.20139,20.6438,6.33629,24.3052,4.61615e-16,0.255237,0.263898,0.671281,0.394166,0.305952,0.065426
124,855.853,1,5.16984,20.5846,6.27142,23.9572,4.84696e-16,0.248774,0.263698,0.654284,0.384186,0.301524,0.0644257
125,854.434,1,5.17556,20.3006,6.3459,24.059,4.84696e-16,0.249291,0.272936,0.637717,0.375285,0.301614,0.0635308
126,855.479,1,5.16422,20.3073,6.02704,24.4825,5.0893e-16,0.25501,0.277601,0.656703,0.365783,0.306887,0.0630155
127,857.518,1,5.16884,20.3742,6.21523,23.0466,5.0893e-16,0.254871,0.278659,0.649633,0.356521,0.303967,0.0645511
128,849.179,1,5.19759,20.2549,6.22348,24.5579,5.34377e-16,0.255256,0.271604,0.675617,0.347493,0.304628,0.0625581
129,849.401,1,5.18609,20.4408,6.2693,23.9235,5.61096e-16,0.255138,0.264726,0.65851,0.338695,0.304066,0.0634559
130,846.813,1,5.15586,20.4883,6.12471,23.7516,5.61096e-16,0.254153,0.258023,0.657191,0.339692,0.305652,0.0619705
131,838.96,1,5.15587,20.3991,6.11048,25.1247,5.61096e-16,0.253934,0.25149,0.662191,0.33109,0.303965,0.0598256
