iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,beta_Cl_logtCLCRMLMIN,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
1,1517.39,1,2.62973,6.10874,30.7597,21.6974,1,1,0.624405,0.998761,1.5,1.5,1.5,1.2
2,1502.06,1,4.22842,7.63192,46.9436,30.823,0.974679,0.974679,0.650517,0.998761,1.46202,1.53595,1.46202,1.16962
3,1486.22,1,4.65917,6.19246,42.6295,28.7596,0.95,0.95,0.338107,0.998761,1.425,1.49706,1.425,1.14
4,1478.94,1,4.53517,7.28577,39.1794,27.1036,0.925945,0.925945,1.04789,0.998761,1.38892,1.59033,1.38892,1.11113
5,1471.38,1,4.17707,5.37684,45.4598,30.3843,0.9025,0.9025,0.958235,0.998761,1.35375,1.58907,1.35375,1.083
6,1454.18,1,4.35327,7.18853,45.7961,30.6472,0.879648,0.879648,1.03926,0.998761,1.31947,1.58086,1.31947,1.05558
7,1451.03,1,4.57493,7.12545,44.3928,29.6493,0.857375,0.857375,1.11205,0.998761,1.28606,1.64769,1.28606,1.02885
8,1424.08,1,4.83624,8.24145,36.966,25.3279,0.835666,0.835666,0.590018,0.998761,1.2535,1.6573,1.2535,1.0028
9,1418.08,1,4.98476,7.15758,40.1656,27.1589,0.814506,0.814506,0.615959,0.998761,1.22176,1.68243,1.22176,0.977407
10,1399.89,1,5.38317,8.0594,36.7698,25.3968,0.793882,0.793882,0.43027,0.998761,1.19082,1.63983,1.19082,0.952659
11,1400.21,1,5.35208,6.87316,40.1483,27.084,0.773781,0.773781,0.512679,0.998761,1.16067,1.59831,1.16067,0.928537
12,1383.32,1,5.25505,6.79494,32.1842,22.7703,0.754188,0.754188,0.564988,0.998761,1.13128,1.56797,1.13128,0.905026
13,1372.95,1,5.3777,12.2503,31.1334,22.0446,0.735092,0.735092,0.531258,0.998761,1.10264,1.52827,1.10264,0.88211
14,1367.89,1,5.12855,10.6656,32.4778,22.7027,0.716479,0.716479,0.376476,0.998761,1.07472,1.73184,1.07472,0.859775
15,1349.87,1,5.26549,11.5139,31.9742,22.4194,0.698337,0.698337,0.610494,0.998761,1.04751,1.7133,1.04751,0.838005
16,1344.5,1,5.11048,11.1846,28.9297,20.6801,0.680655,0.680655,0.691075,0.998761,1.02098,1.70019,1.02098,0.816786
17,1327.98,1,5.07489,8.9701,28.062,20.508,0.66342,0.66342,0.523963,0.998761,0.995131,1.67725,0.995131,0.796105
18,1313.59,1,5.25491,11.0292,28.1847,20.6069,0.646622,0.646622,0.488785,0.998761,0.969933,1.64432,0.969933,0.775947
19,1301.69,1,5.1075,9.24685,28.7179,20.8569,0.630249,0.630249,0.388473,0.998761,0.945374,1.6186,0.945374,0.756299
20,1297.36,1,5.28019,9.14494,27.0998,19.9558,0.614291,0.614291,0.565446,0.998761,0.921437,1.57762,0.921437,0.737149
21,1278.13,1,5.18985,10.5568,25.7014,19.3138,0.598737,0.598737,0.398741,0.998761,0.898105,1.53767,0.898105,0.718484
22,1270.23,1,5.14704,9.04027,28.2493,20.9356,0.583577,0.583577,0.271604,0.998761,0.875365,1.49873,0.875365,0.700292
23,1259.06,1,5.02912,6.70872,28.9792,21.4929,0.5688,0.5688,0.590181,0.998761,0.8532,1.46079,0.8532,0.68256
24,1239.81,1,5.29926,5.53333,29.0751,21.4436,0.554398,0.554398,0.648502,0.998761,0.831597,1.4238,0.831597,0.665277
