iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
40,883.754,1,9.70375,11.3313,43.9401,56.3907,2.22045e-16,0.309533,0.0997603,0.14839,0.959671,0.367799,0.636983,0.367799,1.14153,0.367799
41,888.829,1,9.62868,11.5233,44.1423,55.1875,2.22045e-16,0.333666,0.102072,0.143251,0.957194,0.358486,0.644027,0.358486,1.11263,0.358486
42,881.401,1,9.64782,11.4099,42.0692,53.6999,2.22045e-16,0.307326,0.0992031,0.144061,0.945759,0.349409,0.631016,0.349409,1.08445,0.349409
43,882.193,1,9.71818,11.4351,42.3179,52.5687,2.22045e-16,0.332408,0.101059,0.143306,0.945463,0.340562,0.615038,0.340562,1.10704,0.340562
44,882.753,1,9.70531,11.4065,43.2224,50.7642,2.22045e-16,0.267107,0.0997008,0.146064,0.96359,0.331938,0.65373,0.331938,1.11174,0.331938
45,882.004,1,9.78641,11.0522,43.2526,48.219,2.22045e-16,0.235714,0.0984825,0.157461,0.958979,0.323534,0.637177,0.323534,1.08359,0.323534
46,878.923,1,9.76535,10.8631,42.9408,49.5632,2.22045e-16,0.225124,0.0974454,0.156127,0.963023,0.315341,0.621044,0.315341,1.05616,0.315341
47,878.444,1,9.79351,10.5546,45.3356,51.0625,2.22045e-16,0.366639,0.0999173,0.145907,0.968458,0.307357,0.616839,0.307357,1.04362,0.307357
48,879.379,1,9.81331,10.5099,43.9951,52.5049,2.22045e-16,0.402533,0.100616,0.139994,0.953811,0.299574,0.695206,0.299574,1.01719,0.299574
49,884.938,1,9.88354,10.8799,44.0884,50.425,2.22045e-16,0.361181,0.101869,0.148202,0.958814,0.291989,0.729313,0.291989,0.991437,0.291989
50,882.95,1,9.89079,10.8823,44.6977,53.1085,2.22045e-16,0.459232,0.106335,0.135733,0.94097,0.284596,0.718625,0.284596,1.00169,0.284596
51,884.899,1,9.91459,10.7449,44.7042,50.4067,2.22045e-16,0.43856,0.108236,0.135753,0.975072,0.27739,0.723465,0.27739,0.976323,0.27739
52,882.778,1,9.83637,12.2929,44.0557,48.4857,2.22045e-16,0.349731,0.110858,0.134324,0.960563,0.270366,0.705146,0.270366,1.0533,0.270366
53,877.408,1,9.88497,12.5253,42.8737,51.4641,2.22045e-16,0.423459,0.111455,0.127271,0.95951,0.26352,0.687292,0.26352,1.02663,0.26352
54,883.68,1,9.72151,12.3417,42.9907,54.9384,2.22045e-16,0.353095,0.108933,0.135411,0.960663,0.276923,0.686311,0.256848,1.00063,0.273815
55,879.21,1,9.87774,13.9292,43.2666,57.1467,2.22045e-16,0.343596,0.110956,0.132745,0.956815,0.282644,0.707575,0.250344,0.975297,0.274169
56,881.318,1,9.86697,13.9828,42.5171,57.0686,2.10942e-16,0.293719,0.105408,0.143086,0.976394,0.276708,0.731702,0.244005,0.995035,0.27759
57,876.679,1,9.85593,13.9926,42.7855,55.928,2.22045e-16,0.375874,0.10741,0.132176,0.96185,0.275736,0.77423,0.237827,0.976753,0.270561
58,881.731,1,9.88335,14.5717,42.3983,53.0831,2.22045e-16,0.297926,0.110206,0.139779,0.956848,0.276419,0.754626,0.231805,0.952021,0.271898
59,875.432,1,9.91781,13.9695,42.3276,53.7738,2.22045e-16,0.336727,0.11102,0.13524,0.961305,0.293418,0.735518,0.225936,0.94579,0.265013
60,876.835,1,9.98419,13.9768,42.856,52.1755,2.22045e-16,0.452664,0.111123,0.128581,0.960073,0.285989,0.755387,0.220215,0.93865,0.261949
61,880.744,1,10.0105,13.8468,43.1515,52.628,2.22045e-16,0.440524,0.116239,0.127236,0.974859,0.278747,0.73626,0.214639,0.93867,0.255317
62,880.685,1,9.96452,14.3418,43.6439,50.5323,2.22045e-16,0.304165,0.114942,0.132228,0.972436,0.274531,0.828569,0.209204,1.00946,0.25477
63,875.244,1,9.94066,12.8461,43.3388,53.479,2.22045e-16,0.274525,0.111943,0.137395,0.967424,0.26758,0.807589,0.203907,1.04216,0.258954
64,880.419,1,9.85891,13.2868,43.3036,54.1832,2.22045e-16,0.456336,0.107647,0.133953,0.972875,0.270359,0.790579,0.198744,1.01577,0.252397
65,876.831,1,9.87129,12.6112,43.8128,54.8556,2.22045e-16,0.462856,0.110011,0.133726,0.963322,0.263513,0.770561,0.193711,0.990053,0.246006
66,874.557,1,9.85001,13.0006,44.6211,55.2883,2.22045e-16,0.310149,0.111376,0.136305,0.965092,0.263033,0.75105,0.188807,0.964984,0.259644
67,863.454,1,9.99098,13.077,43.941,52.6337,2.22045e-16,0.29475,0.109887,0.134672,0.955974,0.256373,0.732033,0.184026,0.94055,0.262055
68,856.463,1,9.97087,12.1991,43.2091,55.9945,2.22045e-16,0.353345,0.106395,0.130297,0.957303,0.249882,0.736806,0.179366,0.916735,0.258851
69,873.079,1,9.93473,11.2802,43.0448,50.8878,2.22045e-16,0.25261,0.10671,0.150052,0.967921,0.257163,0.743665,0.174825,0.939036,0.257962
70,872.6,1,10.0647,11.2867,43.346,47.8629,2.22045e-16,0.351991,0.111268,0.139307,0.963565,0.250652,0.724835,0.170398,0.915259,0.264823
71,868.645,1,10.0384,11.0816,43.8836,45.6871,2.22045e-16,0.441144,0.11061,0.135205,0.958824,0.244305,0.706482,0.166083,0.892084,0.258118
72,860.75,1,10.0321,11.5538,43.8549,47.7735,2.22045e-16,0.403915,0.105886,0.135843,0.951977,0.238822,0.718057,0.161878,0.869496,0.257492
