iteration,E_fi,sd_fi,E_Cl,sd_Cl,E_V1,sd_V1,E_Q2,sd_Q2,E_V2,sd_V2,E_Q3,sd_Q3,E_V3,sd_V3
1,0.933647,0.0835889,10.4148,0.0685602,44.7358,0.115397,15.7118,4.44247e-08,54.8587,0.65802,3.65167,4.82906e-08,1.74978,5.84812e-08
2,0.933136,0.0700914,10.425,0.0592155,44.8057,0.106515,15.7118,3.59869e-08,54.4033,0.597889,3.65167,4.6162e-08,1.74978,5.73361e-08
3,0.933436,0.0682915,10.4369,0.0596212,44.6862,0.105326,15.7118,3.88449e-08,54.7734,0.581482,3.65167,4.3761e-08,1.74978,5.32507e-08
4,0.930578,0.0666037,10.4283,0.0600792,44.5377,0.103424,15.7118,3.30652e-08,54.4456,0.563027,3.65167,4.14973e-08,1.74978,5.11676e-08
5,0.929694,0.0644079,10.4155,0.0607582,44.5979,0.101015,15.7118,3.11134e-08,54.8341,0.565779,3.65167,3.96355e-08,1.74978,5.15843e-08
6,0.931157,0.0633533,10.4178,0.0599563,44.6642,0.0986643,15.7118,4.02117e-08,55.8812,0.555603,3.65167,4.12394e-08,1.74978,5.12339e-08
7,0.931085,0.0635824,10.4057,0.0606369,44.7841,0.0970184,15.7118,3.36877e-08,57.5904,0.564511,3.65167,3.8996e-08,1.74978,5.09148e-08
8,0.930964,0.0649273,10.4085,0.0612032,44.8331,0.0984677,15.7118,4.00921e-08,58.315,0.567569,3.65167,3.97297e-08,1.74978,5.10542e-08
9,0.931304,0.0642671,10.4032,0.0605919,44.8015,0.0969147,15.7118,4.19043e-08,58.0324,0.570989,3.65167,4.06017e-08,1.74978,5.1229e-08
10,0.931627,0.0637653,10.4106,0.0597562,44.7794,0.0969803,15.7118,3.47024e-08,57.4756,0.565054,3.65167,4.06654e-08,1.74978,5.11974e-08
11,0.931724,0.0636406,10.4167,0.0584921,44.7492,0.0984453,15.7118,4.71036e-08,56.4576,0.561506,3.65167,4.07278e-08,1.74978,5.10359e-08
12,0.932306,0.0632848,10.4266,0.0578355,44.7476,0.0990709,15.7118,4.7143e-08,55.7288,0.556658,3.65167,4.07488e-08,1.74978,5.08039e-08
13,0.932174,0.0633461,10.4307,0.0570192,44.7354,0.0989176,15.7118,4.52937e-08,54.3752,0.552337,3.65167,4.1028e-08,1.74978,5.04822e-08
14,0.931905,0.0633389,10.4326,0.0566589,44.7256,0.0978246,15.7118,3.8528e-08,53.9099,0.550297,3.65167,4.13431e-08,1.74978,5.00908e-08
15,0.931339,0.0631451,10.437,0.0561273,44.6929,0.0969181,15.7118,3.52308e-08,53.3234,0.54689,3.65167,4.05203e-08,1.74978,4.99235e-08
16,0.931107,0.0632574,10.4387,0.0557601,44.6584,0.0961705,15.7118,3.68777e-08,52.7706,0.542923,3.65167,4.08007e-08,1.74978,4.92904e-08
17,0.930513,0.0629544,10.4406,0.0552798,44.6453,0.0959423,15.7118,3.47253e-08,52.5394,0.541825,3.65167,4.1298e-08,1.74978,4.93631e-08
18,0.931167,0.062901,10.4453,0.0548161,44.6642,0.0958287,15.7118,3.89367e-08,52.4751,0.542799,3.65167,4.14887e-08,1.74978,4.8991e-08
