iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
50,926.054,1,5.66621,20.5961,7.48921,25.8054,0.284596,0.284596,0.717378,0.284596,0.998761,0.284596,0.284596
51,923.205,1,5.63771,20.8,6.23243,25.9866,0.27739,0.27739,0.699214,0.27739,0.998761,0.27739,0.27739
52,910.564,1,5.60428,21.1105,6.6981,26.439,0.270366,0.278235,0.681509,0.275756,0.998761,0.270366,0.270366
53,912.196,1,5.53134,21.2489,6.84473,26.6568,0.26352,0.290924,0.667376,0.287571,0.998761,0.26352,0.26352
54,912.017,1,5.60809,21.8752,6.61336,27.4725,0.256848,0.28529,0.650478,0.283141,0.998761,0.256848,0.256848
55,895.61,1,5.63228,22.9136,6.04232,28.8296,0.250344,0.290987,0.634008,0.288448,0.998761,0.250344,0.250344
56,892.244,1,5.63938,22.5597,6.30825,28.4126,0.244005,0.283619,0.617954,0.281145,0.998761,0.244005,0.244005
57,882.195,1,5.66403,22.7042,6.17315,28.6536,0.237827,0.2779,0.602307,0.274965,0.998761,0.237827,0.237827
58,874.223,1,5.56026,22.5298,5.75324,28.4196,0.231805,0.286432,0.587057,0.281001,0.998761,0.231805,0.231805
59,874.343,1,5.5621,22.0062,5.86879,27.7762,0.225936,0.279179,0.613998,0.273886,0.998761,0.225936,0.225936
60,868.466,1,5.58259,22.2127,6.21834,27.9854,0.220215,0.27211,0.643902,0.266951,0.998761,0.220215,0.220215
61,863.83,1,5.64131,21.7689,6.34911,27.475,0.214639,0.269474,0.631797,0.265137,0.998761,0.214639,0.214639
62,860.573,1,5.58678,22.2289,6.27252,28.0806,0.209204,0.263578,0.699655,0.259277,0.998761,0.209204,0.209204
63,857.728,1,5.59981,22.6071,5.38838,28.5172,0.203907,0.256904,0.722659,0.252712,0.998761,0.203907,0.203907
64,842.638,1,5.57672,22.6974,5.70644,28.6771,0.198744,0.250399,0.747891,0.246313,0.998761,0.198744,0.198744
65,833.142,1,5.59972,23.0338,5.56778,29.0425,0.193711,0.248999,0.728954,0.243162,0.998761,0.193711,0.193711
66,838.454,1,5.70966,23.0267,5.79128,29.0333,0.188807,0.242883,0.710497,0.238677,0.998761,0.190323,0.188807
67,825.912,1,5.68027,22.5535,6.5153,28.519,0.184026,0.236733,0.692507,0.232634,0.998761,0.186011,0.184026
68,821.792,1,5.71446,22.2327,6.8377,28.0618,0.179366,0.231838,0.674972,0.229103,0.998761,0.185935,0.179366
69,827.144,1,5.64545,21.4401,7.71503,27.0193,0.179609,0.247715,0.657881,0.243294,0.998761,0.191719,0.174825
70,827.745,1,5.70011,20.9223,8.4744,26.3877,0.176286,0.244767,0.646674,0.241405,0.998761,0.194564,0.170398
71,821.112,1,5.69304,20.5829,8.12494,25.9802,0.173701,0.243765,0.694963,0.241729,0.998761,0.203735,0.166083
72,819.736,1,5.71201,20.8429,7.94471,26.281,0.169303,0.265769,0.677366,0.266476,0.998761,0.206357,0.161878
