parameter,value
Cl_pop,2.90045986186935
beta_Cl_CLCRMLMIN,0.00411207617567775
beta_Cl_WTKG,0.0108832404724437
V1_pop,43.7606923035246
Q_pop,0.00710079192809392
beta_Q_AGEA,0.0405923647858837
beta_Q_CLCRMLMIN,0.00735285059203225
beta_Q_HCM,0.0267331179582957
V2_pop,50.9739592329785
beta_V2_CLCRMLMIN,0.000225694403588772
omega_Cl,0.188490571459862
omega_V1,0.256714859820109
omega_Q,0.0585010293433442
omega_V2,0.211001435023502
corr_V2_V1,0.998936271133483
a1,0.305854181392674
a2,0.0615435049846568
