parameter,value,se_sa,rse_sa
Cl_pop,5.16126788662437,0.35071213634724,6.79507717970084
V1_pop,20.5072161806464,1.6593394340494,8.0914904267474
Q_pop,6.10644553291388,1.44371917506425,23.6425456885282
V2_pop,24.8029611931465,3.1081054481326,12.5311869979115
omega_Cl,0.252489735464988,0.0484973146340136,19.2076381024759
omega_V1,0.250687897019594,0.0779664554632331,31.1010050306255
omega_Q,0.677491669338327,0.180252167268547,26.6058130935529
omega_V2,0.379215820935883,0.119818296259148,31.5963337087158
corr_V2_V1,0.999,0.00371226883038399,0.371598481519919
a1,0.302295138321446,0.0229209318590996,7.58230250951854
a2,0.0639275716100788,0.00658583238383084,10.3020218318328
