Cl_vs_Q2_abscissa,Cl_vs_Q2_spline,Cl_vs_Q2_regression,Cl_vs_Q3_abscissa,Cl_vs_Q3_spline,Cl_vs_Q3_regression,Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,Cl_vs_V2_abscissa,Cl_vs_V2_spline,Cl_vs_V2_regression,Cl_vs_V3_abscissa,Cl_vs_V3_spline,Cl_vs_V3_regression,Q2_vs_Cl_abscissa,Q2_vs_Cl_spline,Q2_vs_Cl_regression,Q2_vs_Q3_abscissa,Q2_vs_Q3_spline,Q2_vs_Q3_regression,Q2_vs_V1_abscissa,Q2_vs_V1_spline,Q2_vs_V1_regression,Q2_vs_V2_abscissa,Q2_vs_V2_spline,Q2_vs_V2_regression,Q2_vs_V3_abscissa,Q2_vs_V3_spline,Q2_vs_V3_regression,Q3_vs_Cl_abscissa,Q3_vs_Cl_spline,Q3_vs_Cl_regression,Q3_vs_Q2_abscissa,Q3_vs_Q2_spline,Q3_vs_Q2_regression,Q3_vs_V1_abscissa,Q3_vs_V1_spline,Q3_vs_V1_regression,Q3_vs_V2_abscissa,Q3_vs_V2_spline,Q3_vs_V2_regression,Q3_vs_V3_abscissa,Q3_vs_V3_spline,Q3_vs_V3_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression,V1_vs_Q2_abscissa,V1_vs_Q2_spline,V1_vs_Q2_regression,V1_vs_Q3_abscissa,V1_vs_Q3_spline,V1_vs_Q3_regression,V1_vs_V2_abscissa,V1_vs_V2_spline,V1_vs_V2_regression,V1_vs_V3_abscissa,V1_vs_V3_spline,V1_vs_V3_regression,V2_vs_Cl_abscissa,V2_vs_Cl_spline,V2_vs_Cl_regression,V2_vs_Q2_abscissa,V2_vs_Q2_spline,V2_vs_Q2_regression,V2_vs_Q3_abscissa,V2_vs_Q3_spline,V2_vs_Q3_regression,V2_vs_V1_abscissa,V2_vs_V1_spline,V2_vs_V1_regression,V2_vs_V3_abscissa,V2_vs_V3_spline,V2_vs_V3_regression,V3_vs_Cl_abscissa,V3_vs_Cl_spline,V3_vs_Cl_regression,V3_vs_Q2_abscissa,V3_vs_Q2_spline,V3_vs_Q2_regression,V3_vs_Q3_abscissa,V3_vs_Q3_spline,V3_vs_Q3_regression,V3_vs_V1_abscissa,V3_vs_V1_spline,V3_vs_V1_regression,V3_vs_V2_abscissa,V3_vs_V2_spline,V3_vs_V2_regression
-2.40862,0.0248012,-0.0323026,-15.2993,0.108705,-0.0640298,-0.204897,-0.0846105,-0.262896,-1.45562,-0.0101471,-0.0527004,-18.9987,0.0404884,0.110061,-0.779753,-0.1808,-0.216696,-15.2993,-0.171671,-0.0596105,-0.204897,0.658612,0.277132,-1.45562,-1.38292,-0.229454,-18.9987,0.264726,0.109235,-0.779753,-3.34114,-2.20251,-2.40862,-1.80463,-0.195159,-0.204897,-0.202044,0.464062,-1.45562,-3.98041,0.183729,-18.9987,-4.56353,2.23868,-0.779753,-0.0911936,-0.102936,-2.40862,0.0227431,0.0189453,-15.2993,0.0493972,0.000569213,-1.45562,0.010172,-0.0466206,-18.9987,0.0410064,0.0206284,-0.779753,0.0417194,-0.216924,-2.40862,-0.495905,-0.190853,-15.2993,0.152486,-0.118859,-0.204897,-0.378431,-0.297693,-18.9987,-0.207754,-0.136733,-0.779753,0.103082,3.00041,-2.40862,6.9901,0.899879,-15.2993,-7.00482,2.14931,-0.204897,6.78671,2.07829,-1.45562,0.000493676,-0.142821
-2.3635,0.0410748,-0.0314832,-14.972,0.104004,-0.062432,-0.200949,-0.0865874,-0.257519,-1.43023,-0.0401875,-0.0514836,-18.6218,0.0461052,0.108113,-0.768111,-0.164987,-0.213711,-14.972,-0.158037,-0.0586398,-0.200949,0.64006,0.271421,-1.43023,-1.24675,-0.225349,-18.6218,0.268171,0.106809,-0.768111,-3.31326,-2.16854,-2.3635,-1.3791,-0.189493,-0.200949,0.0560199,0.457027,-1.43023,-3.97409,0.18224,-18.6218,-4.04698,2.19666,-0.768111,-0.090662,-0.101474,-2.3635,0.0254503,0.0185194,-14.972,0.0472737,0.000479319,-1.43023,0.00170356,-0.0458023,-18.6218,0.0353623,0.0201498,-0.768111,0.0106286,-0.215536,-2.3635,-0.44806,-0.189567,-14.972,0.136531,-0.118939,-0.200949,-0.375653,-0.294258,-18.6218,-0.182924,-0.136455,-0.768111,0.297051,2.95823,-2.3635,5.28989,0.885454,-14.972,-5.76081,2.10651,-0.200949,6.09221,2.04015,-1.43023,-0.630506,-0.137542
-2.31838,0.0571956,-0.0306639,-14.6448,0.0993042,-0.0608343,-0.197,-0.0885644,-0.252141,-1.40484,-0.070228,-0.0502668,-18.2448,0.051722,0.106165,-0.756469,-0.149174,-0.210726,-14.6448,-0.144404,-0.0576692,-0.197,0.621507,0.26571,-1.40484,-1.11059,-0.221244,-18.2448,0.271617,0.104383,-0.756469,-3.28538,-2.13457,-2.31838,-0.956168,-0.183827,-0.197,0.314084,0.449993,-1.40484,-3.96776,0.18075,-18.2448,-3.53043,2.15463,-0.756469,-0.0901303,-0.100013,-2.31838,0.0281372,0.0180934,-14.6448,0.0451503,0.000389426,-1.40484,-0.00676493,-0.0449841,-18.2448,0.0297182,0.0196713,-0.756469,-0.0204621,-0.214148,-2.31838,-0.400345,-0.188281,-14.6448,0.120576,-0.119019,-0.197,-0.372875,-0.290823,-18.2448,-0.158095,-0.136177,-0.756469,0.49102,2.91604,-2.31838,3.60152,0.87103,-14.6448,-4.51681,2.0637,-0.197,5.39771,2.002,-1.40484,-1.26151,-0.132264
-2.27326,0.068783,-0.0298445,-14.3175,0.094604,-0.0592365,-0.193052,-0.0905413,-0.246763,-1.37945,-0.100268,-0.0490499,-17.8679,0.0573388,0.104217,-0.744827,-0.133362,-0.207742,-14.3175,-0.13077,-0.0566985,-0.193052,0.602955,0.26,-1.37945,-0.974424,-0.217138,-17.8679,0.275062,0.101957,-0.744827,-3.25749,-2.10059,-2.27326,-0.610759,-0.178162,-0.193052,0.572148,0.442958,-1.37945,-3.96144,0.179261,-17.8679,-3.01387,2.11261,-0.744827,-0.0895986,-0.098552,-2.27326,0.0302151,0.0176675,-14.3175,0.0430269,0.000299533,-1.37945,-0.0152334,-0.0441659,-17.8679,0.0240741,0.0191927,-0.744827,-0.0515528,-0.212759,-2.27326,-0.356548,-0.186996,-14.3175,0.10462,-0.119099,-0.193052,-0.370097,-0.287388,-17.8679,-0.133265,-0.135899,-0.744827,0.684989,2.87385,-2.27326,2.26487,0.856606,-14.3175,-3.2728,2.0209,-0.193052,4.70321,1.96386,-1.37945,-1.89251,-0.126985
-2.22814,0.078679,-0.0290252,-13.9903,0.0899039,-0.0576388,-0.189103,-0.0925183,-0.241385,-1.35406,-0.130309,-0.0478331,-17.491,0.0629556,0.102269,-0.733185,-0.117549,-0.204757,-13.9903,-0.117136,-0.0557279,-0.189103,0.584402,0.254289,-1.35406,-0.83826,-0.213033,-17.491,0.278507,0.0995304,-0.733185,-3.22961,-2.06662,-2.22814,-0.294543,-0.172496,-0.189103,0.830212,0.435924,-1.35406,-3.95511,0.177772,-17.491,-2.49732,2.07059,-0.733185,-0.0890669,-0.0970908,-2.22814,0.0320613,0.0172415,-13.9903,0.0409034,0.00020964,-1.35406,-0.0237019,-0.0433477,-17.491,0.0184301,0.0187142,-0.733185,-0.0826436,-0.211371,-2.22814,-0.314302,-0.18571,-13.9903,0.0886649,-0.119179,-0.189103,-0.367319,-0.283953,-17.491,-0.108435,-0.135621,-0.733185,0.878958,2.83167,-2.22814,1.0597,0.842181,-13.9903,-2.02879,1.97809,-0.189103,4.00871,1.92572,-1.35406,-2.52351,-0.121707
-2.18303,0.0843372,-0.0282058,-13.6631,0.0852037,-0.056041,-0.185155,-0.0971512,-0.236007,-1.32867,-0.160349,-0.0466163,-17.114,0.0685724,0.100321,-0.721543,-0.101736,-0.201772,-13.6631,-0.103502,-0.0547573,-0.185155,0.561121,0.248578,-1.32867,-0.702096,-0.208928,-17.114,0.281953,0.0971042,-0.721543,-3.20173,-2.03265,-2.18303,-0.0529928,-0.166831,-0.185155,1.03211,0.428889,-1.32867,-3.94879,0.176283,-17.114,-1.98077,2.02856,-0.721543,-0.0885352,-0.0956296,-2.18303,0.0333022,0.0168155,-13.6631,0.03878,0.000119747,-1.32867,-0.0321704,-0.0425295,-17.114,0.012786,0.0182357,-0.721543,-0.113734,-0.209983,-2.18303,-0.276447,-0.184425,-13.6631,0.0727096,-0.119259,-0.185155,-0.361514,-0.280518,-17.114,-0.0836054,-0.135343,-0.721543,1.07293,2.78948,-2.18303,0.18548,0.827757,-13.6631,-0.784789,1.93529,-0.185155,3.42212,1.88757,-1.32867,-3.15451,-0.116428
-2.13791,0.0873274,-0.0273865,-13.3358,0.0805036,-0.0544433,-0.181206,-0.106331,-0.23063,-1.30328,-0.19039,-0.0453995,-16.7371,0.0741892,0.0983734,-0.709901,-0.0859236,-0.198787,-13.3358,-0.0898685,-0.0537866,-0.181206,0.529746,0.242867,-1.30328,-0.565933,-0.204822,-16.7371,0.285398,0.094678,-0.709901,-3.17384,-1.99868,-2.13791,0.14116,-0.161165,-0.181206,1.13787,0.421855,-1.30328,-3.94246,0.174794,-16.7371,-1.46421,1.98654,-0.709901,-0.0880035,-0.0941683,-2.13791,0.0341555,0.0163896,-13.3358,0.0366566,2.98535e-05,-1.30328,-0.0406389,-0.0417113,-16.7371,0.00714189,0.0177571,-0.709901,-0.144825,-0.208595,-2.13791,-0.241484,-0.183139,-13.3358,0.0567542,-0.119339,-0.181206,-0.350526,-0.277083,-16.7371,-0.0587757,-0.135065,-0.709901,1.2669,2.74729,-2.13791,-0.480002,0.813333,-13.3358,0.459217,1.89249,-0.181206,3.02028,1.84943,-1.30328,-3.78551,-0.11115
-2.09279,0.0903175,-0.0265671,-13.0086,0.0749633,-0.0528455,-0.177258,-0.115511,-0.225252,-1.27789,-0.19456,-0.0441827,-16.3602,0.0728451,0.0964255,-0.698259,-0.0701109,-0.195803,-13.0086,-0.0783573,-0.052816,-0.177258,0.498371,0.237157,-1.27789,-0.510821,-0.200717,-16.3602,0.2643,0.0922519,-0.698259,-3.14596,-1.9647,-2.09279,0.335313,-0.155499,-0.177258,1.24362,0.41482,-1.27789,-3.78417,0.173305,-16.3602,-1.21258,1.94452,-0.698259,-0.0874718,-0.0927071,-2.09279,0.0350089,0.0159636,-13.0086,0.0343698,-6.00397e-05,-1.27789,-0.0424656,-0.040893,-16.3602,0.0069125,0.0172786,-0.698259,-0.175916,-0.207207,-2.09279,-0.206522,-0.181854,-13.0086,0.038288,-0.119419,-0.177258,-0.339539,-0.273647,-16.3602,-0.0547468,-0.134787,-0.698259,1.46087,2.70511,-2.09279,-1.14548,0.798908,-13.0086,1.34011,1.84968,-0.177258,2.61844,1.81129,-1.27789,-3.79014,-0.105871
-2.04767,0.0933077,-0.0257477,-12.6814,0.0685961,-0.0512478,-0.173309,-0.124692,-0.219874,-1.2525,-0.190192,-0.0429659,-15.9833,0.0710823,0.0944775,-0.686617,-0.0542982,-0.192818,-12.6814,-0.0689351,-0.0518453,-0.173309,0.466996,0.231446,-1.2525,-0.482458,-0.196612,-15.9833,0.241725,0.0898257,-0.686617,-3.11808,-1.93073,-2.04767,0.529465,-0.149834,-0.173309,1.34937,0.407786,-1.2525,-3.57574,0.171815,-15.9833,-0.976888,1.90249,-0.686617,-0.0869401,-0.0912459,-2.04767,0.0358623,0.0155376,-12.6814,0.0319221,-0.000149933,-1.2525,-0.0421005,-0.0400748,-15.9833,0.00700876,0.0168,-0.686617,-0.207006,-0.205819,-2.04767,-0.17156,-0.180568,-12.6814,0.017351,-0.119499,-0.173309,-0.328551,-0.270212,-15.9833,-0.0519689,-0.134509,-0.686617,1.65483,2.66292,-2.04767,-1.81097,0.784484,-12.6814,1.86367,1.80688,-0.173309,2.2166,1.77314,-1.2525,-3.58806,-0.100593
-2.00255,0.0934985,-0.0249284,-12.3541,0.0622289,-0.04965,-0.169361,-0.134224,-0.214496,-1.22711,-0.185824,-0.0417491,-15.6063,0.0693195,0.0925296,-0.674975,-0.0384855,-0.189833,-12.3541,-0.0595128,-0.0508747,-0.169361,0.434917,0.225735,-1.22711,-0.454096,-0.192506,-15.6063,0.21915,0.0873996,-0.674975,-3.09019,-1.89676,-2.00255,0.672174,-0.144168,-0.169361,1.44449,0.400751,-1.22711,-3.3673,0.170326,-15.6063,-0.741193,1.86047,-0.674975,-0.0864084,-0.0897847,-2.00255,0.036281,0.0151117,-12.3541,0.0294745,-0.000239826,-1.22711,-0.0417354,-0.0392566,-15.6063,0.00710503,0.0163215,-0.674975,-0.238097,-0.204431,-2.00255,-0.1402,-0.179282,-12.3541,-0.00358608,-0.119578,-0.169361,-0.31712,-0.266777,-15.6063,-0.049191,-0.134231,-0.674975,1.8488,2.62073,-2.00255,-2.25575,0.77006,-12.3541,2.38723,1.76407,-0.169361,1.83514,1.735,-1.22711,-3.38598,-0.0953142
