rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q2_simulated,eta_V2_simulated,eta_Q3_simulated,eta_V3_simulated,split,color,filter
1,1,-0.614169,-0.0835186,0.317465,-0.145083,-3.85909,-13.3261,All,#4682B4,0
2,1,-0.667539,0.0162782,0.389145,-0.145047,-7.36126,4.43642,All,#4682B4,0
3,1,-0.513096,-0.149173,0.704316,-0.66121,0.11216,3.87159,All,#4682B4,0
4,1,-0.651242,-0.1699,-0.0806601,-0.135454,3.78844,9.77304,All,#4682B4,0
5,1,-0.587681,-0.0527511,-0.697364,-0.362436,-6.30523,8.88483,All,#4682B4,0
6,1,-0.612858,-0.0836563,0.0249501,0.086779,6.02086,6.25768,All,#4682B4,0
7,1,-0.518739,-0.145198,0.532665,-0.198013,-3.48165,3.5193,All,#4682B4,0
8,1,-0.779753,-0.0975407,-0.155518,0.18812,-4.74633,-2.05849,All,#4682B4,0
9,1,-0.563557,-0.041912,-0.363172,-0.683388,-5.43295,-1.51051,All,#4682B4,0
10,1,-0.622775,-0.0783096,-0.413621,-1.29698,-7.4335,-7.89538,All,#4682B4,0
1,2,0.232486,-0.0287053,0.145051,0.0216463,0.644039,0.4394,All,#4682B4,0
2,2,0.193033,0.104435,-0.401668,0.249348,17.0973,-10.3394,All,#4682B4,0
3,2,0.276097,0.0587319,0.0660913,0.0185518,4.70916,2.95683,All,#4682B4,0
4,2,0.295454,0.0216541,0.753005,-0.571778,2.68972,2.35123,All,#4682B4,0
5,2,0.272456,-0.0462031,0.259822,0.0493756,-11.776,2.34092,All,#4682B4,0
6,2,0.264945,0.0550228,0.619386,-0.460977,0.135973,-7.2862,All,#4682B4,0
7,2,0.211551,0.0622407,-0.177572,0.407251,-15.2993,-16.7157,All,#4682B4,0
8,2,0.254465,-0.0202764,0.261252,-0.336732,-4.31964,-1.00824,All,#4682B4,0
9,2,0.188094,0.0688606,-0.549886,-0.354259,-4.44917,-10.8584,All,#4682B4,0
10,2,0.152722,-0.0153265,-0.442478,0.212878,-7.3277,7.47341,All,#4682B4,0
1,3,0.158806,0.0790281,-0.0784918,0.323034,-6.25498,-1.48507,All,#4682B4,0
2,3,0.210929,-0.0642361,0.126784,-0.141772,-2.70019,-2.56245,All,#4682B4,0
3,3,0.22751,0.0480592,0.239319,0.392064,-5.69066,-4.44998,All,#4682B4,0
4,3,0.231237,0.102782,0.357864,0.0148575,2.25699,-0.458562,All,#4682B4,0
5,3,0.202669,0.010811,0.246852,0.397807,8.53861,-4.66984,All,#4682B4,0
6,3,0.159351,0.0122602,0.16871,0.294535,2.45063,9.56655,All,#4682B4,0
7,3,0.187428,0.00467652,0.457167,-0.445976,4.26635,-12.7621,All,#4682B4,0
8,3,0.204628,0.0215003,0.447636,-0.430809,-6.89558,6.6613,All,#4682B4,0
9,3,0.241923,0.0804446,1.00255,-0.761736,-2.07705,5.04151,All,#4682B4,0
10,3,0.177803,-0.0140508,0.230633,-0.126864,-1.16858,0.980825,All,#4682B4,0
1,4,-0.0299511,-0.014462,-0.87947,0.19249,3.83265,-2.65743,All,#4682B4,0
2,4,-0.0595265,-0.121184,0.362112,0.783697,5.65263,4.22563,All,#4682B4,0
3,4,0.00082634,-0.065845,-0.657896,-0.0817699,-0.20215,3.09076,All,#4682B4,0
4,4,-0.00205049,-0.137369,0.204581,-0.277826,10.7572,-0.740605,All,#4682B4,0
5,4,-0.0675115,-0.0242742,-1.72263,-0.102624,6.5878,-3.54363,All,#4682B4,0
6,4,-0.081346,-0.101239,-0.448654,0.283185,-1.16479,4.71255,All,#4682B4,0
7,4,-0.0884981,-0.0604707,-2.02663,-0.53196,-7.4393,-4.15984,All,#4682B4,0
8,4,-0.0246178,0.0307335,-0.896248,-0.254277,-4.92912,4.28808,All,#4682B4,0
9,4,0.0669737,-0.0538073,0.0743978,-0.170928,7.95094,-12.4521,All,#4682B4,0
10,4,-0.0120981,-0.00699557,-0.457375,0.0722144,7.00241,3.57988,All,#4682B4,0
1,5,-0.0583312,0.0158252,1.0613,-0.246518,-12.3075,14.3828,All,#4682B4,0
2,5,-0.128776,0.0181778,0.16228,-0.122039,9.65678,-4.06337,All,#4682B4,0
3,5,-0.131658,-0.0344146,0.25987,-0.727663,5.03026,7.68,All,#4682B4,0
4,5,-0.140507,-0.0129864,0.0959292,-0.0748924,-6.19436,1.93559,All,#4682B4,0
5,5,-0.0818935,0.0490094,0.591942,0.351896,-3.97097,0.335574,All,#4682B4,0
6,5,-0.0935917,0.0384027,0.300065,0.0653136,-1.97106,9.95364,All,#4682B4,0
7,5,-0.0970951,0.0529192,0.591404,0.0259525,-4.09908,-3.42648,All,#4682B4,0
8,5,-0.0312251,0.186,0.347677,-0.213104,6.49384,-5.96057,All,#4682B4,0
9,5,-0.156531,-0.186611,0.406652,0.00484988,-4.6191,5.70222,All,#4682B4,0
10,5,-0.142866,0.0643668,0.135863,0.13389,-11.9649,7.57388,All,#4682B4,0
1,6,0.186482,-0.0177908,1.74295,-0.244481,-5.69359,6.29006,All,#4682B4,0
2,6,0.1395,0.00478705,1.89971,-0.338518,3.51298,-3.57803,All,#4682B4,0
3,6,0.0571434,0.0311077,2.03688,1.05794,0.494956,0.636227,All,#4682B4,0
4,6,0.148338,-0.0288226,1.53793,0.0769436,6.8566,-4.33335,All,#4682B4,0
5,6,0.141773,0.0729197,1.28568,0.0423434,1.13488,2.87749,All,#4682B4,0
6,6,0.231144,-0.0469391,2.0582,0.0638672,9.42234,-3.84393,All,#4682B4,0
7,6,0.200371,0.0420585,1.67313,-0.305358,-0.973289,-0.311504,All,#4682B4,0
8,6,0.0945255,-0.00136119,1.33699,-0.0917265,1.48678,-7.96705,All,#4682B4,0
9,6,0.157111,0.0569155,1.3918,0.235389,2.15601,-2.71998,All,#4682B4,0
10,6,0.103906,0.0976599,1.55222,-0.00304729,-9.21714,-11.726,All,#4682B4,0
1,7,0.149146,0.0179156,-2.30205,-0.592141,-3.95921,1.96571,All,#4682B4,0
2,7,0.177563,0.0664391,-2.32049,-1.45562,-6.35683,0.915341,All,#4682B4,0
