parameter,value,se_sa,rse_sa
Cl_pop,9.95968224857795,0.689266229901923,6.92056445877414
V1_pop,44.2839876308126,3.26519967927335,7.37331901204271
Q_pop,10.1605999737226,1.16478990373317,11.463790590571
V2_pop,71.2949415147899,23.2781414043296,32.6504810997014
omega_Cl,0.243605688855695,0.0298641858746484,12.2592317178352
omega_V1,0.25897833519041,0.0319445190924902,12.3348229376035
omega_Q,0.352470950451165,0.0432751366698102,12.2776463179214
omega_V2,0.7736137248253,0.0957880279671806,12.3818935591935
corr_Q_Cl,-0.0841262129774182,nan,nan
corr_V1_Cl,0.345720778396668,nan,nan
corr_V2_Cl,0.142956731006427,nan,nan
corr_V1_Q,0.609316221328635,8.89241203462899e-7,0.000145940838654169
corr_V2_Q,-0.186470135760187,nan,nan
corr_V2_V1,0.605101294790548,nan,nan
a1,0.299698842819138,0.0223983537795183,7.47362037464897
a2,0.0663680580763718,0.00729559945372733,10.9926366164459
